"question","answer","explanation","difficulty"
"Le cancer du pancréas est un adénocarcinome pancréatique d’origine cellules canalaires.","True","Le document : 'Cancer du pancrés = adénocarcinome pancréatique (cellules canalaires)'","Easy"
"L’incidence du cancer du pancréas est de 20/100.000 hab/an.","False","Le document : 'Incidence 5 à 10/100.000 hab/an'","Easy"
"La tête du pancréas est touchée dans 2/3 des cas.","True","Le document : '2/3 des cas au niveau de la tête'","Easy"
"Le cystadénocarcinome est un cancer de mauvais pronostic.","False","Le document : 'cystadénocarcinome : cancer de bon pronostic'","Easy"
"L’ictère du cancer de la tête du pancréas est rémittent.","False","Le document : 'ictère cholestatique progressif et sans rémission'","Easy"
"Le prurit précède souvent l’ictère.","True","Le document : 'Prurit qui précède souvent l’apparition de l’ictère'","Easy"
"La grosse vésicule est un signe physique du cancer du corps.","False","Le document : 'Grosse vésicule' pour cancer de la tête","Easy"
"Le Ca 19-9 est fréquemment augmenté.","True","Le document : 'Ca 19-9 fréquemment augmenté'","Easy"
"L’échographie abdominale détecte les tumeurs <2cm.","False","Le document : 'Révèle une tumeur pancréatique > 2cm'","Easy"
"L’échoendoscopie détecte les tumeurs de petite taille <2cm.","True","Le document : 'Détection d’une tumeur pancréatique de petite taille < 2cm'","Easy"
"La pancréatite chronique est un diagnostic différentiel.","True","Le document : 'Diagnostic différentiel : Pancréatite chronique'","Easy"
"L’exérèse curative est possible dans 30% des cas.","False","Le document : 'Exérèse à visée curatrice n’est possible que dans 10 à 15%'","Easy"
"La splénopancréatectomie caudale est la chirurgie pour les tumeurs de la queue.","True","Le document : 'A gauche : splénopancréatectomie caudale SPC'","Easy"
"La médiane de survie après apparition des signes est de 12 mois.","False","Le document : 'médiane de survie est de 6 mois'","Easy"
"Le sex-ratio est à prédominance masculine.","True","Le document : 'Sex ratio : de prédominance masculine'","Easy"
"Les ganglions sont touchés tardivement.","False","Le document : 'Ganglions touchés tôt dans leur évolution'","Easy"
"La douleur du cancer du corps irradie vers les deux épaules.","True","Le document : 'Irradiation vers les 2 épaules'","Easy"
"La chimiothérapie est actuellement très efficace.","False","Le document : 'Chimiothérapie : inefficace pour l’instant'","Easy"
"La majorité des patients décèdent dans l’année suivant le diagnostic.","True","Le document : 'La grande majorité des patients décèdent dans l’année qui suit le diagnostic'","Easy"
"Le bilan d’extension permet de prévoir l’étendue des lésions.","False","Le document : 'Le bilan d’extension ne permet pas de prévoir l’étendue des lésions'","Medium"
"Le traitement curatif est réservé aux tumeurs <5 cm sans envahissement ni métastase.","True","Le document : 'Tumeurs peu évoluées < 5 cm de diamètre, Sans envahissement, Sans métastase'","Medium"
"Aucun progrès n’a été fait depuis de nombreuses années.","True","Le document : 'Aucun progrès du traitement de cette affection depuis de très nombreuses années'","Medium"
"La douleur du cancer du pancréas peut être soulagée par des antalgiques, morphiniques ou analgésie péridurale.","True","Le document : 'Antalgique / aspirine, morphinique et analgésique péridurale'","Medium"
"Les selles décolorées sont un signe du cancer de la tête.","True","Le document : 'Selles décolorées' dans SP cancer tête","Medium"
"La position antalgique en chien de fusil est caractéristique du cancer de la tête.","False","Le document : 'position antalgique en chien de fusil' pour cancer du corps","Medium"
"L’échographie abdominale montre la dilatation des voies biliaires.","True","Le document : 'Dilatation des voies biliaires = cholestase'","Medium"
"La TDM explore les ganglions de proximité.","False","Le document : l’échoendoscopie explore les ganglions de proximité, la TDM l’extension aux organes voisins","Medium"
"Les tumeurs endocrines (insulinome, gastrinome) sont des diagnostics différentiels.","True","Le document : 'Tumeurs endocrines (nésidioblastomes) rares'","Medium"
"La radiothérapie à visée antalgique est un moyen palliatif.","True","Le document : 'Radiothérapie à visée antalgique'","Medium"
"La prothèse biliaire per-endoscopique est un traitement curatif.","False","Le document : 'Prothèse biliaire per-endoscopique' dans moyens palliatifs","Medium"
"Le cancer du pancréas est souvent asymptomatique pendant longtemps.","True","Le document : 'Cancer du pancréas : longtemps asymptomatique'","Difficult"
"Le dégoût de la viande est un signe général du cancer de la tête.","True","Le document : 'dégoût de la viande'","Difficult"
"Le cancer du pancréas est la seule tumeur à donner une grosse vésicule.","False","Le document le mentionne comme signe, mais d’autres causes possibles ; l’affirmation n’est pas dans le document.","Difficult"
"Le traitement curatif est impossible dans plus de 85% des cas.","True","Puisque seulement 10-15% sont opérables curativement.","Difficult"
"Les métastases hépatiques sont rares.","False","Le document mentionne 'métastases (hépatique, carcinose péritonéale)' comme visibles à l’échographie.","Medium"
