"front","back","cognitive_level"
"Quelle est la définition du cancer du pancréas selon le document ?","Adénocarcinome pancréatique issu des cellules canalaires.","Recall"
"Quelle est l’incidence du cancer du pancréas ?","5 à 10/100.000 habitants par an.","Recall"
"Quel est le pronostic du cancer du pancréas ?","Souvent catastrophique.","Recall"
"Quelle est la répartition topographique du cancer du pancréas ?","2/3 des cas au niveau de la tête, 1/3 des cas au niveau du corps, de la queue ou de la totalité.","Recall"
"Quel est le type histologique le plus fréquent (75%) ?","Adénocarcinome canalaire.","Recall"
"Quel est le type histologique de bon pronostic (15%) ?","Cystadénocarcinome.","Recall"
"Citez trois autres variétés histologiques rares (10%).","Sarcome, lymphome, épidermoïde.","Recall"
"Pourquoi le traitement du cancer du pancréas est‑il difficile ?","Les ganglions sont touchés tôt dans leur évolution, quelle que soit la localisation.","Recall"
"Quels sont les signes fonctionnels (SF) du cancer de la tête du pancréas ?","Ictère cholestatique progressif et sans rémission (par compression du cholédoque). Prurit qui précède souvent l’ictère. Pas de douleur (sauf extension postérieure).","Recall"
"Quels sont les signes généraux (SG) du cancer de la tête du pancréas ?","Amaigrissement, asthénie, anorexie (dégoût de la viande), sans fièvre, sans frisson.","Recall"
"Quels sont les signes physiques (SP) du cancer de la tête du pancréas ?","Grosse vésicule, hépatomégalie homogène, recherche de ganglion de Troisier ou de carcinose, selles décolorées.","Recall"
"Quels sont les signes fonctionnels du cancer du corps ou de la queue du pancréas ?","Pas d’ictère. Douleur épigastrique transfixiante par crise, irradiant vers les deux épaules, position antalgique en chien de fusil.","Recall"
"Quels sont les signes physiques du cancer du corps ou de la queue ?","Masse épigastrique ou de l’hypochondre gauche (HCG).","Recall"
"Quels marqueurs tumoraux sont fréquemment augmentés dans le cancer du pancréas ?","Ca 19-9 (fréquemment), ACE, Ca 125.","Recall"
"Quelles anomalies biologiques trouve‑t‑on dans les formes ictériques ?","Élévation de la bilirubine totale, des PAL (phosphatases alcalines) et des GGT.","Recall"
"Que révèle l’échographie abdominale dans le cancer du pancréas ?","Une tumeur pancréatique > 2 cm, une dilatation des voies biliaires (cholestase), des ganglions, des métastases (hépatiques, carcinose péritonéale).","Recall"
"Quels sont les trois éléments que le TDM (scanner) permet d’évaluer ?","Localisation, nombre, extension aux organes de voisinage.","Recall"
"Quel est l’intérêt de l’échoendoscopie pancréatique ?","Détection d’une tumeur pancréatique de petite taille < 2 cm, exploration des ganglions de proximité.","Recall"
"Quel est le principal diagnostic différentiel du cancer du pancréas ?","Pancréatite chronique (distinction difficile).","Recall"
"Citez trois tumeurs bénignes du pancréas à différencier du cancer.","Adénomes, cystadénomes, tumeurs endocrines (nésidioblastomes : insulinome, gastrinome, glucagonome).","Recall"
"Quel est le traitement à visée curative du cancer du pancréas ?","La chirurgie : exérèse + curage ganglionnaire.","Recall"
"Dans quel pourcentage de cas une exérèse à visée curative est‑elle possible ?","Seulement 10 à 15% des cas.","Recall"
"Quelle est l’intervention pour une tumeur du corps/queue (à gauche) ?","Splénopancréatectomie caudale (SPC).","Recall"
"Quelle est l’intervention pour une tumeur de la tête (à droite) ?","Duodénopancréatectomie céphalique (DPC).","Recall"
"Citez cinq moyens de traitement palliatif du cancer du pancréas.","Antalgiques (aspirine, morphinique, analgésie péridurale), dérivation chirurgicale biliaire et/ou digestive, prothèse biliaire per-endoscopique ou drainage externe, radiothérapie antalgique, chimiothérapie (inefficace actuellement).","Recall"
"Quels sont les critères pour un traitement curatif (quatre conditions) ?","Tumeurs peu évoluées < 5 cm de diamètre, sans envahissement des organes de voisinage, sans métastase, malades avec un bon état général.","Recall"
"Quels sont les critères pour un traitement palliatif ?","Malade très fatigué et très âgé, ou malade avec lésion très évoluée ou métastases.","Recall"
"Quelle est la médiane de survie après l’apparition des signes cliniques ?","6 mois.","Recall"
"Quel est le constat du document concernant les progrès thérapeutiques ?","Aucun progrès du traitement de cette affection depuis de très nombreuses années.","Recall"
