"term","definition","contextual_explanation"
"cancer du pancréas","Adénocarcinome pancréatique développé à partir des cellules canalaires.","Sa fréquence augmente, incidence 5‑10/100.000, prédominance masculine, pronostic catastrophique."
"adénocarcinome canalaire","Type histologique le plus fréquent.","Représente 75% des cas."
"cystadénocarcinome","Type histologique de bon pronostic.","Représente 15% des cas."
"sarcome","Tumeur maligne du tissu conjonctif.","Variété rare (inclus dans les 10% autres)."
"lymphome","Tumeur maligne du tissu lymphoïde.","Variété rare."
"épidermoïde","Carcinome malpighien.","Variété rare."
"tête du pancréas","Partie droite du pancréas.","2/3 des cancers siègent à la tête."
"corps du pancréas","Partie moyenne.","Localisation possible."
"queue du pancréas","Partie gauche.","Localisation possible."
"ictère cholestatique","Jaunisse par rétention biliaire.","Progressif et sans rémission, dû à la compression du cholédoque par le cancer de la tête."
"prurit","Démangeaison.","Précède souvent l’ictère dans le cancer de la tête."
"grosse vésicule","Vésicule biliaire palpable, distendue.","Signe physique du cancer de la tête (signe de Courvoisier-Terrier implicite)."
"hépatomégalie homogène","Foie augmenté de volume, de consistance homogène.","Signe physique."
"ganglion de Troisier","Ganglion sus‑claviculaire gauche.","Recherché comme métastase."
"carcinose péritonéale","Dissémination métastatique sur le péritoine.","Recherchée à l’examen clinique."
"selles décolorées","Selles pâles, argileuses.","Secondaires à l’absence de bilirubine dans l’intestin."
"douleur épigastrique transfixiante","Douleur traversant l’abdomen d’avant en arrière.","Survient par crise dans le cancer du corps, irradie vers les deux épaules."
"position antalgique en chien de fusil","Position fœtale sur le côté.","Adoptée pour soulager la douleur du cancer du corps."
"masse épigastrique","Tumeur palpable dans l’épigastre.","Signe du cancer du corps."
"HCG","Hypochondre gauche.","Masse palpable dans cette région pour cancer de la queue."
"Ca 19-9","Carbohydrate antigen 19‑9, marqueur tumoral.","Fréquemment augmenté dans le cancer du pancréas."
"ACE","Antigène carcino‑embryonnaire.","Marqueur tumoral."
"Ca 125","Cancer antigen 125.","Marqueur tumoral."
"PAL","Phosphatases alcalines.","Élevées dans les formes ictériques."
"GGT","Gamma‑glutamyltransférase.","Élevée dans les formes ictériques."
"échographie abdominale","Imagerie ultrasonore de l’abdomen.","Révèle tumeur >2cm, dilatation des voies biliaires, ganglions, métastases."
"TDM","Tomodensitométrie (scanner).","Évalue localisation, nombre, extension aux organes de voisinage."
"échoendoscopie pancréatique","Endoscopie avec sonde d’échographie.","Détecte les tumeurs <2cm et explore les ganglions de proximité."
"pancréatite chronique","Inflammation chronique du pancréas.","Principal diagnostic différentiel, distinction difficile."
"adénomes","Tumeurs bénignes épithéliales.","Diagnostic différentiel."
"cystadénomes","Tumeurs bénignes kystiques.","Diagnostic différentiel."
"nésidioblastomes","Tumeurs endocrines du pancréas (îlots de Langerhans).","Rares : insulinome, gastrinome (syndrome de Zollinger‑Ellison), glucagonome."
"insulinome","Tumeur endocrine sécrétant de l’insuline.","Diagnostic différentiel."
"gastrinome","Tumeur endocrine sécrétant de la gastrine.","Syndrome de Zollinger‑Ellison."
"glucagonome","Tumeur endocrine sécrétant du glucagon.","Très rare."
"exérèse","Ablation chirurgicale de la tumeur.","À visée curative, associée à un curage ganglionnaire."
"curage ganglionnaire","Ablation des ganglions lymphatiques régionaux.","Réalisé lors de la chirurgie curative."
"splénopancréatectomie caudale (SPC)","Ablation de la queue du pancréas et de la rate.","Chirurgie pour tumeur du corps/queue (à gauche)."
"duodénopancréatectomie céphalique (DPC)","Ablation de la tête du pancréas et du duodénum.","Chirurgie pour tumeur de la tête (à droite)."
"dérivation chirurgicale biliaire","Anastomose de contournement des voies biliaires.","Traitement palliatif pour lever l’ictère."
"prothèse biliaire per‑endoscopique","Tube mis en place par endoscopie dans la voie biliaire.","Traitement palliatif."
"radiothérapie antalgique","Radiothérapie à visée de soulagement de la douleur.","Moyen palliatif."
"chimiothérapie","Traitement médicamenteux anticancéreux.","Inefficace pour l’instant (essais en cours)."
"médiane de survie","Délai auquel 50% des patients sont décédés.","6 mois après l’apparition des signes cliniques."
