"term","definition","contextual_explanation"
"Cirrhose du foie","Maladie du foie caractérisée par une fibrose extensive et des nodules de régénération (amas d’hépatocytes non fonctionnels par perte de connexion vasculaire et biliaire).","Le document définit la cirrhose comme une maladie du foie avec ces deux éléments, première cause d’hospitalisation et de décès en milieu hospitalier parmi les maladies digestives."
"Nodule de régénération","Amas d’hépatocytes non fonctionnels à cause d’une perte de connexion vasculaire et biliaire.","Dans la cirrhose, les nodules de régénération sont l’un des deux critères anatomo-pathologiques avec la fibrose extensive."
"Fibrose extensive","Accumulation de tissu fibreux dans le foie, détruisant l’architecture normale.","Associée aux nodules de régénération, elle définit la cirrhose."
"Stade compensé","Période de la cirrhose (1 à 10 ans) où le patient est asymptomatique, le bilan hépatique est normal, sans insuffisance hépatocellulaire ni cytolyse ni cholestase.","Premier stade de l’histoire naturelle de la cirrhose."
"Stade décompensé","Stade de la cirrhose où apparaissent les signes cliniques d’hypertension portale et d’insuffisance hépatocellulaire, typiquement un tableau œdémato-ascitique et ictérique.","Second stade de l’histoire naturelle, avec triade : foie cirrhotique, signes d’HTP, signes d’IHC."
"Fibroactitest","Test sanguin non invasif évaluant l’activité nécrotico-inflammatoire (score A 0-3) et le degré de fibrose (score F 0-4, F4 = cirrhose).","Méthode non invasive de confirmation de la cirrhose."
"Élastométrie (fibroscan)","Examen non invasif mesurant la vitesse de propagation d’une onde dans le foie pour apprécier son élasticité (normale 5 kPa, fibrose extensive à partir de 7,9 kPa).","Alternative non invasive à la ponction biopsie hépatique pour diagnostiquer la cirrhose."
"Ascite","Épanchement de liquide dans la cavité péritonéale, signe d’hypertension portale. Dans la cirrhose, liquide transsudatif (protides < 25 g/L).","Complication la plus fréquente de la cirrhose, à analyser systématiquement à chaque poussée."
"Splénomégalie","Augmentation de volume de la rate, ici modérée, signe d’hypertension portale.","Dans la cirrhose décompensée, signe d’HTP."
"Circulation veineuse collatérale","Dilatation des veines sous-cutanées abdominales (sus-ombilicale puis diffuse) due à l’hypertension portale.","Signe clinique d’HTP dans la cirrhose décompensée."
