"question","answer","explanation","difficulty"
"La cirrhose est définie par une fibrose extensive sans nodules de régénération.","False","La définition inclut les deux : fibrose extensive ET nodules de régénération.","Easy"
"La cirrhose est la première cause d'hospitalisation parmi les maladies digestives.","True","Le document l'affirme.","Easy"
"La phase compensée de la cirrhose dure généralement de 1 à 10 ans.","True","Document : 'Stade compensé : Période allant de 1 à 10 ans'.","Easy"
"Au stade compensé, le foie cirrhotique est mou et douloureux à la palpation.","False","Il est 'dur, à bord inférieur tranchant, indolore'.","Easy"
"Le fibroscan mesure l'activité nécrotico-inflammatoire.","False","Le fibroscan mesure l'élasticité (fibrose) ; le fibroactitest mesure l'activité.","Easy"
"Dans la cirrhose décompensée, on retrouve une triade : foie cirrhotique, signes d'HTP, signes d'IHC.","True","Document le confirme.","Easy"
"Les angiomes stellaires s'effacent à la vitropression.","True","Document : 's'effaçant à la vitropression'.","Easy"
"L'érythrose palmaire touche la région thénarienne et hypothénarienne.","True","Document le décrit ainsi.","Easy"
"L'hippocratisme digital est un signe d'insuffisance hépatocellulaire.","True","Il fait partie des signes d'IHC listés.","Easy"
"Le liquide d'ascite de la cirrhose est riche en protides (>30 g/l).","False","Il est pauvre en protides (<25 g/l), transsudatif.","Easy"
"L'infection spontanée du liquide d'ascite est due à E. Coli dans la majorité des cas.","True","Document : 'Germe : E. Coli +++'.","Easy"
"L'encéphalopathie hépatique est le premier motif de décès chez le cirrhotique.","True","Document l'affirme.","Easy"
"Le score de Child-Pugh comporte 5 paramètres : bilirubine, albumine, TP, ascite, encéphalopathie.","True","Document : T.A.B.A.Cerveau.","Easy"
"Une cirrhose Child-Pugh C a un score de 5-6 points.","False","C = 10-15 points ; A = 5-6.","Easy"
"À Madagascar, l'étiologie alcoolique représente plus de 50% des cirrhoses.","True","Document : '> 50% à Madagascar'.","Easy"
"Le risque alcoolique chez l'homme est de 40 g/j.","False","Chez l'homme : 60 g/j ; chez la femme : 40 g/j.","Easy"
"Dans la cirrhose alcoolique, les ASAT sont supérieurs aux ALAT.","True","Document : 'ASAT>ALAT'.","Easy"
"La cholangite biliaire primitive est diagnostiquée par les anticorps anti-mitochondrie M2.","True","Document le précise.","Easy"
"L'alpha-foeto-protéine est un marqueur du carcinome hépato-cellulaire.","True","Document : 'Marqueur de carcinome hépato-cellulaire'.","Easy"
"L'ascite est la complication la plus fréquente de la cirrhose.","True","Document : 'Ascite : Complication la plus fréquente'.","Easy"
"L'encéphalopathie hépatique stade 1 associe coma et signes pyramidaux.","False","Stade 1 : astérixis et désorganisation du cycle.","Easy"
"La classification de West Haven comporte 4 stades.","True","Stades 1,2,3,4.","Easy"
"La ponction biopsie hépatique transpariétale est contre-indiquée si TP < 50%.","True","Document le mentionne.","Easy"
"Le syndrome hépato-rénal est une insuffisance rénale organique.","False","C'est une insuffisance rénale fonctionnelle.","Easy"
"Le syndrome hépato-rénal de type 1 a une survie médiane de 15 jours.","True","Document : '15j (pour le type 1)'.","Easy"
"L'hydrothorax est une complication pulmonaire de la cirrhose.","True","Document : 'Epanchement pleural = hydrothorax'.","Easy"
"Le syndrome hépato-pulmonaire associe cirrhose, hypoxie et dilatations vasculaires intrapulmonaires.","True","Document le définit ainsi.","Easy"
"L'hyponatrémie chez le cirrhotique est une situation bénigne.","False","Extrêmement grave (hyperhydratation globale).","Easy"
"La créatininémie doit être surveillée car l'insuffisance rénale est gravissime.","True","Document : 'Insuffisance rénale même fonctionnelle est considéré comme gravissime'.","Easy"
"L'endoscopie digestive haute recherche des varices œsophagiennes.","True","Document : 'Endoscopie : Signes d'HTP ; Varices œsophagiennes'.","Easy"
"Le fibroactitest donne un score de fibrose F4 pour la cirrhose.","True","Document : 'F4 = cirrhose'.","Easy"
"Les nodules de régénération sont des amas d'hépatocytes fonctionnels.","False","Ils sont non fonctionnels à cause de la perte de connexion vasculaire et biliaire.","Medium"
"Au stade compensé, le bilan hépatique peut être normal.","True","Document : 'Normal ; Pas d'IHC ni cytolyse ni cholestase'.","Medium"
"L'astérixis est présent au stade 4 de l'encéphalopathie.","False","Au stade 4, l'astérixis disparaît.","Medium"
"Le traitement par propranolol est indiqué dans la prévention des varices.","Non précisé","Le document ne parle pas du traitement de la cirrhose dans ce chapitre (sauf propranolol pour BH).","Medium"
"La cirrhose cardiaque est due à une insuffisance cardiaque gauche.","False","Due à une IC droite prolongée.","Medium"
"La maladie de Wilson est une surcharge en cuivre.","True","Document : 'Surcharge en cuivre'.","Medium"
"La céruléoplasmine est augmentée dans la maladie de Wilson.","False","Elle est diminuée (déficit).","Medium"
"L'hémochromatose est due à une mutation du gène C282Y.","True","Document : 'mutation du C282Y'.","Medium"
"La ferritinémie est élevée dans l'hémochromatose.","True","Document : 'Elévation de la ferritinémie (> 500)'.","Medium"
"Le syndrome hépato-rénal répond à l'expansion volémique.","False","Un des critères est l'absence d'amélioration après expansion volémique.","Medium"
"La tuberculose péritonéale donne une ascite exsudative à lymphocytes.","True","Document : 'Protides >30, lymphocytes+++'.","Medium"
"L'ADA est augmenté dans l'infection tuberculeuse du liquide d'ascite.","True","Document : 'ADA : adénosine déamine (augmentation = infection tuberculeuse)'.","Medium"
"L'infection spontanée du liquide d'ascite donne plus de 250 PNN/mm3.","True","Document : '> 250 mm3 de PNN altérés'.","Medium"
"La gastropathie congestive est un signe endoscopique d'HTP.","True","Document : 'Gastropathie congestive' dans l'endoscopie.","Medium"
"La veine ombilicale perméabilisée est une anastomose porto-cave antérieure.","True","Document le précise.","Medium"
"Le diamètre normal du tronc porte est <15 mm.","False","N < 12 mm.","Medium"
"La vitesse normale au fibroscan est de 7,9 Kpa.","False","Normale = 5 Kpa ; fibrose extensive à partir de 7,9.","Medium"
"Dans la cirrhose alcoolique, les IgA sont augmentées.","True","Document : 'IgA augmenté'.","Medium"
"La macrocytose est fréquente dans la cirrhose alcoolique.","True","Document : 'Macrocytose (VGM élevé)'.","Medium"
"L'hépatite auto-immune touche les femmes de 30-50 ans.","False","Femmes jeunes 20-30 ans (pour l'hépatite auto-immune).","Medium"
"La cholangite biliaire primitive touche les femmes de 30-50 ans.","True","Document : 'Femmes d'âge moyen (30-50 ans)'.","Medium"
"Le CHC touche environ 30% des cirrhotiques.","False","Environ 10%.","Medium"
"La confirmation du CHC se fait par biopsie hépatique.","True","Document : 'Confirmation : PBH'.","Medium"
"Le wash-out au TDM est un aspect typique du CHC.","True","Document : 'Lavage, = wash-out ; temps portal : lésion hypodense'.","Medium"
"L'hyponatrémie chez le cirrhotique correspond à une hyperhydratation globale.","True","Document : 'hyperhydratation extracellulaire avec hyperhydratation intracellulaire = globale'.","Medium"
"Une hypernatrémie chez un cirrhotique signe une déshydratation intracellulaire associée.","True","Document : 'hyperhydratation extracellulaire associé à une déshydratation intracellulaire'.","Medium"
"Le syndrome hépato-pulmonaire est défini par une hypoxie artérielle et des dilatations vasculaires intrapulmonaires.","True","Document le confirme.","Medium"
"La cirrhose biliaire secondaire est due à une obstruction chronique des voies biliaires.","True","Document : 'Cirrhose biliaire secondaire (obstruction chronique, prolongée des voies biliaires)'.","Medium"
"Le déficit en alpha-1-antitrypsine est une étiologie de cirrhose.","True","Document le cite.","Medium"
"La stéato-hépatite non alcoolique (NASH) est associée au syndrome métabolique.","True","Document : 'Syndrome métabolique (3 parmi les 5)'.","Medium"
"L'amiodarone peut donner une hépatite médicamenteuse chronique.","True","Document le mentionne.","Medium"
"La cirrhose peut être due à une prise prolongée de méthotrexate.","True","Document le cite.","Medium"
"L'alpha-méthyl dopa est un antiarythmique.","False","C'est un antihypertenseur.","Medium"
"Le reflux hépato-jugulaire disparaît dans la cirrhose cardiaque.","True","Document : 'Et il n'y a plus de RHJ'.","Medium"
"Dans la cirrhose cardiaque, le foie est initialement douloureux.","True","Document : 'Foie ferme, douloureux au départ'.","Medium"
"La ponction biopsie hépatique est systématique devant toute suspicion de cirrhose.","False","Non systématique si clinique évocateur.","Medium"
"La voie transjugulaire est indiquée en cas de TP < 50% et de plaquettes < 100 000.","True","Document le précise.","Medium"
"Le score MELD utilise l'albumine et l'ascite.","False","MELD utilise créatinine, bilirubine, INR, dialyse.","Medium"
"Un score MELD > 20 donne une survie à 3 mois de 60%.","True","Document le donne.","Medium"
"Un patient Child-Pugh C a une espérance de vie normale.","False","Stade C = sévère, pronostic réservé.","Medium"
"L'infection du liquide d'ascite peut être spontanée par translocation.","True","Document : 'Spontanée (par translocation des germes de l'intestin)'.","Medium"
"Le GeneXpert est utilisé pour diagnostiquer la tuberculose péritonéale.","True","Document le cite.","Medium"
"L'ascite cirrhotique est un liquide exsudatif.","False","Transsudatif.","Medium"
"Les varices œsophagiennes sont souvent de petite taille dans la cirrhose.","False","Le document ne le précise pas mais elles peuvent être volumineuses.","Medium"
"L'encéphalopathie hépatique peut être déclenchée par une constipation.","True","Document cite 'Constipation'.","Medium"
"Les benzodiazépines sont dangereuses chez le cirrhotique car elles peuvent déclencher une encéphalopathie.","True","Document : 'Prise de benzodiazépines (manque de sommeil -> benzodiazépine : attention)'.","Medium"
"L'hyponatrémie est un facteur déclenchant de l'encéphalopathie.","True","Document le mentionne.","Medium"
"La prise de barbituriques est sans risque chez le cirrhotique.","False","Document cite 'Prise de barbituriques' comme facteur déclenchant.","Medium"
