"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Selon le document, quels sont les deux éléments anatomopathologiques définissant la cirrhose du foie ?","Fibrose extensive et infiltration graisseuse","Fibrose extensive et nodules de régénération","Nodules de régénération et cholestase","Inflammation et nécrose","2","La définition donnée dans l'introduction : 'Maladie du foie caractérisée par la présence de 2 éléments : 1. Fibrose extensive, 2. Nodule de régénération'.","Easy"
"Parmi les maladies digestives, quelle est la place de la cirrhose en termes d'hospitalisation et de décès en milieu hospitalier ?","Deuxième cause","Première cause","Troisième cause","Cause rare","2","Le document indique : 'Parmi les maladies digestives : C'est la première cause d'hospitalisation ; également, première cause de décès en milieu hospitalier'.","Easy"
"Quelle est la durée de la phase compensée de la cirrhose selon le document ?","1 à 6 mois","1 à 10 ans","10 à 20 ans","Moins d'un an","2","Le document précise : 'Stade compensé : Période allant de 1 à 10 ans'." ,"Easy"
"À la palpation, comment se présente le foie cirrhotique au stade compensé ?","Mou, bord inférieur arrondi, douloureux","Dur, bord inférieur tranchant, indolore","Ferme, bord inférieur régulier, sensible","Atrophié, bord inférieur irrégulier","2","Le document décrit : 'A la palpation : dur, à bord inférieur tranchant, indolore'.","Easy"
"Quel est le seuil de vitesse d'onde au fibroscan (élastométrie) à partir duquel on parle de fibrose extensive ?","5 Kpa","7,9 Kpa","10 Kpa","15 Kpa","2","Le document indique : 'Fibrose extensive : à partir de 7,9 Kpa' (N = 5 Kpa).","Easy"
"Dans la cirrhose décompensée, quels sont les trois types de signes constituant la triade clinique ?","Foie cirrhotique, signes d'HTP, signes d'IHC","Ascite, ictère, encéphalopathie","Varices, splénomégalie, œdèmes","Hépatomégalie, douleur, fièvre","1","Le document mentionne : 'Clinique : triade : 1. Foie cirrhotique, 2. Signes d'HTP, 3. Signes d'insuffisance hépatocellulaire'.","Easy"
"Quel est le signe cutané d'insuffisance hépatocellulaire qui s'efface à la vitropression et dont le comptage permet d'apprécier la gravité ?","Erythrose palmaire","Angiomes stellaires","Hippocratisme digital","Ictère","2","Le document précise : 'Angiomes stellaires... Les compter car permet d'apprécier la gravité' et 's'effaçant à la vitropression'.","Easy"
"Quelle est la coloration caractéristique des érythroses palmaires ?","Coloration jaune des paumes","Coloration rouge de la région thénarienne et hypothénarienne","Coloration bleutée des doigts","Coloration blanche des éminences","2","Le document indique : 'Erythroses palmaires : Coloration rouge de la région thénarienne et hypothénarienne'.","Easy"
"Quel est le profil électrophorétique évocateur de cirrhose ?","Bloc alpha","Bloc bêta-gamma","Hypergammaglobulinémie polyclonale","Hypoalbuminémie isolée","2","Le document mentionne : 'Hypergamma-globulinémie avec bloc bêta-gamma (évocateur) : profil cirrhotique'.","Easy"
"Quelle est la caractéristique du liquide d'ascite de la cirrhose sur le plan chimique ?","Riche en protides (> 30 g/l)","Pauvre en protides (< 25 g/l)","Taux de protides normal","Présence de fibrine","2","Le document indique : 'Chimie : Pauvre en protides : < 25g/l ; Liquide transsudatif'.","Easy"
"Quel germe est le plus fréquemment responsable de l'infection spontanée du liquide d'ascite ?","Klebsiella","E. Coli","Pseudomonas","Staphylocoque","2","Le document précise : 'Germe : E. Coli +++'.","Easy"
"Quel est le seuil de polynucléaires neutrophiles (PNN) dans le liquide d'ascite évocateur d'infection ?","> 100 mm3","> 250 mm3","> 500 mm3","> 1000 mm3","2","Le document indique : 'Biologie : > 250 mm3 de PNN altérés'.","Easy"
"Quel est le pourcentage de cirrhotiques qui développent un carcinome hépato-cellulaire selon le document ?","5%","10%","20%","30%","2","Le document mentionne : 'Carcinome hépato-cellulaire : Touche ~ 10% des cirrhotiques'.","Easy"
"Quel est le seuil d'alpha-foeto-protéine (AFP) évocateur d'un carcinome hépato-cellulaire ?","> 200 ng/ml","> 400 ng/ml","> 1000 ng/ml","Toute élévation","2","Le document indique : 'Alpha-foeto-protéine > 400ng/ml' (et >400 UI/ml).","Easy"
"Quelle est la médiane de survie du syndrome hépato-rénal de type 1 selon le document ?","15 jours","6 mois","1 an","3 mois","1","Le document précise : 'médiane de survie 15j (pour le type 1) - 6 mois (pour le type 2)'.","Easy"
"Dans le score de Child-Pugh, combien de points correspondent au stade A (cirrhose compensée) ?","5-6 points","7-9 points","10-15 points","Moins de 5 points","1","Le document indique : 'Stade A : 5-6 ; Stade B : 7-9 ; Stade C : 10-15'.","Easy"
"Selon le document, quelle est l'étiologie la plus fréquente de cirrhose à Madagascar ?","Virale (VHB)","Alcoolique","NASH","Biliaire","2","Le document mentionne : 'Alcoolique : 50-90% ; > 50% à Madagascar'.","Easy"
"Quel est le risque alcoolique quotidien pour développer une cirrhose chez l'homme selon le document ?","20 g/j","40 g/j","60 g/j","80 g/j","3","Le document précise : 'Risque : 40g/j chez la femme ; 60g/j chez l'homme'.","Easy"
"Dans la cirrhose alcoolique, quel rapport des transaminases est typique ?","ASAT < ALAT","ASAT > ALAT","ASAT = ALAT","ASAT et ALAT normales","2","Le document indique : 'Transaminases : cirrhose alcoolique : ASAT>ALAT'.","Easy"
"Quel anticorps est recherché pour le diagnostic de cholangite biliaire primitive (anciennement cirrhose biliaire primitive) ?","Ac anti-LKM1","Ac anti-nucléaires","Ac anti-mitochondrie de type M2","Ac anti-muscle lisse","3","Le document mentionne : 'Ac anti-mitochondrie de type M2' pour la cholangite biliaire primitive.","Easy"
