"term","definition","contextual_explanation"
"ictère néonatal","Coloration jaune de la peau et des muqueuses par hyperbilirubinémie.","Fréquent (30-60 %), touche 2/3 des prématurés et 1/3 des bébés à terme. Risques : neurotoxicité (ictère nucléaire) et cirrhose (atrésie des voies biliaires)."
"hyperbilirubinémie","Taux anormalement élevé de bilirubine dans le sang (normale ≈ 10 µmol/l).","Responsable de l’ictère néonatal."
"bilirubine libre","Bilirubine non conjuguée, non soluble dans l’eau, toxique pour le système nerveux central.","Responsable de l’ictère nucléaire. Dans l’ictère à bilirubine libre : urines claires, selles non décolorées."
"bilirubine conjuguée","Bilirubine rendue soluble par conjugaison hépatique, éliminée dans la bile et les urines.","Dans l’ictère à bilirubine conjuguée : urines foncées, selles décolorées (cholestase)."
"ictère nucléaire","Neurotoxicité de la bilirubine libre atteignant les noyaux gris centraux.","Signes : ictère +++, crise convulsive, choréo-athétose, hypertonie, paralysie oculaire, opisthotonos. Complication grave de l’hyperbilirubinémie libre."
"cycle entéro-hépatique","Circulation de la bilirubine entre l’intestin et le foie.","Très sollicité chez le nouveau-né par absence initiale de flore bactérienne, contribuant à l’hyperbilirubinémie."
"test de Coombs direct","Test immunologique détectant des anticorps fixés à la surface des globules rouges.","Positif dans l’immunisation fœto-maternelle (incompatibilité Rh)."
"RAI","Recherche d’agglutinines irrégulières – anticorps anti-érythrocytaires.","Élément de l’anamnèse devant un ictère néonatal."
"anasarque fœto-placentaire","Œdème généralisé du fœtus et du placenta.","Complication sévère de l’immunisation fœto-maternelle."
"MIU","Mort fœtale in utero.","Peut survenir dans l’immunisation Rh sévère."
"déficit en G6PD","Déficit en glucose-6-phosphate déshydrogénase, enzymopathie héréditaire.","Cause d’hémolyse constitutionnelle avec ictère précoce."
"pyruvate kinase (PK)","Enzyme de la glycolyse érythrocytaire.","Son déficit entraîne une hémolyse chronique."
"maladie de Minkowski-Chauffard","Sphérocytose héréditaire, anémie hémolytique constitutionnelle.","Cause d’ictère à bilirubine libre par hémolyse."
"atrésie des voies biliaires","Absence congénitale ou oblitération des voies biliaires extrahépatiques.","Urgence diagnostique et thérapeutique (échographie abdominale). Risque de cirrhose. Se manifeste par un ictère à bilirubine conjuguée (selles décolorées, urines foncées)."
"kyste du cholédoque","Dilatation kystique congénitale du cholédoque.","Cause d’ictère conjugué."
"paucité ductulaire","Diminution du nombre de canaux biliaires interlobulaires.","Cause d’ictère conjugué."
"mucoviscidose","Maladie génétique exocrine (fibrose kystique).","Peut se révéler par un ictère néonatal conjugué."
"galactosémie","Maladie métabolique par déficit en galactose-1-phosphate uridyl transférase.","Cause d’ictère conjugué par atteinte hépatique."
"tyrosinémie","Maladie métabolique par déficit de l’enzyme fumarylacétoacétase.","Cause d’ictère conjugué."
"déficit en alpha-1-antitrypsine","Déficit génétique de la protéine de protection anti-élastase.","Cause d’ictère conjugué néonatal."
"photothérapie","Traitement non médicamenteux par exposition à la lumière bleue, qui isomérise la bilirubine libre en forme excrétable.","Indiqué dans l’ictère à bilirubine libre (selon bilirubinémie, poids, durée). Doit être fait <7 jours de vie. Ne traite pas la cause, prévient l’ictère nucléaire."
"exsanguino-transfusion","Remplacement du sang du nouveau-né par du sang donneur.","Indications : J1 BT >170 µmol/l ; J3 BT >340 µmol/l ; BNL >1,5 µmol/l."
"photothérapie conventionnelle","Photothérapie uniface (un seul côté du corps exposé).","Une des trois modalités de traitement de l’ictère libre."
"photothérapie intensive","Photothérapie en tunnel (exposition maximale).","Plus efficace que la photothérapie conventionnelle."
"albumine","Protéine plasmatique liant la bilirubine libre.","Indication : hypoalbuminémie <30 g/l (prématuré) ou BNL >0,8 µmol/l."
"ictère au lait maternel","Ictère à bilirubine libre survenant chez des nouveau-nés allaités, souvent prolongé.","Diagnostic d’élimination (après exclusion des autres causes). L’arrêt transitoire de l’allaitement permet de confirmer le diagnostic."
"ictère physiologique","Ictère néonatal bénin, fréquent, sans cause pathologique sous-jacente.","Diagnostic d’élimination, avec ictère au lait maternel."
"opisthotonos","Attitude en arc de cercle, hyperextension de la tête et du rachis.","Signe d’ictère nucléaire."
"choréo-athétose","Mouvements involontaires anormaux (chorée et athétose).","Séquelle neurologique de l’ictère nucléaire."
"BNL","Bilirubine non liée (libre).","Seuil de gravité : >0,8 µmol/l (indication albumine) ; >1,5 µmol/l (indication exsanguino-transfusion)."
"BIE","Bilirubine intra-érythrocytaire.","Taux >15 µmol/l est un signe de gravité."
