"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la fréquence de l’ictère néonatal chez les nouveau-nés à terme ?","30%","60%","1/3","2/3","3","Le document : ''2/3 des prématurés et 1/3 des bébés à terme''.","Easy"
"Le risque majeur de l’hyperbilirubinémie libre est :","La cirrhose","L’ictère nucléaire","L’anasarque","L’hypothermie","2","Le document : ''Risque de neurotoxicité -> Ictère nucléaire (libre)''.","Easy"
"Quel est le risque de l’atrésie des voies biliaires ?","Ictère nucléaire","Cirrhose","Anémie hémolytique","Déficit en G6PD","2","Le document : ''Risque de cirrhose <- atrésie des voies biliaires (conjuguée) syndrome cholestatique majeur''.","Easy"
"Dans l’ictère à bilirubine libre, les urines sont :","Foncées","Claires","Normales","Rouges","2","Le document : ''Urines claires (défaut de conjugaison, pas encore passé dans le foie, rien n’est déversé dans les urines)''.","Easy"
"Dans l’ictère à bilirubine conjuguée, les selles sont :","Normales","Noires","Décolorées","Vertes","3","Le document : ''Selles décolorées''.","Easy"
"Un ictère apparaissant avant 24 heures de vie est :","Physiologique","Toujours pathologique","Bénin","Lié au lait maternel","2","Le document : ''Début <24h = toujours pathologiques''.","Easy"
"Le test de Coombs direct est positif dans :","L’ictère au lait maternel","L’immunisation fœto-maternelle","L’atrésie des voies biliaires","La galactosémie","2","Le document : ''Immunisation fœto-maternelle – Test de Coombs Direct (+)''.","Easy"
"Quel examen d’imagerie est urgent devant une suspicion d’atrésie des voies biliaires ?","IRM cérébrale","Échographie abdominale","Radiographie thoracique","Doppler transcrânien","2","Le document : ''Atrésie des VB (urgence diagnostique et thérapeutique -> écho abdominale en urgence)''.","Easy"
"La photothérapie est indiquée pour :","L’ictère à bilirubine conjuguée","L’ictère à bilirubine libre","Les deux","Aucun","2","Le document : ''Photothérapie : ictère à bilirubine libre (selon bilirubinémie, poids, durée de l’ictère) ne traite pas la cause, évite l’ictère nucléaire''.","Easy"
"Quel est le seuil d’exsanguinotransfusion à J3 selon le document ?","BT > 170 µmol/l","BT > 200 µmol/l","BT > 340 µmol/l","BT > 400 µmol/l","3","Le document : ''Exsanguino-transfusion – Si J3 BT > 340''.","Easy"
"La valeur normale de la bilirubinémie totale chez le nouveau-né est :","10 µmol/l","30 µmol/l","50 µmol/l","70 µmol/l","1","Le document : ''Hyperbilirubinémie totale (N= 10µmol/l)''.","Easy"
"La sphérocytose héréditaire (maladie de Minkowski-Chauffard) est une cause :","D’ictère à bilirubine conjuguée","D’ictère à bilirubine libre avec hémolyse","D’ictère au lait maternel","D’atrésie des voies biliaires","2","Le document : ''Hémolyses constitutionnelles : déficit en G6PD, PK (pyruvate kinase) maladie de Minkowski-Chauffard : sphérocytose)''.","Easy"
"L’ictère nucléaire se manifeste par :","Selles décolorées","Crise convulsive, choréo-athétose, hypertonie, paralysie oculaire, opisthotonos","Urines foncées","Hépatomégalie","2","Le document : ''Ictère nucléaire : ictère +++, Crise convulsive, choréo-athétose, hypertonie, paralysie oculaire, attitude en opisthotonos''.","Easy"
