"term","definition","contextual_explanation"
"Herpès cutanéomuqueux","Infection virale humaine due aux Herpes simplex virus de type 1 (HSV1) et 2 (HSV2).","HSV1 : herpès oro-facial ; HSV2 : herpès génital (IST). Très contagieux, transmission par contact direct."
"HSV1","Herpes simplex virus de type 1.","Responsable de l’herpès oro-facial (90% des cas) et de la gingivo-stomatite aiguë herpétique chez l’enfant."
"HSV2","Herpes simplex virus de type 2.","Responsable de l’herpès génital (IST, 90% des cas). Prévalence : 15-30% population générale, 50% des personnes ayant une IST, 70% des homosexuels."
"Gingivo-stomatite aiguë herpétique","Primo-infection à HSV1 chez le petit enfant (6 mois-3 ans).","Incubation 3-6 jours, fièvre 38-39°C, odynophagie, hypersialorrhée, gencives tuméfiées saignantes, vésicules péribuccales puis érosions, ADP cervicales. Guérison 10-15 jours."
"Vulvo-vaginite herpétique","Primo-infection à HSV2 chez la femme adulte.","Survient 7 jours après rapport sexuel infectant : début brutal douloureux, fièvre, malaise, vésicules puis érosions polycycliques, ADP inguinales, dysurie, rétention urinaire. Cicatrisation 2-3 semaines."
"Récurrence herpétique","Poussée d’herpès après période de latence (semaines à années).","Prodrome : brûlure/cuisson locale, puis 24-48h après : placard érythémateux œdémateux, vésicules en bouquet, douleur intense, absence de signes généraux, guérison spontanée en 7 jours."
"Herpès oculaire","Complication de l’herpès touchant l’œil.","Kératite, kérato-conjonctivite, ulcération dendritique, risque de cécité."
"Méningoencéphalite herpétique","Atteinte neurologique grave de l’herpès.","Méningisme, troubles psychiatriques et de la conscience, associés à une atteinte oculaire et cutanéomuqueuse."
"Herpès disséminé","Forme grave avec atteinte polyviscérale (foie, reins, surrénales, poumons).","Mortalité à 80% sans traitement."
"Herpès du sujet immunodéprimé","Forme atypique chez les immunodéprimés (dont VIH+).","Chez 22% des VIH+. Début péri-anal, érosions, ulcérations profondes, surinfection, rectite douloureuse, ulcération orale chronique, éruption varioliforme généralisée."
"Herpès néonatal","Contamination du nouveau-né par HSV (90% HSV2).","Lors de l’accouchement, transplacentaire ou post-natal. Formes : cutanéomuqueuse (scalpe, siège) ou généralisée (oculaire, digestive, pulmonaire, neurologique grave avec séquelles)."
"Syndrome de Kaposi-Juliusberg","Surinfection virale d’une dermatite atopique ou herpétiforme par HSV1 (rarement HSV2).","Survient pendant la primo-infection ou une récurrence herpétique."
"Cytodiagnostic de Tzanck","Frottis de la base d’une vésicule pour recherche d’effet cytopathogène viral.","Met en évidence une dégénérescence ballonisante de Unna. Immunofluorescence, culture virale, PCR et sérologie sont d’autres méthodes."
"Stomatite aphteuse","Affection buccale avec ulcérations aphteuses.","Diagnostic différentiel de la primo-infection herpétique orale."
"Herpangine","Infection virale (entérovirus) donnant des vésicules du voile du palais.","Diagnostic différentiel de l’herpès orale."
"Chancre syphilitique","Lésion primaire de la syphilis.","Diagnostic différentiel de l’herpès urogénital."
"Varicelle","Primo-infection par le virus varicelle-zona (VZV).","Enfant de 2-10 ans, très contagieuse (débute 3j avant l’éruption jusqu’aux croûtes). Contamination aérienne. Incubation 14 jours. Macules érythémateuses prurigineuses, puis vésicules/pustules, croûtes. 2-3 poussées → coexistence d’éléments d’âges différents. Guérison 10-15 jours."
"VZV","Virus varicelle-zona, virus à ADN du groupe des Herpesviridae.","Responsable de la varicelle (primo-infection) et du zona (réactivation)."
"Zona","Ganglioradiculite postérieure aiguë due à la réactivation du VZV latent.","Éruption érythémato-vésiculeuse unilatérale hyperalgique, dans le territoire d’un dermatome. Adulte >50 ans. Un zona peut transmettre une varicelle à un sujet non immunisé."
"Ganglioradiculite postérieure","Inflammation du ganglion spinal et de la racine nerveuse postérieure.","Terme décrivant la physiopathologie du zona."
"Prodrome du zona","Période de 3-4 jours avant l’éruption.","Douleur type brûlure, hyperesthésie cutanée, adénopathie satellite, fièvre, céphalée."
"Zona ophtalmique","Atteinte du territoire du nerf ophtalmique (V1).","Urgence en raison du risque de kératite, uvéite, névrite optique."
"Zona géniculé","Atteinte du ganglion géniculé (VII bis).","Éruption dans la zone de Ramsay Hunt, associée à une paralysie faciale périphérique et un syndrome vestibulaire."
"Algies post-zostériennes","Douleurs persistant plus d’un mois après l’éruption de zona.","Peu sensibles aux antalgiques, plus fréquentes et intolérables chez le sujet âgé. Associées à une hypoesthésie du territoire atteint."
"Verrues cutanées","Infection cutanée à HPV (human papillomavirus).","Hyperplasie épithéliale discrète avec hyperkératose de surface. Transmission peau à peau, favorisée par traumatismes minimes. Persistent plusieurs années. Types HPV variés selon le type de verrue."
"Verrues vulgaires","Verrues communes.","Papules fermes de 1-10 mm ou plus, hyperkératosiques, surface crevassée végétante. Zones de traumatisme : mains, doigts, genoux. HPV 1,2,4,26."
"Verrues plantaires","Verrues de la plante du pied.","Plaque rugueuse hypertonique avec points marron-noirs, interruption des dermatoglyphes, douleur intense. Confluence = verrues en mosaïque. HPV 1,2,63."
"Verrues planes","Verrues plates.","Papules bien limitées de 1-5 mm, planes (1-2 mm d’épaisseur), couleur peau normale. HPV 3,10."
"Molluscum contagiosum","Infection virale cutanée à poxvirus MCV.","Enfants +++ ; adultes sexuellement actifs (homme>femme). Transmission peau à peau. Lésions : papules/nodules ombiliqués blanc nacré, disparition spontanée en 6 mois sauf chez VIH."
"Condylomes acuminés","Infection ano-génitale à HPV (types 6,11,30,42,43,44,45…).","MST. Lésions charnues pédiculées roses/rouges vif confluentes en masse molle (muqueuse) ou végétantes brunâtres en chou-fleur (peau). Transformation possible en cancer spinocellulaire avec HPV 16,18,31,33."
"Koïlocytes","Cellules caractéristiques de l’infection à HPV au niveau cervical.","Observées au frottis ou à la biopsie des condylomes plans cervicaux. Témoignent du rôle de l’HPV dans la carcinogenèse cervicale."
"Dégénérescence ballonisante de Unna","Aspect cytopathologique des cellules infectées par HSV.","Observé au cytodiagnostic de Tzanck dans l’herpès et la varicelle-zona."
