"term","definition","contextual_explanation"
"crise d’épilepsie","Manifestation clinique paroxystique liée à une activité excessive et anormale d’un groupe de neurones.","Peut comporter des phénomènes positifs (moteurs, psychiques, sensoriels) ou négatifs (perte de conscience ou de tonus musculaire)."
"crise occasionnelle","Crise d’épilepsie survenant suite à un phénomène intercurrent.","Opposée à l’épilepsie chronique."
"épilepsie","Affection chronique caractérisée par la répétition des crises épileptiques, survenant sans facteur particulier.","Opposée aux crises occasionnelles."
"état de mal épileptique","Non défini textuellement mais mentionné comme (DIAPO). Dans le document, la conduite à tenir est pour une crise >15 minutes malgré 2 doses de Diazépam.","Urgence nécessitant une prise en charge spécifique."
"crise généralisée","Crise touchant les deux hémisphères cérébraux.","Caractérisée par une perte de connaissance initiale et/ou des manifestations motrices bilatérales et synchrones."
"crise focale","Activation d’un groupe limité de neurones, avec parfois généralisation secondaire, pas toujours lésionnelle.","Contraste avec les crises généralisées."
"épilepsies généralisées primaires (idiopathiques)","Facteur constitutionnel, bon pronostic.","Incluent : Grand mal, Petit Mal Absences, Epilepsie Myoclonique juvénile bénigne."
"épilepsies généralisées secondaires","Encéphalopathie sous-jacente ou dégradation.","Incluent : Syndrome de West, Syndrome de Lennox-Gastaut."
"épilepsies focales","Crises partielles simples (motrices, sensorielles, végétatives, psychiques) ou crises partielles secondairement généralisées.","Exemple : Epilepsie à paroxysme Rolandique (Epilepsie Centro-Temporal)."
"petit mal absences","Forme d’épilepsie généralisée primaire.","Début 3-10 ans (pic 5-7 ans), 10% des épilepsies de l’enfance. Suspension de conscience de quelques secondes, plusieurs dizaines par jour, décrochage scolaire. EEG : bouffées synchrones à 3 c/s, favorisées par l’hyperventilation."
"hyperventilation","Respiration profonde pendant 5 minutes.","Utilisée pour déclencher les bouffées d’absences à l’EEG."
"myoclonie palpébrale","Secousse musculaire des paupières.","Peut accompagner les absences."
"syndrome de West","Encéphalopathie épileptique du nourrisson.","Début 3-9 mois, 15% des épilepsies de la 1ère année. Triade : spasmes en flexion/extension, arrêt/régression du DPM, EEG : hypsarythmie. Étiologie : 2/3 encéphalopathie sous-jacente (EAI, syndromes neurocutanés, malformations cérébrales)."
"spasmes en flexion ou en extension","Mouvements brusques de flexion ou d’extension du tronc et des membres.","Caractéristique du syndrome de West."
"hypsarythmie","Tracé EEG spécifique du syndrome de West.","Caractérisé par des ondes lentes et des pointes désorganisées de haut voltage."
"DPM","Développement psychomoteur.","Dans le syndrome de West : arrêt ou régression du DPM."
"EAI","Encéphalopathie anoxo-ischémique.","Cause fréquente du syndrome de West."
"épilepsie à paroxysme Rolandique","Épilepsie focale bénigne de l’enfant.","Début 3-13 ans (pic 10 ans), 10-15% des épilepsies de l’enfance. Clinique : prédominance nocturne, pas d’altération conscience, prédominance facio-pharyngo-laryngée, paresthésies unilatérales langue/lèvres. EEG : pointes-ondes rolandiques unifocales en bouffées."
"pointes-ondes rolandiques","Anomalie EEG caractéristique de l’épilepsie à paroxysme Rolandique.","Localisée à la région rolandique (centro-temporale)."
"syndrome de pointes-ondes continues du sommeil (POCS)","Encéphalopathie épileptogène rare.","Diagnostic électro-clinique : crises d’épilepsie (variées, parfois inexistantes), état de mal électrique au sommeil lent (POCS), régression ou stagnation cognitive (point d’appel)."
"syndrome de Landau-Kleffner","Encéphalopathie épileptique.","Agnosie auditive acquise + aphasie épileptique acquise ; l’enfant apparaît comme sourd ou « autiste »."
"agnosie auditive acquise","Perte de la capacité à reconnaître les sons alors que l’audition périphérique est intacte.","Caractéristique du syndrome de Landau-Kleffner."
"aphasie épileptique acquise","Perte du langage acquise en rapport avec une activité épileptique.","Associée à l’agnosie auditive dans le syndrome de Landau-Kleffner."
"Valium","Diazépam, benzodiazépine.","Premier traitement d’une crise d’épilepsie. En urgence : injection intra-rectale (IR) à 1 mg/kg au total."
"Phénobarbital","Barbiturique anticonvulsivant.","Utilisé en dose de charge dans l’état de mal épileptique. Posologies : nouveau-né 20 mg/kg/j, nourrisson 15 mg/kg/j, enfant (non précisé). Injection IVDL 20 minutes."
"CLONAZEPAM","Benzodiazépine.","Si persistance de l’état de mal après Phénobarbital : dose de charge 0,1 mg/kg, dose d’entretien 0,01 mg/kg/h."
"IVDL","Intraveineuse directe lente.","Mode d’administration du Phénobarbital."
"REA","Réanimation.","Nécessaire dans l’état de mal épileptique."
"EEG","Électroencéphalogramme.","Examens : EEG standard, de sieste, EEG de sommeil (24h) + vidéo (EEG vidéo)."
"IRM","Imagerie par résonance magnétique.","Examen d’imagerie cérébrale de choix dans l’épilepsie."
"maladie neurocutanée","Affection touchant à la fois le système nerveux et la peau (ex : sclérose tubéreuse de Bourneville).","Recherchée dans le bilan étiologique de l’épilepsie."
"dépakine","Valproate de sodium, antiépileptique.","Ne pas utiliser chez une fille pubère (risque tératogène et troubles endocriniens)."
"autostimulation du nourrisson","Équivalent de masturbation chez le nourrisson, surtout fille vers 12 mois.","Souvent traité en excès."
"dosage plasmatique","Mesure de la concentration sanguine d’un médicament.","Recommandé pour ajuster le traitement antiépileptique."
