"question","answer","explanation","difficulty"
"La quantité normale de liquide pleural est de 0,1 à 0,2 ml/kg.","True","Document: 'quantité normale : 0,1 - 0,2 ml/kg'","Easy"
"La pleurésie est plus fréquente chez l'enfant que chez l'adulte.","False","Document: 'Situation plus rare chez l’enfant que chez l’adulte'","Easy"
"La douleur thoracique de la pleurésie est majorée à l'inspiration.","True","Document: 'Douleur thoracique unilatérale à type de point de côté majorée à l’inspiration'","Easy"
"Le frottement pleural est un signe constant de la pleurésie.","False","Document: 'Frottement pleural et souffle pleurétique : rares'","Easy"
"La matité d'une base pulmonaire est un signe physique d'épanchement pleural.","True","Document: 'Matité d’une base remontant'","Easy"
"Un épanchement de faible abondance est mieux visualisé sur un cliché en décubitus latéral.","True","Document: 'Mieux visualisé sur un cliché de face en Décubitus latéral sur le côté atteint'","Easy"
"Un transsudat a un taux de protéines > 30 g/l.","False","Document: '< 30 g/l : transsudat ; > 30 g/l : exsudat'","Easy"
"Un liquide pleural lactescent est caractéristique d'un chylothorax.","True","Document: 'Liquide lactescent : chylothorax'","Easy"
"La pleurésie tuberculeuse se traite par anti-tuberculeux seuls sans corticoïdes.","False","Document: 'corticoïdes : 1mg/kg (1mois)' associés","Easy"
"Un liquide pleural purulent définit une pleurésie purulente (empyème).","True","Document: 'Liquide purulent : Pleurésie purulente'","Easy"
"Le pH du liquide pleural baisse lors de la transformation en empyème.","True","Document: 'baisse du pH'","Easy"
"L'échographie pleurale ne permet pas de guider la ponction.","False","Document: 'Guider la ponction si épanchement de faible abondance'","Easy"
"Une pleurésie hémorragique donne un liquide qui coagule.","False","Document: 'ne coagule pas'","Easy"
"L'hémothorax se caractérise par un liquide sanglant qui coagule.","True","Document: 'Hémothorax : Liquide sanglant, coagule'","Easy"
"Une atélectasie refoule le médiastin du côté opposé.","False","Document: 'médiastin attiré vers le côté retracté'","Easy"
"Dans la pleurésie, le médiastin est dévié du côté opposé.","True","Document: 'déviation médiastinale du côté opposé'","Easy"
"Un taux de glucose < 4 mmol/l dans le liquide pleural oriente vers une étiologie infectieuse ou tumorale.","True","Document: 'si < 4mmol/l : Epanchement para-pneumonique, Tuberculose, Epanchements malins et rhumatoïdes'","Medium"
"Les triglycérides sont augmentés dans le chylothorax.","True","Document: 'Triglycérides : augmentés en cas de chylothorax'","Medium"
"L'épanchement para-pneumonique non compliqué est souvent purulent.","False","Document: 'De faible abondance, ponction blanche' (non purulent)","Medium"
"La pleurésie tuberculeuse a une prédominance lymphocytaire.","True","Document: 'A prédominance lymphocytaire : Tuberculose'","Medium"
"La biopsie pleurale confirme la tuberculose par la présence de foyers giganto-cellulaires et nécrose.","True","Document: 'foyers giganto-cellulaires + nécrose'","Medium"
"Un liquide pleural à prédominance lymphocytaire peut être d'origine virale.","True","Document: 'Virale' dans la liste","Medium"
"Le chylothorax peut être secondaire à une cardiopathie congénitale.","True","Document: 'Cardiopathies congénitales'","Medium"
"La ponction pleurale est indiquée pour tout épanchement quelle que soit son abondance.","False","Document: 'Indications thérapeutiques : Epanchement volumineux perturbant la mécanique ventilatoire ou dyspnée'","Medium"
"Un épanchement de moyenne abondance donne une opacité à limite supérieure concave en dedans.","True","Document: 'opacité à limite supérieure imprécise, concave en dedans'","Medium"
"L'échographie pleurale permet d'apprécier l'épaississement de la plèvre.","True","Document: 'Apprécier l’épaississement de la plèvre'","Medium"
"Des LDH élevées dans le liquide pleural sont un indicateur de degré d'infection.","True","Document: 'LDH : augmenté = indicateur de degré d’infection'","Medium"
"La pleurésie purulente est le plus souvent secondaire à une pneumopathie bactérienne.","True","Document: 'Secondaire à une pneumopathie bactérienne'","Medium"
"Le traitement des pleurésies purulentes associe drainage et antibiothérapie.","True","Document: 'drainage, antibiothérapie'","Medium"
"Les pleurésies transsudatives sont traitées par ponction évacuatrice systématique.","False","Document: 'traitement de la cause'","Medium"
"Une pleurésie peut être secondaire à une insuffisance cardiaque.","True","Document: 'Insuffisance cardiaque gauche ou globale' dans transsudat","Easy"
"La TDM thoracique permet de rechercher une fistule broncho-pleurale.","True","Document: 'Evaluer le parenchyme pulmonaire sous-jacent : atélectasie, abcès, fistule broncho-pleurale'","Medium"
"L'aspect radiologique d'un épanchement abondant est une opacité unilatérale quasi-totale.","True","Document: 'Abondant : opacité unilatérale de la quasi-totalité du champ pulmonaire'","Medium"
"Le frottement pleural est un signe précoce et fréquent.","False","Document: 'rares'","Easy"
"Un épanchement para-pneumonique disparaît en quelques jours.","True","Document: 'L’épanchement disparaît en quelques jours'","Medium"
"Le chylothorax est riche en polynucléaires neutrophiles.","False","Document: 'Riche en lymphocytes'","Medium"
"La pleurésie tuberculeuse nécessite une biopsie pleurale pour confirmation.","True","Document: 'Confirmation diagnostique : analyse histologique de la Ponction biopsie pleurale'","Medium"
"L'hémothorax ne coagule pas.","False","Document: 'coagule'","Easy"
"La pleurésie est une urgence uniquement si elle est purulente.","False","Document: 'signes de mauvaise tolérance' (dyspnée, cyanose, hémodynamique)","Difficult"
