"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la quantité normale de liquide dans l'espace pleural ?","0,5 - 1 ml/kg","0,1 - 0,2 ml/kg","1 - 2 ml/kg","2 - 3 ml/kg","2","Document: 'quantité normale : 0,1 - 0,2 ml/kg'","Easy"
"Quel est le symptôme d'appel le plus fréquent d'une pleurésie ?","Douleur thoracique unilatérale à type de point de côté majorée à l'inspiration","Dyspnée d'effort","Hémoptysie","Expectorations purulentes","1","Document: 'Douleur thoracique unilatérale à type de point de côté majorée à l’inspiration et à la toux'","Easy"
"Quel signe physique est typique d'un épanchement pleural ?","Crépitants","Matité d'une base remontant","Sibilants","Ronchi","2","Document: 'Matité d’une base remontant plus ou moins haut selon l’abondance'","Easy"
"Quel examen radiologique est le plus utile pour visualiser un épanchement de faible abondance ?","Radiographie face","Radiographie de profil","Décubitus latéral sur le côté atteint","TDM thoracique","3","Document: 'Mieux visualisé sur un cliché de face en Décubitus latéral sur le côté atteint'","Easy"
"Quel est le seuil de protéines dans le liquide pleural pour distinguer transsudat et exsudat ?","10 g/l","20 g/l","30 g/l","40 g/l","3","Document: '< 3O g/l : transsudat ; > 30 g/l : exsudat'","Easy"
"Un liquide pleural lactescent évoque :","Un empyème","Un chylothorax","Une pleurésie tuberculeuse","Un hémothorax","2","Document: 'Liquide lactescent : chylothorax'","Easy"
"Quelle est l'étiologie la plus fréquente des pleurésies chez l'enfant ?","Tuberculeuse","Infectieuse (para-pneumonique)","Cardiaque","Néoplasique","2","Document: 'Causes infectieuses : les plus fréquentes'","Easy"
"Quel est le traitement symptomatique d'un épanchement pleural mal toléré ?","Antibiothérapie","Ponction évacuatrice","Corticoïdes","Drainage chirurgical","2","Document: 'Traitement symptomatique : ponction évacuatrice'","Easy"
"Dans la pleurésie tuberculeuse, quel traitement est associé aux anti-tuberculeux ?","Corticoïdes (1 mg/kg pendant 1 mois)","Aucun","Antibiotiques","AINS","1","Document: 'Pleurésie tuberculeuse : traitement selon le protocole national : 2RHZ - 4RH corticoïdes : 1mg/kg (1mois)'","Easy"
"Un liquide pleural purulent et épais évoque :","Une pleurésie virale","Une pleurésie purulente (empyème)","Un chylothorax","Un transsudat","2","Document: 'Liquide purulent : Pleurésie purulente'","Easy"
"Quelle est la valeur du pH dans un épanchement para-pneumonique évoluant vers l'empyème ?","Augmentation","Baisse","Normale","Variable","2","Document: 'baisse du pH'","Easy"
"Quel examen permet de guider la ponction pour un épanchement de faible abondance ?","TDM","Radiographie","Échographie pleurale","IRM","3","Document: 'Guider la ponction si épanchement de faible abondance'","Easy"
"Un liquide pleural hémorragique qui ne coagule pas est appelé :","Hémothorax","Pleurésie hémorragique","Chylothorax","Empyème","2","Document: 'Pleurésie hémorragique (séro-hématique) : Liquide rosé ou rouge, teinté, ne coagule pas'","Easy"
"Un hémothorax se caractérise par un liquide :","Rosé ne coagulant pas","Sanglant qui coagule","Lactescent","Purulent","2","Document: 'Hémothorax : Liquide sanglant, coagule'","Easy"
"Quel est le principal diagnostic différentiel radiologique d'un hémithorax opaque ?","Pneumothorax","Condensation parenchymateuse ou atélectasie","Épanchement gazeux","Masse médiastinale","2","Document: 'Image de condensation : atteinte parenchymateuse ; Atélectasie'","Easy"
"Dans une atélectasie, le médiastin est :","Refoulé du côté opposé","Attiré vers le côté rétracté","Centré","Indéterminable","2","Document: 'Atélectasie : médiastin attiré vers le côté retracté'","Easy"
"Quel est le seuil de glucose dans le liquide pleural pour évoquer une étiologie particulière ?","< 2 mmol/l","< 4 mmol/l","< 6 mmol/l","< 8 mmol/l","2","Document: 'Taux de glucose : si < 4mmol/l : Epanchement para-pneumonique, Tuberculose, Epanchements malins et rhumatoïdes'","Easy"
"Quel marqueur biochimique est augmenté dans le chylothorax ?","LDH","Triglycérides","Protéines","Glucose","2","Document: 'Triglycérides : augmentés en cas de chylothorax'","Easy"
"Quelle est la particularité de l'épanchement para-pneumonique non compliqué ?","Purulent","De faible abondance, disparaît en quelques jours","Toujours bilatéral","Tendance à se reproduire","2","Document: 'De faible abondance, ponction blanche ; L’épanchement disparaît en quelques jours'","Medium"
"Quel est l'aspect cytologique d'une pleurésie tuberculeuse ?","Prédominance PNN","Prédominance lymphocytaire","Éosinophiles","Mésothéliales","2","Document: 'A prédominance lymphocytaire : Tuberculose'","Medium"
"Quel examen confirme la pleurésie tuberculeuse ?","PCR sur liquide","Biopsie pleurale avec foyers giganto-cellulaires et nécrose","Tubage gastrique","IDR","2","Document: 'Confirmation diagnostique : analyse histologique de la Ponction biopsie pleurale : MEE de foyers giganto-cellulaires + nécrose'","Medium"
"Un liquide pleural à prédominance lymphocytaire peut être observé dans :","Pneumopathie bactérienne","Tuberculose, virale, vascularite, lymphome","Empyème","Chylothorax","2","Document: 'A prédominance lymphocytaire : Tuberculose, Virale, Vascularite, Lymphome, Néoplasie, Sarcoïdose'","Medium"
"Quelle étiologie évoquer devant un chylothorax chez l'enfant ?","Lésions du canal thoracique post-chirurgicale, cardiopathies congénitales, anomalies lymphatiques, tumeurs médiastinales","Pneumopathie","Tuberculose","Insuffisance cardiaque","1","Document: 'Causes : Lésions du canal thoracique après chirurgie cardio-thoracique, Cardiopathies congénitales, Anomalie lymphatique congénitale, Tumeurs compressives du médiastin'","Medium"
"Quelle est l'indication thérapeutique d'une ponction pleurale ?","Tout épanchement","Épanchement volumineux perturbant la mécanique ventilatoire ou dyspnée","Épanchement de faible abondance","Épanchement chronique","2","Document: 'Indications thérapeutiques : Epanchement volumineux perturbant la mécanique ventilatoire ; Dyspnée'","Medium"
"Quel est l'aspect radiologique d'un épanchement de moyenne abondance ?","Comblement du cul de sac","Opacité à limite supérieure concave en dedans, remontant dans le creux axillaire","Opacité unilatérale quasi-totale","Ligne bordante","2","Document: 'Epanchement de moyenne abondance : opacité à limite supérieure imprécise, concave en dedans, remontant dans le creux axillaire'","Medium"
"Quel signe radiologique oriente vers une pleurésie plutôt qu'une atélectasie ?","Médiastin attiré","Déviation médiastinale du côté opposé et écartement des espaces intercostaux","Pincement des espaces intercostaux","Coupole diaphragmatique haute","2","Document: 'pleurésie : déviation médiastinale du côté opposé, écartement des espaces intercostaux'","Medium"
"Quel est le rôle de l'échographie pleurale ?","Apprécier l'épaississement de la plèvre, rechercher un cloisonnement, guider la ponction","Mesurer le pH","Doser les protéines","Faire une cytologie","1","Document: 'Echographie pleurale : Apprécier l’épaississement de la plèvre ; Rechercher un cloisonnement ; Différencier un épanchement d’un épanchement pleural ou masse solide ; Guider la ponction'","Medium"
"Quelle est la valeur des LDH dans le liquide pleural ?","Marqueur de transsudat","Indicateur de degré d'infection","Marqueur de chylothorax","Marqueur de tuberculose","2","Document: 'LDH : augmenté = indicateur de degré d’infection'","Medium"
"Quelle est la cause la plus fréquente de pleurésie purulente ?","Tuberculose","Pneumopathie bactérienne","Traumatisme","Néoplasie","2","Document: 'Secondaire à une pneumopathie bactérienne'","Medium"
"Quel est le traitement d'une pleurésie purulente ?","Antibiothérapie seule","Drainage + antibiothérapie","Corticoïdes seuls","Ponction évacuatrice unique","2","Document: 'Pleurésies purulentes : drainage, antibiothérapie'","Medium"
"Quel est le traitement des pleurésies transsudatives ?","Ponction évacuatrice seule","Traitement de la cause","Antibiothérapie","Corticoïdes","2","Document: 'Pleurésies transsudatives : traitement de la cause'","Medium"
"Un enfant a une douleur thoracique, une matité de la base gauche, abolition du murmure vésiculaire. Quel est le diagnostic probable ?","Pneumothorax","Pleurésie","Pneumonie","Embolie pulmonaire","2","Document: signes physiques de la pleurésie","Medium"
