"question","answer","explanation","difficulty"
"Quels sont les trois symptômes d'appel d'une pleurésie ?","Douleur thoracique unilatérale type point de côté majorée à l'inspiration et à la toux, toux sèche quinteuse majorée aux changements de position, dyspnée.","Document: 'Symptôme d’appel'","Easy"
"Citez trois signes physiques d'un épanchement pleural.","Immobilité d’un hémithorax, matité d’une base remontant, abolition du murmure vésiculaire et des vibrations vocales, rarement frottement pleural.","Document: 'Signes physiques'","Easy"
"Quels sont les trois clichés radiologiques à demander pour l'exploration d'une pleurésie ?","Face, profil, décubitus latéral.","Document: '3 clichés à demander : face, profil, décubitus latéral'","Easy"
"Quelle est la différence entre transsudat et exsudat sur le plan biochimique ?","Transsudat : protéines < 30 g/l ; Exsudat : protéines > 30 g/l.","Document: 'Taux de protéine : < 30 g/l : transsudat ; > 30 g/l : exsudat'","Easy"
"Citez trois causes de transsudat pleural.","Insuffisance cardiaque gauche ou globale, insuffisance hépatique, insuffisance rénale, syndrome néphrotique, syndrome cave supérieur (au choix trois).","Document: 'Transsudatif (protides < 30g/l) : origine mécanique'","Easy"
"Quels sont les quatre aspects macroscopiques du liquide pleural cités ?","Citrin, purulent, séro-hématique, hémorragique, lactescent.","Document: 'Aspect macroscopique : citrin, purulent, séro-hématique, hémorragique, lactescent'","Easy"
"Quelles sont les indications diagnostiques de la ponction pleurale ?","Aspect macroscopique, cytologie, bactériologie, pH, biochimie (protéines, glucose, LDH, triglycérides).","Document: 'Indication diagnostique'","Easy"
"Quelles sont les indications thérapeutiques de la ponction pleurale ?","Épanchement volumineux perturbant la mécanique ventilatoire, dyspnée.","Document: 'Indications thérapeutiques'","Easy"
"Quels sont les deux diagnostics différentiels radiologiques d'un hémithorax opaque ?","Condensation parenchymateuse (atteinte alvéolaire) et atélectasie.","Document: 'DIAGNOSTIC DIFFERENTIEL'","Easy"
"Comment différencie-t-on radiologiquement une pleurésie d'une atélectasie ?","Pleurésie : déviation médiastinale du côté opposé, écartement des espaces intercostaux. Atélectasie : médiastin attiré vers le côté rétracté, pincement des espaces intercostaux.","Document: 'pleurésie : déviation médiastinale du côté opposé, écartement des espaces intercostaux ; atélectasie : médiastin attiré vers le côté retracté et pincement des espaces intercostaux'","Medium"
