"term","definition","contextual_explanation"
"Pleurésie","Épanchement pleural liquidien : présence dans l'espace pleural d'une quantité anormale de liquide (normale : 0,1-0,2 ml/kg).","Plus rare chez l'enfant que l'adulte, le plus souvent secondaire, peut entraîner séquelles définitives."
"Espace pleural","Cavité virtuelle entre les deux feuillets de la plèvre.","Normalement ne contient que 0,1-0,2 ml/kg de liquide."
"Point de côté","Douleur thoracique latérale.","Symptôme d'appel de la pleurésie, majorée à l'inspiration et à la toux."
"Matité","Son mat à la percussion.","Signe physique d'une pleurésie, traduit la présence de liquide."
"Abolition des MV","Disparition des murmures vésiculaires à l'auscultation.","Signe physique dans la zone de matité pleurale."
"Frottement pleural","Bruit de friction des deux feuillets pleuraux enflammés.","Rare dans les pleurésies."
"Souffle pleurétique","Souffle auscultatoire traduisant une condensation pulmonaire au-dessus de l'épanchement.","Rare."
"Décubitus latéral","Position allongée sur le côté.","Cliché radiologique utile pour visualiser les épanchements de faible abondance."
"Cul-de-sac costo-diaphragmatique","Récessus pleural entre le diaphragme et les côtes.","Son comblement est le signe d'un épanchement pleural débutant."
"Atélectasie","Affaissement du poumon.","Diagnostic différentiel d'un hémithorax opaque, avec médiastin attiré vers le côté rétracté."
"Transsudat","Liquide pleural pauvre en protéines (<30 g/l).","Origine mécanique : insuffisance cardiaque, hépatique, rénale, syndrome néphrotique."
"Exsudat","Liquide pleural riche en protéines (>30 g/l).","Origine inflammatoire, infectieuse, tumorale."
"PNN","Polynucléaires neutrophiles.","Prédominent dans les épanchements para-pneumoniques et pleurésies purulentes débutantes."
"Lymphocytes","Cellules immunitaires.","Prédominent dans les pleurésies tuberculeuses, virales, vasculaires, néoplasiques."
"Épanchement para-pneumonique","Épanchement pleural compliquant une pneumopathie.","De faible abondance, ponction blanche, disparaît en quelques jours avec traitement."
"Empyème pleural","Pleurésie purulente.","Liquide purulent épais, >10.000 GB/mm3, PNN altérés, germes présents."
"Pleurésie purulente","Infection bactérienne de la plèvre avec pus.","Secondaire à une pneumopathie bactérienne, nécessite drainage et antibiothérapie."
"Chylothorax","Épanchement pleural lactescent riche en triglycérides et chylomicrons.","Causes : lésions du canal thoracique, cardiopathies congénitales, anomalies lymphatiques, tumeurs médiastinales."
"Pleurésie hémorragique","Liquide pleural rosé ou rouge, teinté, ne coagulant pas, GR>10000/mm3.","Causes : hémopathies, tumeurs, embolie pulmonaire, tuberculose."
"Hémothorax","Liquide pleural sanglant qui coagule.","Causes traumatiques : fracture de côtes, blessures pulmonaires."
"Ponction pleurale","Prélèvement de liquide pleural par voie percutanée.","Indication diagnostique (aspect, cytologie, biochimie, bactériologie) et thérapeutique (évacuation si mal toléré)."
"pH pleural","Mesure de l'acidité du liquide pleural.","Sa baisse signe la transformation d'un épanchement para-pneumonique en empyème."
"LDH","Lactate déshydrogénase.","Augmentée dans le liquide pleural, indicateur du degré d'infection."
"Chylomicrons","Lipoprotéines transportant les lipides alimentaires.","Présents dans le chylothorax, donnent l'aspect lactescent."
"Ponction biopsie pleurale","Prélèvement d'un fragment de plèvre pour analyse histologique.","Confirme le diagnostic de pleurésie tuberculeuse (foyers giganto-cellulaires avec nécrose)."
"2RHZ - 4RH","Protocole de traitement de la tuberculose : 2 mois de Rifampicine, Isoniazide, Pyrazinamide puis 4 mois de Rifampicine, Isoniazide.","Traitement de la pleurésie tuberculeuse selon le protocole national."
"Ponction évacuatrice","Ponction pleurale visant à évacuer le liquide.","Traitement symptomatique de toute pleurésie mal tolérée, quelle que soit la cause."
