"term","definition","contextual_explanation"
"néphroblastome","Tumeur rénale maligne embryonnaire","C'est de loin la plus fréquente des tumeurs rénales chez l'enfant, également appelée tumeur de Wilms."
"tumeur de Wilms","Autre nom du néphroblastome","Terme utilisé en parallèle dans le document."
"hémi-hypertrophie corporelle","Hypertrophie d'une moitié du corps","Population à risque de néphroblastome."
"syndrome de Wiedemann Beckwith","Syndrome congénital de surcroissance","Population à risque de néphroblastome."
"aniridie","Absence congénitale de l'iris","Population à risque de néphroblastome."
"association WAGR","Wilms, aniridie, malformation génito-urinaire, retard mental","Population à risque de néphroblastome."
"syndrome de Drash","Syndrome avec ambiguïté sexuelle et glomérulopathie","Population à risque de néphroblastome."
"pseudo-capsule","Enveloppe fibreuse autour de la tumeur","Le néphroblastome est parfaitement limité par une pseudo-capsule qui le sépare du parenchyme rénal sain."
"néphroblastomatose","Présence de multiples tumeurs rénales (néphroblastomes)","Peut être synchrone (apparition simultanée) ou asynchrone (apparition l'une après l'autre)."
"synchrone","Qui survient en même temps","Dans la néphroblastomatose, les tumeurs peuvent être synchrones."
"asynchrone","Qui survient l'une après l'autre","Dans la néphroblastomatose, les tumeurs peuvent être asynchrones."
"composante blastémateuse","Composante histologique faite de cellules blastémateuses immatures","Une des trois composantes microscopiques du néphroblastome."
"composante épithéliale","Composante histologique faite de structures épithéliales","Une des trois composantes microscopiques du néphroblastome."
"stroma","Tissu conjonctif de soutien","Une des trois composantes microscopiques du néphroblastome."
"formes favorables","Type pronostique favorable","Incluent les néphroblastomes multi-kystiques, les formes épithéliales, et le néphrome mésoblastique (tumeur de Bolande)."
"néphrome mésoblastique","Tumeur rénale bénigne ou de bas grade","Également appelée tumeur de Bolande, classée parmi les formes favorables."
"tumeur de Bolande","Autre nom du néphrome mésoblastique","Forme favorable de néphroblastome."
"formes intermédiaires","Type pronostique intermédiaire","Incluent les néphroblastomes blastémateux et mésenchymateux."
"NB blastémateux","Néphroblastome à prédominance blastémateuse","Forme intermédiaire."
"NB mésenchymateux","Néphroblastome à prédominance mésenchymateuse","Forme intermédiaire."
"formes défavorables","Type pronostique défavorable","Incluent le néphroblastome anaplasique."
"NB anaplasique","Néphroblastome avec anaplasie","Forme défavorable sur le plan pronostic."
"VMA","Acide vanylmandélique, marqueur biologique","Sa négativité, avec HVA et dopamine, permet un traitement sans confirmation histologique."
"HVA","Acide homovanillique, marqueur biologique","Sa négativité, avec VMA et dopamine, permet un traitement sans confirmation histologique."
"dopamine","Catécholamine, marqueur biologique","Sa négativité, avec VMA et HVA, permet un traitement sans confirmation histologique."
"ponction biopsie à l'aiguille fine","Prélèvement percutané de tissu tumoral","Indiquée en cas douteux pour confirmer le diagnostic."
"ADP (adénopathies)","Ganglions lymphatiques pathologiques","Recherchées dans le bilan d'extension loco-régional par échographie et TDM."
"thrombose de la veine rénale","Formation d'un caillot dans la veine rénale","Recherchée dans le bilan d'extension."
"thrombose de la veine cave","Formation d'un caillot dans la veine cave","Recherchée dans le bilan d'extension."
"NB bilatéral","Néphroblastome touchant les deux reins","Le diagnostic préopératoire se fait par écho et TDM ; on pratique une chirurgie conservatrice."
"HTA (hypertension artérielle)","Pression artérielle anormalement élevée","Forme particulière de néphroblastome, liée à une sécrétion de rénine par la tumeur."
"rénine","Enzyme sécrétée par le rein","Sa sécrétion par la tumeur peut provoquer une HTA."
"actinomycine","Agent chimiothérapeutique","Utilisé dans le traitement du néphroblastome."
"vincristine","Agent chimiothérapeutique","Utilisé dans le traitement du néphroblastome."
"épirubicine","Agent chimiothérapeutique","Utilisé dans le traitement du néphroblastome."
"ifosfamide","Agent chimiothérapeutique","Utilisé dans le traitement du néphroblastome."
"étoposide","Agent chimiothérapeutique","Utilisé dans le traitement du néphroblastome."
"carboplatine","Agent chimiothérapeutique","Utilisé dans le traitement du néphroblastome."
"néphrectomie totale élargie","Ablation chirurgicale complète du rein avec marges","Traitement chirurgical habituel du néphroblastome, par incision transversale transpéritonéale."
"chirurgie conservatrice","Chirurgie préservant le parenchyme rénal","Indiquée dans les néphroblastomes sur rein unique et les néphroblastomes bilatéraux."
"radiothérapie","Traitement par rayonnements ionisants","Le néphroblastome est une tumeur radiocurable, mais la radiothérapie chez le petit enfant entraîne des séquelles importantes."
"radiocurable","Sensible à la radiothérapie","Le néphroblastome est qualifié de radiocurable dans le document."
"stade I","Stade de classification du néphroblastome","Survie à 93% selon le document."
"stade IV","Stade de classification du néphroblastome (métastatique)","Survie à 58% selon le document."
