"term","definition","contextual_explanation"
"Rubéole","Maladie virale due à un ribovirus (virus à ARN).","Transmission aérienne ou transplacentaire. Incubation 15-21 jours. Immunité durable."
"Ribovirus","Virus à ARN (acide ribonucléique).","Agent causal de la rubéole."
"Rubéole congénitale","Infection du fœtus par transmission transplacentaire du virus de la rubéole.","Responsable du syndrome de rubéole congénitale (polymalformations) si contamination maternelle avant 18 SA."
"Syndrome de rubéole congénitale","Ensemble des malformations congénitales dues à la rubéole.","Survient si contamination d'une femme enceinte non immunisée avant 18 semaines d'aménorrhée."
"ITG","Interruption thérapeutique de grossesse.","Indiquée si rubéole maternelle avant 18 SA en raison du risque polymalformatif."
"Contagiosité","Période pendant laquelle un sujet infecté peut transmettre la maladie.","Rubéole : 1 semaine avant jusqu'à 2 semaines après le début de l'éruption."
"Phase d'invasion","Première phase clinique de la rubéole.","Durée 1 semaine. Fièvre modérée, EG conservée, absence de catarrhe, céphalées, courbatures, pharyngite."
"Phase éruptive","Phase d'apparition de l'éruption cutanée.","Débute 15-20 jours après le contage. Exanthème maculo-papuleux, macules/papules plus petites que celles de la rougeole, début au visage puis thorax, une seule poussée sur 72h, disparition fugace."
"Exanthème maculo-papuleux","Éruption cutanée faite de macules et de papules.","Dans la rubéole, les éléments sont plus petits que ceux de la rougeole."
"Purpura thrombopénique post-éruptif","Diminution du taux de plaquettes avec purpura survenant après l'éruption.","Complication hématologique de la rubéole."
"Arthrites","Inflammation des articulations.","Complication articulaire de la rubéole, surtout chez l'adulte."
"Arthralgies","Douleurs articulaires sans inflammation.","Complication articulaire de la rubéole."
"Encéphalite","Inflammation du cerveau.","Complication neurologique rare de la rubéole."
"Méningo-encéphalite","Inflammation associée des méninges et du cerveau.","Complication neurologique rare de la rubéole."
"IgM spécifiques","Immunoglobulines M dirigées contre le virus de la rubéole.","Leur dosage est indiqué en phase aiguë (pendant 2 mois), dans les formes atypiques/compliquées, et lors d'un contact avec une femme enceinte non immune."
"Vaccin rubéoleux","Vaccin contre la rubéole.","2 doses avant l'âge de 2 ans."
"Éviction scolaire","Mesure d'éloignement d'un enfant de l'école.","Non nécessaire dans la rubéole sauf si l'enseignante est enceinte."
"Catarrhe","Inflammation des muqueuses avec sécrétions (larmoiement, rhinorrhée, toux).","Absent dans la phase d'invasion de la rubéole (contrairement à la rougeole)."
