question, option1, option2, option3, option4, answer, explanation, difficulty
"Quelle est la définition de l'aménorrhée secondaire ?", "Absence de menstruation depuis plus de 1 mois", "Absence de menstruation depuis plus de 3 mois", "Absence de menstruation depuis plus de 6 mois", "Absence de menstruation depuis plus de 12 mois", "2", "Le document indique : 'Aménorrhée secondaire : absence de menstruation depuis plus de 3 mois chez une femme dont le cycle est antérieurement régulier'", "Easy"
"Quelle est la principale cause d'aménorrhée secondaire ?", "Ménopause précoce", "Syndrome des ovaires polykystiques", "Grossesse", "Insuffisance hypophysaire", "3", "Le document : 'Principale cause = grossesse'", "Easy"
"À partir de quel seuil le test de grossesse est-il considéré comme positif ?", "> 1 mUI/mL", "> 3 mUI/mL", "> 5 mUI/mL", "> 10 mUI/mL", "3", "Le document : 'Test de grossesse : bHCG plasmatique ou urinaire : positif si > 5mUI/mL'", "Easy"
"Quel examen permet d'évaluer l'activité ovarienne de manière simple ?", "Dosage de la prolactine", "Courbe de température", "Hystéroscopie", "IRM hypophysaire", "2", "Le document : 'Courbe de température : Activité des ovaires'", "Easy"
"Dans le syndrome de Sheehan, quelle est l'étiologie ?", "Tumeur hypophysaire", "Accouchement hémorragique", "Anorexie mentale", "Sport de haut niveau", "2", "Le document : 'Insuffisance hypophysaire globale : Après un accouchement hémorragique (Sd de Sheehan)'", "Easy"
"Quel est le taux de prolactine évocateur d'un adénome à prolactine ?", "> 50 ng/mL", "> 100 ng/mL", "> 150 ng/mL", "> 200 ng/mL", "2", "Le document : 'Adénome à prolactine (> 100ng/ml)'", "Easy"
"Le traitement des synéchies utérines se fait par quel moyen ?", "Curetage", "Effondrement sous hystéroscopie", "Traitement hormonal", "Antibiothérapie", "2", "Le document : 'Traitement : effondrer la synéchie sous hystéroscopie'", "Easy"
"Dans la ménopause précoce, quel est le profil hormonal caractéristique ?", "FSH et LH basses, œstrogènes élevés", "FSH et LH élevées, œstrogènes effondrées", "FSH basse, LH élevée", "FSH élevée, LH basse", "2", "Le document : 'Ménopause précoce : FSH et LH élevées, oestrogènes effondrées'", "Easy"
"La sténose cicatricielle du col utérin se traduit par quel symptôme ?", "Galactorrhée", "Dysménorrhée spasmodique, stérilité", "Bouffées de chaleur", "Anosmie", "2", "Le document : 'Sténose cicatricielle du col utérin : Dysménorrhée spasmodique, stérilité'", "Easy"
"Quelle est la prise en charge d'une sténose cicatricielle du col utérin ?", "Cathétériser le canal endocervical et agrandir l'orifice", "Traitement hormonal substitutif", "Bromocriptine", "Antidépresseurs", "1", "Le document : 'Traitement : cathétériser le canal endocervical et agrandir l'orifice'", "Easy"
"Quel médicament est cité comme exemple de dérivé des phénothiazines pouvant induire une hyperprolactinémie ?", "Dogmatil", "Largactil", "Bromocriptine", "Clomifène", "2", "Le document : 'dérivés des phénothiazines à fortes doses (Largactil*)'", "Easy"
"Les antidépresseurs peuvent entraîner quelle complication endocrinienne ?", "Ménopause précoce", "Hyperprolactinémie iatrogène", "Synéchies utérines", "Insuffisance ovarienne", "2", "Le document : 'Hyperprolactinémie iatrogène : Antidépresseurs'", "Easy"
"Pourquoi la courbe de température est-elle normale en l'absence d'anomalie ovarienne ?", "Car elle montre un décalage thermique en phase lutéale", "Car elle reste monophasique", "Car elle est toujours irrégulière", "Car elle ne dépend pas des ovaires", "1", "Le document : 'Courbe de température : Normale si décalage thermique'", "Medium"
"Expliquez le mécanisme d'une aménorrhée post-pillule.", "Les progestatifs macrodosés inhibent l'axe hypothalamo-hypophysaire, entraînant un retard de reprise de l'ovulation après arrêt", "Le document : 'Aménorrhées hypothalamiques : Post pillules : progestatifs macrodosés'", "Medium"
"Quel est le rôle du test aux progestatifs dans le bilan d'aménorrhée secondaire ?", "Tester l'intégrité de l'endomètre et l'imprégnation oestrogénique", "Le document : 'Test aux progestatifs : administration de progestatif pendant 10 jours. Quelques jours après fin de prise, il doit y avoir un saignement génital = endomètre normal'", "Medium"
"Pourquoi une aménorrhée peut-elle survenir chez les athlètes de haut niveau ?", "Car l'entraînement intense augmente la LH ? Le document dit 'augmentation de LH', probable dysrégulation", "Le document : 'Athlètes de haut niveau : entrainement intense (augmentation de LH)' – paradoxe apparent, probablement stress métabolique", "Medium"
"Quel traitement est proposé dans l'insuffisance hypophysaire globale du syndrome de Sheehan ?", "Traitement substitutif à vie : oestro-progestatif + hydrocortisone + extraits thyroïdiens", "Le document : 'Traitement : traitement substitutif à vie : oestro-progestatif + hydrocortisone + extraits thyroïdiens'", "Medium"
"Quels sont les trois axes hormonaux déficitaires dans le syndrome de Sheehan ?", "Gonadotrope, corticotrope, thyrotrope", "Le document : FSH-LH (gonadotrope), cortisol (corticotrope), extraits thyroïdiens (thyrotrope)", "Medium"
"Comment traite-t-on une hyperprolactinémie iatrogène ?", "Arrêt des médicaments responsables ou antiprolactines (bromocriptine, cabergoline)", "Le document : 'Traitement : arrêt des médicaments; antiprolactines = bromocriptine, cabergoline'", "Medium"
"Quel est le traitement de la dystrophie ovarienne avec dysovulation et désir de grossesse ?", "Citrate de clomifène", "Le document : 'Dystrophie ovarienne : Traitement : citrate de clomifène si désirs de grossesse'", "Medium"
"Quelle est la différence de prise en charge entre une ménopause précoce et une insuffisance hypophysaire globale ?", "Ménopause précoce : oestroprogestatifs seuls ; insuffisance hypophysaire : oestroprogestatifs + hydrocortisone + extraits thyroïdiens", "Le document donne des traitements différents pour les deux entités", "Difficult"
"Pourquoi une aménorrhée secondaire psychogène survient-elle après un choc émotionnel ?", "Le stress active l'axe corticotrope, inhibant la sécrétion de GnRH par l'hypothalamus", "Le document : 'Psychogène : voyage, décès d’un proche, mésentente conjugale, viol' – mécanisme hypothalamique", "Difficult"
"Une patiente sous neuroleptiques présente une aménorrhée avec galactorrhée. Quel mécanisme suspectez-vous ?", "Hyperprolactinémie iatrogène par blocage dopaminergique", "Le document : 'Hyperprolactinémie iatrogène : neuroleptiques'", "Medium"
"Quelles sont les deux causes d'aménorrhée d'origine basse liées à l'utérus ?", "Sténose cicatricielle du col et synéchies utérines", "Le document liste ces deux entités", "Easy"
"Quel examen morphologique peut montrer une atrophie ou hypertrophie endométriale ?", "Échographie pelvienne", "Le document : 'Échographie pelvienne : morphologie de l'endomètre (atrophie ou hypertrophie)'", "Medium"
"La dystrophie ovarienne est responsable de quel trouble fonctionnel ?", "Dysovulation", "Le document : 'Dystrophie ovarienne : Dysovulation'", "Easy"
"Quel est le traitement chirurgical éventuel des dystrophies ovariennes ?", "Chirurgie (ovarienne) mentionnée mais non précisée", "Le document : 'Traitement : chirurgie' en dernier recours", "Medium"
"Expliquez pourquoi l'hystéroscopie est indiquée après un test de grossesse négatif dans l'aménorrhée secondaire.", "Pour visualiser directement l'état de l'endomètre, rechercher synéchies ou sténose cicatricielle", "Le document : 'Hystéroscopie : état de l’endomètre si test de grossesse négatif'", "Medium"
"Quelle est la conduite à tenir devant une aménorrhée secondaire avec test aux progestatifs négatif ?", "Exploration hormonale de l'axe : FSH, LH, œstradiol, prolactine", "Document n'explicite pas mais logique après test négatif", "Difficult"
"Selon le document, quel pourcentage des étiologies d'aménorrhée secondaire est diagnostiqué à l'interrogatoire ?", "80%", "Le document : '80% des étiologies sont diagnostiquées à l’interrogatoire'", "Easy"
