"term","definition","contextual_explanation"
"hypotrophie néonatale","Retard de croissance intra-utérin (RCIU) : poids de naissance < 10ème percentile pour l’âge gestationnel.","Troisième cause de mortalité périnatale. Peut être harmonieux (symétrique, 20 %) ou disharmonieux (asymétrique, 80 %)."
"RCIU","Retard de croissance intra-utérin – synonyme d’hypotrophie néonatale.","Défini par un poids < 10ème percentile sur les courbes de référence (Leroy et Lefort en France)."
"courbes de Leroy et Lefort","Courbes de référence françaises pour l’évaluation du poids de naissance en fonction de l’âge gestationnel.","Utilisées pour le diagnostic d’hypotrophie néonatale."
"RCIU sévère","Hypotrophie sévère.","Prématuré : poids < 3ème percentile (< -2DS sur courbes de Usher). À terme : poids < 5ème percentile."
"RCIU harmonieux","Forme symétrique d’hypotrophie (20 %).","Atteinte simultanée du poids, de la taille et du périmètre crânien. Pronostic plus mauvais que la forme disharmonieuse."
"RCIU disharmonieux","Forme asymétrique d’hypotrophie (80 %).","Respect du périmètre crânien et de la taille (épargne céphalique)."
"épargne céphalique","Préservation relative du périmètre crânien et de la taille dans l’hypotrophie disharmonieuse.","Signe de RCIU disharmonieux."
"courbes de Usher","Courbes de référence pour les prématurés.","Utilisées pour définir le RCIU sévère chez le prématuré (< -2DS)."
"score de Manning","Score échographique évaluant la vitalité fœtale.","Critère de gravité de l’hypotrophie néonatale."
"insertions vélamenteuses","Insertion anormale du cordon ombilical sur les membranes, non sur le placenta.","Cause placentaire d’hypotrophie (5 %)."
"chorangiome","Tumeur vasculaire bénigne du placenta.","Anomalie placentaire pouvant entraîner une hypotrophie."
"entérocolites ulcéro-nécrosantes (ECUN)","Nécrose intestinale du nouveau-né, complication grave.","Complication digestive de l’hypotrophie. L’alimentation précoce (sans asphyxie périnatale) vise à la prévenir."
"cholestase prolongée","Ralentissement ou arrêt de l’excrétion biliaire.","Complication hépatique de l’hypotrophie, surtout d’origine nutritionnelle."
"polyglobulie","Augmentation anormale du nombre de globules rouges.","Complication hématologique de l’hypotrophie."
"neutropénie","Diminution du nombre de polynucléaires neutrophiles.","Complication hématologique."
"thrombopénie","Diminution du nombre de plaquettes.","Complication hématologique."
"hypoprotidémie","Taux anormalement bas de protéines totales dans le sang.","Complication métabolique de l’hypotrophie."
"gain pondéral","Prise de poids quotidienne.","Objectifs : 10 g/kg/j pour l’eutrophe à terme, 15 g/kg/j pour le prématuré, 20 g/kg/j pour l’hypotrophie (en l’absence de complications)."
"rattrapage pondéral","Récupération du poids normal pour l’âge.","À 12 mois, l’hypotrophie atteint 100 % du poids d’un nouveau-né à terme eutrophe. La taille atteint 75 % sur plusieurs années, le PC 50 %."
"supplémentation vitaminique et martiale","Apport de vitamines et de fer.","Partie de la prise en charge de l’hypotrophie néonatale."
"dextro","Mesure de la glycémie capillaire.","Surveillance régulière recommandée chez l’hypotrophie."
