"term","definition","contextual_explanation"
"Vaccin","Préparation contenant des substances antigéniques destinées à induire une immunité active et spécifique contre un agent infectieux.","Objectif : prévenir la maladie ou diminuer les formes graves."
"Vaccination","Immunoprophylaxie active visant à induire une réponse immunitaire spécifique pour éviter la maladie ou en atténuer les manifestations.","Basée sur la mémoire immunitaire."
"Immunité active","Stimulation du système immunitaire conduisant à une immunité humorale et cellulaire spécifique, durable grâce aux cellules mémoires.","Durée de plusieurs années."
"Immunité passive","Transfert d'anticorps produit par un humain ou un animal (naturel : mère-enfant ; artificiel).","Protection temporaire."
"Immunité collective","Protection de sujets non vaccinés par la forte proportion d'individus vaccinés dans la population.","Plus la couverture vaccinale est élevée, moins les sensibles sont exposés."
"Réponse primaire","Réponse immunitaire après la primo-vaccination : ascension lente des IgM, puis décroissance rapide.","Peu spécifique."
"Réponse secondaire (rappel)","Réponse après une nouvelle injection : ascension rapide, importante et durable des IgG.","Spécifique et intensifiée."
"Vaccins vivants atténués (VVA)","Vaccins dérivés de virus ou bactéries sauvages atténués en laboratoire.","Réponse immune proche de l'infection naturelle. Risque de réversion chez immunodéprimés. Ex: BCG, VPO, rougeole, ourlons, rotavirus, fièvre jaune."
"Vaccins inactivés","Vaccins obtenus par inactivation (chaleur ou formaldéhyde) de la culture virale ou bactérienne.","Pas de risque de réversion. Nécessitent plusieurs doses. Ex: anticoquelucheux cellules entières, VPI."
"Anatoxines","Vaccins obtenus par purification et altération chimique d'une toxine bactérienne.","Non toxiques mais immunogènes, associés à un adjuvant (sels d'aluminium). Ex: anatoxine tétanique, diphtérique."
"Vaccins sous-unitaires","Vaccins ne contenant que des composants purifiés du micro-organisme.","3 groupes : protéiques, polysaccharidiques, conjugués. Ex: hépatite B, coqueluche acellulaire, méningocoque, pneumocoque, Hib."
"Adjuvants","Substances stimulant la réaction immunitaire en intensité et/ou durée, retenant l'antigène au site d'injection.","Ex: sels d'aluminium (phosphate, sulfate)."
"Conservateurs","Substances chimiques ajoutées aux vaccins inactivés ou sous-unitaires pour inactiver virus, neutraliser toxines, prévenir contaminations.","Ex: thiomersal, dérivés phénolés."
"Stabilisants","Substances maintenant l'efficacité du vaccin pendant le stockage (acidité, alcalinité, température).","Ex: chlorure de magnésium, sulfate de magnésium, lactose-sorbitol, sorbitol-gélatine."
"Antibiotiques (dans vaccins)","Utilisés pendant la fabrication pour éviter contamination bactérienne des cultures.","Ex: néomycine dans ROR et VPI (<25 µg/dose)."
"MAPI","Manifestation adverse post-immunisation : tout événement médical fâcheux survenant après l'administration d'un vaccin, sans lien causal nécessaire.","5 catégories : liée au produit, défaut de qualité, erreur de vaccination, anxiété, événement concomitant."
"BCGite","Réaction différée au BCG entre la 3ème et 12ème semaine : lésion suppurée + adénite satellite.","Réaction locale spécifique du BCG."
"Convulsions hyperthermiques","Complication post-vaccinale possible avec les vaccins coqueluche et rougeole.","Effet indésirable neurologique."
"PEV","Programme Elargi de Vaccination à Madagascar.","Calendrier : naissance (BCG-polio0), 6 semaines (DTCP HepB Hib-1 Rota-1 PCV10-1), 10 semaines (DTCP HepB Hib-2 Rota-2 PCV10-2), 14 semaines (DTCP HepB Hib-3 PCV10-3), 9 mois (anti-rougeoleux)."
"DTCP","Vaccin diphtérie, tétanos, coqueluche, poliomyélite (inactivé?).","Inclus dans le PEV à 6,10,14 semaines."
"HepB","Vaccin contre l'hépatite B.","Inclus dans le PEV à 6,10,14 semaines."
"Hib","Vaccin contre Haemophilus influenzae type b (conjugué).","Inclus dans le PEV à 6,10,14 semaines."
"Rota","Vaccin contre le rotavirus (vivant atténué oral).","Inclus à 6 et 10 semaines."
"PCV10","Vaccin antipneumococcique conjugué 10-valent.","Inclus à 6,10,14 semaines."
"BCG","Vaccin vivant atténué contre la tuberculose.","Administré à la naissance (avant 14 jours)."
"VPO","Vaccin antipoliomyélite oral (vivant atténué).","Polio 0 à la naissance."
"Prick-test","Test allergologique cutané.","Recommandé avant la vaccination contre la fièvre jaune chez un sujet allergique."
"Immunodépression","Contre-indication aux vaccins vivants atténués (BCG, rougeole, ourlons, rubéole, fièvre jaune, VPO, rotavirus).","Risque de réversion du pathogène."
