"question","answer","explanation","difficulty"
"L'état de choc correspond à une défaillance du système circulatoire avec inadéquation entre l'apport et les besoins en oxygène.","True","Le document donne cette définition.","Easy"
"Le choc vasoplégique est un autre nom du choc anaphylactique.","True","Le document : 'Choc vasoplégique (anaphylactique)'.","Easy"
"La bradycardie est le premier signe du choc chez l'enfant.","False","Le document : 'Tachycardie +++ (premier signe retrouvé) (si bradycardie : trop tard)'.","Easy"
"Le temps de recoloration cutanée (TRC) normal est inférieur à 3 secondes.","True","Le document cite 'TRC > 3 sec' comme anormal.","Easy"
"L'eau représente 75% du poids du nourrisson.","True","Le document : '75% du poids d’un nourrisson'.","Easy"
"Une perte de 5% du poids corporel entraîne un retentissement hémodynamique majeur.","False","Le document : 'Dès la perte de 10% du poids du corps : -> retentissement hémodynamique +++'.","Easy"
"Le sepsis est défini par un SRIS + infection prouvée ou suspectée.","True","Le document : 'Sepsis : SRIS + infection (prouvée ou suspectée)'.","Easy"
"Le purpura fébrile chez l'enfant est une infection à pneumocoque jusqu'à preuve du contraire.","False","Le document : 'purpura fébrile = infection à méningocoque jusqu’à preuve du contraire'.","Easy"
"Le choc septique chez le nouveau-né est souvent dû au streptocoque B et E. Coli.","True","Le document le mentionne.","Easy"
"Le traitement du choc anaphylactique repose sur l'adrénaline en IM à 10 µg/kg.","True","Le document le donne.","Easy"
"Le stylo d'adrénaline s'appelle ANAPEN selon le document.","True","Le document : 'stylo prérempli d’adrénaline en pharmacie : ANAPEN'.","Easy"
"Le remplissage vasculaire se fait avec du sérum glucosé 5%.","False","Le document : 'Remplissage vasculaire avec du SSI 0,9% (20ml/kg)'.","Easy"
"La dobutamine est la catécholamine de choix dans le choc cardiogénique.","True","Le document : 'Dobutamine' pour choc cardiogénique.","Easy"
"Dans le choc hypovolémique, la noradrénaline est utilisée en première intention.","False","Le document : 'Remplissage vasculaire' en premier, puis noradrénaline si nécessaire.","Easy"
"Le choc chaud se caractérise par des extrémités froides.","False","Le document : 'Choc chaud : Extrémités chaudes, voire rouges'.","Easy"
"La reprise de la diurèse est un bon signe dans la surveillance du choc.","True","Le document : 'reprise de la diurèse : déjà un très bon signe'.","Easy"
"Le SRIS nécessite au moins 3 critères parmi les 4.","False","Le document : '2 des critères suivants, dont au moins la température ou l’anomalie leucocytaire'.","Easy"
"La température pour le SRIS doit être > 38,5°C ou < 36°C.","True","Le document le donne.","Easy"
"La leucocytose pour le SRIS est > 10 000/mm3.","False","Le document donne > 12 000/mm3.","Easy"
"Le sepsis grave peut être défini par un sepsis + SDRA.","True","Le document : 'Sepsis grave : sepsis + syndrome de détresse respiratoire aiguë (SDRA)'.","Easy"
"Le choc septique nécessite une TAS < 2DS malgré un remplissage de 40 ml/kg en 1 heure.","True","Le document le mentionne.","Medium"
