"front","back","cognitive_level"
"Quelle est la définition d'un retard de croissance selon le document ?","Taille < -2 Déviations Standards (DS) ou IMC < 3ème percentile, OU ralentissement de la vitesse de croissance, OU croissance staturale inférieure ou égale à -1,5 DS par rapport à la taille cible génétique.","Recall"
"Citez 4 méthodes d'évaluation de la croissance chez l'enfant.","1) Courbe de croissance (poids, taille, PC) ; 2) Taille cible génétique ; 3) Âge osseux (méthode de Greulich et Pyle) ; 4) Indice de masse corporelle (IMC).","Recall"
"Quelles sont les 4 phases de la croissance staturale avec leurs vitesses ?","1) 0-4 ans : rapide, l'enfant se place sur son couloir génétique ; 2) 4 ans à puberté : croissance linéaire 5-6 cm/an ; 3) Puberté : croissance rapide 7-9 cm/an ; 4) Post-pubertaire : 1 cm/an.","Recall"
"Quels sont les 4 facteurs de contrôle de la croissance ?","Génétiques/raciaux, nutritionnels, psycho-affectifs, hormonaux (GH, hormones thyroïdiennes, hormones sexuelles).","Recall"
"Quelle est la taille cible génétique pour un garçon ?","(Taille père + taille mère)/2 + 6,5 cm.","Recall"
"Quelle est la taille cible génétique pour une fille ?","(Taille père + taille mère)/2 - 6,5 cm.","Recall"
"Quelle est la méthode de référence pour évaluer l'âge osseux ?","Méthode de Greulich et Pyle : critères radiologiques de maturation osseuse sur un atlas de la main gauche.","Recall"
"Quels sont les 4 résultats attendus pour une croissance normale ?","1) Régularité de la croissance et de la vitesse ; 2) Concordance courbe pondérale et staturale ; 3) Concordance (+/-1,5 DS) avec taille cible ; 4) Âge chronologique = âge statural = âge osseux.","Recall"
"Quelle est l'origine et le mécanisme d'action de l'hormone de croissance (GH) ?","Origine hypophysaire, sécrétion stimulée par GHRH (hypothalamique) et ghréline (stomacale). Au niveau du foie, génère l'IGF-1.","Recall"
"Citez 5 causes endocriniennes de retard de croissance.","1) Hypothyroïdies (congénitale ou acquise) ; 2) Hypercorticisme (iatrogène ou endogène) ; 3) Craniopharyngiome ; 4) Déficit en hormone de croissance (congénital ou secondaire) ; 5) Retard simple de puberté.","Recall"
"Quels sont les signes cliniques de l'hypothyroïdie congénitale non traitée ?","Retard de croissance, retard de maturation osseuse, anomalie du développement neuropsychologique. Dépistage par test Guthrie à J3.","Recall"
"Quels sont les signes du craniopharyngiome ?","Retard de croissance débutant après 4 ans, modification de la vitesse de croissance chez un enfant antérieurement normal, signes d'HTIC, signes ophtalmologiques (œdème papillaire, cécité), diabète insipide.","Recall"
"Quel est le syndrome génétique le plus fréquent responsable de retard de croissance chez la fille ?","Syndrome de Turner (1 cas/2500 filles), absence totale ou partielle d'un chromosome X.","Recall"
"Quels sont les signes du syndrome de Turner à la naissance ?","Nuque épaisse, cardiopathie, retard de croissance, rein en fer à cheval, lymphœdème des extrémités, nouveau-né PAG (petit pour âge gestationnel).","Recall"
"Quels sont les signes du syndrome de Turner dans l'enfance ?","Ralentissement de la croissance, infections ORL répétées, intelligence normale, aspect trapu, cou court large, implantation basse des cheveux et des oreilles, thorax large.","Recall"
"Quels examens paracliniques sont recommandés devant un retard de croissance ?","NFS, VS, CRP ; ionogramme, urée, créatinine ; ferritine ; TSH, T4, IGF-1, cortisol, caryotype si fille ; radiographie main gauche (âge osseux) ; échographie thyroïdienne, scanner/IRM cérébrale.","Recall"
"Quelle est la prise en charge d'un retard de croissance ?","Traitement de l'affection causale, prise en charge nutritionnelle, prise en charge psycho-sociale, traitement par hormone de croissance (si déficit statural post-RCIU, syndrome de Turner, insuffisance en GH).","Recall"
"Quelle est la distinction entre retard pondéral et retard statural ?","Retard pondéral : ralentissement de la prise de poids isolé ou antérieur à celui de la taille. Retard statural : ralentissement de la vitesse de croissance staturale antérieur ou contemporain à celui de la prise de poids.","Understanding"
"Quels sont les repères de croissance à 1 an (taille, poids, PC) ?","Taille 75 cm, poids 10 kg (PN x 3), PC 47 cm.","Recall"
"Quels sont les repères de croissance à 4 ans (taille, poids, PC) ?","Taille 100 cm (TN x 2), poids 16 kg, PC 50 cm.","Recall"
"Quelle est la formule du PC jusqu'à 4 ans ?","(Taille/2) + 10 cm.","Recall"
"Quel est le pourcentage de nouveau-nés PAG qui normalisent leur taille dans les 2 premières années ?","90%. 10% n'ont pas de rattrapage.","Recall"
"Qu'est-ce qu'un PAG ?","Nouveau-né de petit poids ou de petite taille pour son âge gestationnel. OMS : poids de naissance <2500g ; courbes AUDIPOG : taille ou PN < -2DS pour l'âge gestationnel.","Recall"
"Quelle est la cause la plus fréquente de retard statural à l'adolescence ?","Le retard simple de puberté (fréquent chez le garçon, rare chez la fille).","Recall"
"Quels sont les signes du retard simple de puberté ?","Antécédents familiaux (retard pubertaire, croissance tardive, premières règles après 15 ans), retard pubertaire clinique.","Recall"
"Quelle est la petite taille constitutionnelle ou idiopathique ?","Fréquente, souvent mère ou père de petite taille. Vitesse de croissance régulière, âge osseux peu retardé, retard harmonieux isolé sans anomalie hormonale. Éliminer autres causes.","Recall"
"Quelle est la conduite à tenir devant une cassure de la taille ?","Orientation endocrinologique.","Recall"
"Quelle est la conduite à tenir devant une cassure pondérale ?","Orientation gastro-entérologique et nutritionnelle.","Recall"
"Comparez les causes de retard statural avec prise de poids concomitante vs sans prise de poids.","Avec prise de poids : hypothyroïdies, hypercorticisme, craniopharyngiome. Sans prise de poids : déficit en GH, retard simple de puberté.","Analysis"
