"term","definition","contextual_explanation"
"Retard de croissance (RC)","Taille < -2 DS ou IMC < 3ème percentile, ou ralentissement de la vitesse de croissance, ou croissance staturale ≤ -1,5 DS par rapport à la taille cible génétique.","Diagnostic précoce important pour pathologies sévères."
"DS","Déviation Standard.","Unité de mesure de l'écart par rapport à la moyenne."
"IMC","Indice de masse corporelle = Poids (kg) / Taille² (m).","Permet d'évaluer la corpulence de l'enfant."
"Courbe de croissance","Graphique représentant l'évolution du poids, taille et PC en fonction de l'âge.","À utiliser tous les mois jusqu'à 6 mois, tous les 2 mois jusqu'à 1 an, puis 1 à 2 fois par an."
"Vitesse de croissance (VC)","Rapidité de croissance staturale par unité de temps.","Normes : 5-6 cm/an de 4 ans à puberté, 7-9 cm/an en puberté, 1 cm/an en post-pubertaire."
"Taille cible génétique","Taille adulte estimée à partir de la taille des parents.","Garçon : (P+M)/2 + 6,5 ; Fille : (P+M)/2 - 6,5."
"Âge osseux","Évaluation de la maturation osseuse par radiographie de la main gauche (méthode de Greulich et Pyle).","Permet d'apprécier le potentiel de croissance restant."
"Méthode de Greulich et Pyle","Méthode de référence pour l'âge osseux utilisant un atlas de la main gauche.","Critères radiologiques de maturation osseuse."
"GH","Hormone de croissance (somatotropine).","Origine hypophysaire, stimulée par GHRH et ghréline. Génère l'IGF-1 au niveau du foie."
"IGF-1","Insulin-like Growth Factor 1.","Facteur de croissance médié par la GH, produit par le foie."
"GHRH","Growth Hormone Releasing Hormone.","Facteur hypothalamique stimulant la sécrétion de GH."
"Ghréline","Hormone stomacale stimulant la sécrétion de GH.","Joue un rôle dans la régulation de l'appétit et de la croissance."
"Retard pondéral","Ralentissement de la prise de poids isolé ou antérieur à celui de la taille.","Orienté vers pathologies chroniques sévères."
"Retard statural","Ralentissement de la vitesse de croissance staturale antérieur ou contemporain à celui de la prise de poids.","Orienté vers causes endocriniennes, syndromiques, génétiques."
"Hypothyroïdie congénitale","Déficit en hormones thyroïdiennes présent dès la naissance.","Dépistage systématique par test Guthrie à J3. Sans traitement : RC, retard maturation osseuse, anomalies neuropsychologiques."
"Hypothyroïdie acquise","Déficit thyroïdien apparaissant après la naissance (thyroïdite de Hashimoto, tumeur hypothalamo-hypophysaire).","Ralentissement de la VC jusqu'à l'arrêt complet, maturation osseuse très retardée, goitre possible."
"Hypercorticisme","Excès de cortisol.","Iatrogène (corticothérapie orale prolongée) ou endogène (maladie de Cushing, syndrome de Cushing)."
"Craniopharyngiome","Tumeur bénigne embryonnaire intra ou suprasellaire.","Retard de croissance après 4 ans, HTIC, signes ophtalmologiques, diabète insipide."
"Déficit en hormone de croissance","Insuffisance de sécrétion de GH.","Congénital (anomalie hypothalamo-hypophysaire) ou secondaire (tumeur, irradiation, traumatisme crânien)."
"Retard simple de puberté","Retard pubertaire constitutionnel.","Cause la plus fréquente de retard statural à l'adolescence, surtout garçon, antécédents familiaux."
"Syndrome de Turner","Affection génétique par absence totale ou partielle d'un chromosome X (1/2500 filles).","RC début intra-utérin, insuffisance ovarienne, signes morphologiques (cou court, thorax large, lymphœdème), complications cardiovasculaires, rénales, ORL."
"PAG","Petit pour l'âge gestationnel.","Poids de naissance <2500g (OMS) ou taille/PN < -2DS pour l'âge gestationnel (AUDIPOG). 90% rattrapent dans les 2 premières années."
"RCIU","Retard de croissance intra-utérin.","Début intra-utérin du RC prouvé par les CPN."
"Petite taille constitutionnelle idiopathique","Retard harmonieux isolé, sans cause décelable.","Fréquent, parents de petite taille, VC régulière, âge osseux peu retardé, éliminer autres causes."
"Caryotype","Analyse des chromosomes.","Indiqué devant une suspicion de syndrome de Turner chez une fille."
"Test Guthrie","Test de dépistage néonatal systématique.","Dépiste l'hypothyroïdie congénitale à J3 de vie."
"AUDIPOG","Association des Utilisateurs de Dossiers Informatisés en Pédiatrie, Obstétrique et Gynécologie.","Fournit des courbes de référence pour les nouveau-nés."
"Test de la sueur","Examen diagnostique de la mucoviscidose.","Spécifique pour la mucoviscidose, une cause digestive de retard de croissance."
"Marasme","Forme sévère de dénutrition protéino-énergétique.","Cause nutritionnelle de retard de croissance."
"Kwashiorkor","Dénutrition protéique avec œdèmes.","Cause nutritionnelle de retard de croissance."
"Thyroïdite de Hashimoto","Thyroïdite auto-immune.","Cause d'hypothyroïdie acquise."
"Maladie de Cushing","Adénome hypophysaire sécrétant de l'ACTH.","Cause endogène d'hypercorticisme."
"Syndrome de Cushing","Production autonome de cortisol par les surrénales.","Cause endogène d'hypercorticisme."
"Cortisol libre sur 24h","Dosage urinaire du cortisol.","Diagnostic de l'hypercorticisme endogène."
"Insuffisance rénale chronique","Diminution durable du débit de filtration glomérulaire.","Cause de retard de croissance si FG <50 ml/min/1,73m²."
"Allergie aux protéines de lait de vache (APLV)","Réaction immunologique aux protéines du lait de vache.","Cause digestive de retard de croissance."
"Maladie cœliaque","Entéropathie auto-immune induite par le gluten.","Cause digestive de retard de croissance avec malabsorption."
"Mucoviscidose","Fibrose kystique du pancréas.","Cause digestive et respiratoire de retard de croissance."
"Drépanocytose","Maladie génétique de l'hémoglobine.","Cause hématologique de retard de croissance."
"Carence affective","Retard de croissance d'origine psycho-affective.","Évoquée en dernier lieu après élimination des causes organiques."
