"question","answer","explanation","difficulty"
"Le LCR représente 10% du volume de la boîte crânienne.","True","Le document : ''LCR (10%)''.","Easy"
"La pression intracrânienne normale chez le nourrisson de 1 à 6 ans est de 1-6 mmHg.","False","C’est 3-8 mmHg. Le document donne : ''1-6 ans : 3-8 mmHg''.","Easy"
"Les céphalées de l’HTIC sont plutôt diurnes et calmées par le repos.","False","Elles sont nocturnes, continues, favorisées par l’effort.","Easy"
"Les vomissements en jet soulagent les céphalées dans l’HTIC.","True","Le document : ''soulage les céphalées''.","Easy"
"Chez le nouveau-né, les apnées sont un signe végétatif d’HTIC.","True","Le document : ''Apnées (s'accompagne des troubles vaso)''.","Easy"
"Le bombement de la fontanelle antérieure chez le nourrisson doit être recherché pendant les pleurs.","False","En dehors des cris, enfant calme assis.","Easy"
"L’œdème papillaire au fond d’œil est constant et précoce dans l’HTIC.","False","Il peut être absent si l’examen est précoce.","Easy"
"La diplopie dans l’HTIC est due à une paralysie du VI.","True","Le document le dit explicitement.","Easy"
"L’engagement temporal ou amygdalien est un signe de gravité.","True","Oui, signes d’engagement.","Easy"
"La radiographie du crâne montre des empreintes digitiformes en cas d’HTIC chronique.","True","Le document : ''empreintes digitiformes''.","Easy"
"L’échographie transfontanellaire est utile après l’âge de 6 mois.","False","Ne pas dépasser 6 mois car fontanelle étroite.","Easy"
"Les tumeurs de la fosse postérieure représentent 60% des tumeurs cérébrales chez l’enfant.","True","Le document le mentionne.","Easy"
"L’abcès cérébral donne une fièvre très élevée d’emblée.","False","Fièvre peu élevée, irrégulière.","Easy"
"L’hématome sous-dural du nourrisson peut se manifester par une anémie.","True","Le document : ''anémie (hématome ; pâleur)''.","Easy"
"La craniosténose est une cause fréquente d’HTIC chez le nourrisson.","False","Le document la mentionne mais sans la classer parmi les causes principales.","Easy"
"L’HTIC bénigne ou idiopathique a une imagerie cérébrale normale.","True","Le document : ''imagerie cérébrale et médullaire est normale''.","Easy"
"Le mannitol est contre-indiqué dans l’HTIC.","False","Il est utilisé à 0,5-1 g/kg.","Easy"
"Les corticoïdes (HDC) sont indiqués dans toutes les HTIC.","False","Uniquement pour les HTIC d’origine tumorale.","Easy"
"La position neutre sans compression jugulaire permet d’éviter d’augmenter la PIC.","True","Le document : ''Position neutre sans compression jugulaire''.","Easy"
"L’acétazolamide est un anticonvulsivant.","False","C’est un diurétique (inhibiteur de l’anhydrase carbonique) utilisé pour l’HTIC, mais non cité comme anticonvulsivant ici.","Medium"
"Le thiopental est réservé aux HTIC menaçantes.","True","Le document : ''Thiopental (HTIC menaçante)''.","Medium"
"Le syndrome cérébelleux statique oriente vers une tumeur de la fosse postérieure.","True","Le document l’associe.","Medium"
"La paralysie du VI est un signe de localisation.","True","Elle est citée dans les signes de localisation.","Medium"
"L’hydrocéphalie peut être d’origine inflammatoire.","True","Le document : ''Inflammatoires (hémorragie méningée, méningite bactérienne)''.","Medium"
"Les troubles du comportement chez le nourrisson sont évocateurs d’HTIC.","True","Le document : ''Troubles du comportement (irritabilité, apathie, geignements)''.","Medium"
"La restriction hydrique est bénéfique dans l’œdème cérébral.","True","Le document : ''Perfusion SGH, restriction hydrique''.","Medium"
"La mesure de la PIC, PAM et PPC n’est pas mentionnée dans le document.","False","Elle est citée dans les examens paracliniques.","Medium"
"Les crises convulsives partielles sont un signe de localisation chez l’enfant.","True","Le document : ''Crises convulsives partielles''.","Medium"
"Le signe de Parinaud est pathognomonique de l’hydrocéphalie.","True","Le document le cite spécifiquement pour l’hydrocéphalie.","Medium"
"La turgescence des veines du scalp est un signe d’hématome sous-dural.","True","Le document le mentionne.","Medium"
"L’HTIC idiopathique expose à une neuropathie optique réversible.","False","Irréversible.","Medium"
"La dose de mannitol est de 1 à 2 g/kg.","False","0,5-1 g/kg.","Medium"
"L’hyperthermie doit être combattue dans l’HTIC.","True","Le document : ''Baisser la température si fièvre''.","Difficult"
"Les barbituriques sont utilisés pour lutter contre l’œdème cérébral.","True","Le thiopental est cité.","Difficult"
"L’engagement amygdalien est visible à l’IRM.","True","Le document : ''Imagerie – Engagement ... des amygdales cérébelleuses''.","Difficult"
"L’abcès cérébral donne toujours des signes méningés francs.","False","Évolution lente, signes focaux surtout.","Difficult"
"La disjonction des sutures est un signe de gravité chez le nourrisson.","True","Signe d’HTIC chronique.","Difficult"
"Le pronostic de l’HTIC dépend uniquement de la rapidité d’installation.","False","Le document dit : ''pronostic lié à l'étiologie''.","Difficult"
