"term","definition","contextual_explanation"
"hypertension intracrânienne (HTIC)","Augmentation de la pression à l’intérieur de la boîte crânienne, mettant en jeu le pronostic vital et fonctionnel (visuel).","Urgence médicale et parfois neurochirurgicale, de causes multiples, avec sémiologie variable selon l’âge et la vitesse d’installation."
"PIC","Pression intracrânienne.","Normales : nouveau-né 1-4 mmHg, nourrisson 1-6 mmHg, 1-6 ans 3-8 mmHg, adulte 10-15 mmHg."
"LCR","Liquide céphalo-rachidien.","Un des trois secteurs de la boîte crânienne (10 %)."
"fontanelle antérieure","Espace membraneux entre les os du crâne chez le nourrisson.","Son bombement (enfant assis, calme, hors pleurs) est un signe spécifique d’HTIC chez le nourrisson."
"disjonction des sutures","Écartement anormal des sutures crâniennes sous l’effet de l’hyperpression.","Signe d’HTIC chez le nourrisson, palpable."
"signe de Parinaud","Regard vers le bas avec rétraction des paupières supérieures (yeux en coucher de soleil).","Associé à l’hydrocéphalie et à l’HTIC chez le nourrisson."
"œdème papillaire","Gonflement de la tête du nerf optique visible au fond d’œil.","Signe d’HTIC chez l’enfant plus âgé. Son absence n’élimine pas le diagnostic si l’examen est précoce."
"diplopie","Vision double.","Paralysie du VI (nerf abducens) dans l’HTIC."
"engagement temporal ou amygdalien","Hernie cérébrale sous la faux du cerveau ou des amygdales cérébelleuses dans le trou occipital.","Signe de gravité avec souffrance du tronc cérébral (raideur du rachis, bâillement, hoquets, troubles de conscience, troubles végétatifs, cris plaintifs aigus)."
"empreintes digitiformes","Images radiographiques en creux correspondant aux circonvolutions cérébrales marquées sur la voûte.","Signe d’HTIC chronique sur la radiographie du crâne."
"ETF","Échographie transfontanellaire.","Réalisable chez le nourrisson avant 6 mois (fontanelle ouverte)."
"PAM","Pression artérielle moyenne.","Mesurée avec la PIC et la PPC (pression de perfusion cérébrale)."
"tumeurs de la fosse postérieure","Tumeurs cérébrales situées sous la tente du cervelet.","Représentent 60 % des tumeurs cérébrales de l’enfant : astrocytome kystique, médulloblastome malin, gliomes du tronc cérébral."
"astrocytome kystique","Tumeur gliale bénigne souvent kystique.","Cause fréquente d’HTIC par effet de masse."
"médulloblastome","Tumeur maligne de la fosse postérieure, hautement agressive.","Responsable d’HTIC chez l’enfant."
"gliome du tronc cérébral","Tumeur gliale du tronc cérébral.","Cause d’HTIC avec atteinte des nerfs crâniens."
"abcès du cerveau","Collection purulente intracérébrale.","Évolution lente et insidieuse ; fièvre peu élevée ; signes neurologiques focaux ; œdème papillaire."
"hématome sous-dural","Collection sanguine entre la dure-mère et l’arachnoïde.","Chez le nourrisson : macrocéphalie, PC élevé, disjonction des sutures, troubles de l’humeur, turgescence des veines du scalp, ralentissement des acquisitions, anémie, hémorragie au FO. Étiologies : traumatisme, méningite purulente, déshydratation sévère."
"hydrocéphalie","Augmentation du volume des ventricules cérébraux par accumulation de LCR.","Cause d’HTIC avec augmentation régulière du périmètre crânien. Étiologies : inflammatoires (hémorragie méningée, méningite bactérienne), malformation, tumorale."
"craniosténose","Fermeture prématurée des sutures crâniennes.","Entraîne une déformation du crâne et peut limiter le périmètre crânien, mais ne concerne pas directement la fontanelle."
"HTIC bénigne (idiopathique)","HTIC sans anomalie à l’imagerie cérébrale et médullaire.","Pression d’ouverture du LCR > 20-25 mmHg. Risque de neuropathie optique irréversible."
"neuropathie optique irréversible","Atteinte définitive du nerf optique pouvant conduire à la cécité.","Complication de l’HTIC bénigne non traitée."
"mannitol","Osmothérapie utilisée pour réduire l’œdème cérébral.","Dose : 0,5 à 1 g/kg en perfusion de 15 à 20 minutes."
"SSH 3%","Sérum salé hypertonique à 3 %.","Anti-œdémateux cérébral : 0,1 à 1 ml/kg."
"acétazolamide","Inhibiteur de l’anhydrase carbonique, diminuant la production de LCR.","Dose : 20 mg/kg/j dans l’HTIC."
"thiopental","Barbiturique utilisé en cas d’HTIC menaçante.","Effet neuroprotecteur et réducteur de la PIC."
"HDC","Corticoïdes (hydrocortisone, etc.).","Utilisés pour les HTIC d’origine tumorale : 50-150 mg/j."
"SGH","Sérum glucosé.","Utilisé en perfusion avec restriction hydrique pour lutter contre l’œdème cérébral."
