"term","definition","contextual_explanation"
"douleur abdominale (DA)","Expérience désagréable émotionnelle et sensorielle associée à un dommage tissulaire.","Motif fréquent de consultation en pédiatrie. Urgences chirurgicales à ne pas rater. Deux types : aiguë (≤3 jours) ou récurrente (≥3 épisodes/3 mois)."
"douleur organique","Douleur liée à une atteinte d’un organe, souvent chirurgicale.","Localisation précise, irradiation, rythme continu, horaire diurne et nocturne, altération état général, examen abdominal anormal, signes associés."
"douleur fonctionnelle","Dysfonctionnement sans lésion organique.","Localisation périombilicale, pas d’irradiation, rythme sporadique, horaire diurne, pas d’altération EG, examen normal, pas de signes associés."
"échelle de douleur du nouveau-né","Outil d’évaluation de la douleur chez le nourrisson.","Basée sur le pli du front, les yeux, l’ouverture de la bouche."
"échelle de visage (Bière, von Bayer)","Échelle d’auto-évaluation de la douleur par l’enfant.","Montre-moi le visage qui a mal comme toi."
"signes de gravité","Critères indiquant une urgence vitale ou chirurgicale.","AEG/faciès toxique, choc (TRC>3s, tachycardie, marbrure, extrémités froides), vomissement bilieux, douleur continue nocturne (toujours organique), localisation fixe non péri-ombilicale, défense/contracture/masse."
"vomissement bilieux","Vomissement de couleur verte (bile).","Signe d’urgence chirurgicale (syndrome occlusif)."
"défense","Contraction involontaire des muscles abdominaux à la palpation.","Signe d’irritation péritonéale, urgence chirurgicale."
"contracture","Rigidité abdominale permanente, douloureuse.","Signe de péritonite."
"boudin d’invagination","Masse abdominale palpable correspondant à l’intestin invaginé.","Dans l’invagination intestinale aiguë du nourrisson, localisée à l’hypocondre droit."
"olive pylorique","Masse palpable dans l’épigastre, correspondant à un pylore hypertrophié.","Signe de sténose du pylore (cause de vomissements chez le nourrisson)."
"ondes péristaltiques","Contractions intestinales visibles à travers la paroi abdominale.","Signe de lutte contre un obstacle (syndrome occlusif)."
"TRC","Temps de recoloration cutanée.","Normal <3 secondes. >3 secondes signe de défaillance circulatoire. Chez le nourrisson, appuyer sur le front pendant 3 secondes."
"psoïtis","Irritation du muscle psoas par une inflammation appendiculaire.","Se manifeste par une boiterie et une douleur à la mobilisation de la jambe droite."
"invagination intestinale aiguë du nourrisson (IIAN)","Pénétration d’une anse intestinale dans la lumière de l’anse adjacente.","Nourrisson de 2 mois à 2 ans. Douleurs paroxystiques cycliques (toutes les 10 min), rectorragie « gelée de groseille », masse HCD. Diagnostic par échographie."
"rectorragie « gelée de groseille »","Émission de sang rouge mêlé à du mucus, aspect de confiture de fraise.","Signe pathognomonique de l’invagination intestinale aiguë."
"torsion du cordon spermatique","Torsion du testicule sur son cordon.","Urgence chirurgicale. Bourse rouge, volumineuse, très inflammatoire."
"torsion d’annexe","Torsion d’un kyste ovarien ou de l’annexe.","Douleur brutale intense pelvienne, vomissements. Diagnostic par échographie abdomino-pelvienne."
"purpura rhumatoïde","Vascularite à IgA (maladie de Henoch-Schönlein).","Se manifeste par un purpura vasculaire des membres inférieurs + douleurs abdominales."
"MICI","Maladies Inflammatoires Chroniques Intestinales (Crohn, RCH).","Cause de douleur abdominale récurrente chez le grand enfant/adolescent."
"colique du nourrisson","Douleur abdominale paroxystique du nourrisson, d’origine fonctionnelle.","Liée à l’immaturité intestinale. Cause de douleur abdominale récurrente chez le nourrisson."
"allergie aux protéines de lait de vache (APLV)","Réaction immunologique aux protéines du lait de vache.","Cause de douleur abdominale récurrente chez le nourrisson."
"syndrome du côlon irritable","Trouble fonctionnel intestinal caractérisé par des douleurs abdominales et des troubles du transit.","Cause fréquente de douleur abdominale récurrente chez le grand enfant."
"somatisation","Expression de souffrances psychiques par des symptômes physiques.","Cause psychogène de douleur abdominale récurrente."
"constipation","Difficulté à l’émission des selles, avec selles dures et/ou espacées.","Cause fréquente de douleur abdominale récurrente. Diagnostic clinique (rectorragie, douleur à l’émission, efforts de poussées)."
"coprolithe","Calcul fécal (selles durcies).","Peut être visualisé sur ASP dans l’appendicite."
"ASP","Abdomen sans préparation (radiographie abdominale).","Indications : vomissement bilieux, syndrome occlusif, suspicion d’abdomen chirurgical, corps étranger, distension abdominale."
"BU","Bandelette urinaire.","Examen de première intention devant des signes fonctionnels urinaires."
"ECBU","Examen cytobactériologique des urines.","Confirme une infection urinaire."
"NFS","Numération formule sanguine.","Hyperleucocytose évocatrice d’infection ou d’inflammation."
"CRP","Protéine C réactive.","Élevée dans les syndromes inflammatoires (appendicite, infection)."
"échographie abdominale","Examen d’imagerie.","Indiquée en cas de suspicion d’appendicite, d’invagination intestinale aiguë, de colique néphrétique, de torsion d’annexe."
"radiographie thorax","Examen d’imagerie.","Indiquée si polypnée fébrile (recherche de pneumonie)."
