"front","back","cognitive_level"
"Quelle est la définition de l'insuffisance rénale aiguë (IRA) ?","Baisse brutale et importante du débit de filtration glomérulaire (DFG) avec ou sans oligo-anurie, potentiellement réversible après traitement, évoluant depuis moins de 3 mois.","Recall"
"Quelle est la valeur normale de la créatininémie ?","60 à 120 µmol/L.","Recall"
"Pourquoi les formules d'estimation du DFG ne sont-elles pas applicables pour définir l'IRA ?","Car l'IRA est réversible. Ces formules évaluent la sévérité de l'IRC (insuffisance rénale chronique).","Recall"
"Quels sont les trois stades de l'AKI-KDIGO selon la diurèse ?","Stade 1 : diurèse < 0,5 ml/kg/h pendant 6 à 12h. Stade 2 : diurèse < 0,5 ml/kg/h pendant plus de 12h. Stade 3 : diurèse < 0,3 ml/kg/h pendant plus de 24h ou anurie > 12h.","Recall"
"Quels sont les trois types d'IRA selon la physiopathologie ?","1) IRA prérénale ou fonctionnelle (diminution flux sanguin rénal) ; 2) IRA parenchymateuse (lésion anatomique du rein) ; 3) IRA post-rénale ou obstructive (obstacle sur voie excrétrice).","Recall"
"Citez deux causes d'IRA prérénale.","Insuffisance cardiaque, déshydratation (également : choc hémorragique, cirrhose décompensée, syndrome néphrotique).","Recall"
"Citez trois causes d'IRA parenchymateuse.","Nécrose tubulaire aiguë (75%), glomérulonéphrites aiguës (<10%), néphrite immuno-allergique (5-10%), néphropathies vasculaires aiguës (1%).","Recall"
"Citez deux causes d'IRA post-rénale.","Hypertrophie prostatique, calcul de l'arbre urinaire.","Recall"
"Quels sont les trois signes distinctifs entre IRA et IRC ?","IRA : anémie absente, hypocalcémie absente, atrophie rénale absente. IRC : anémie présente, hypocalcémie présente, atrophie rénale présente.","Recall"
"Quel est le traitement de l'IRA fonctionnelle (prérénale) ?","Restauration d'une volémie efficace : soluté salé isotonique (0,9%) IV ; pour les IRA peu sévères : réhydratation orale (régime salé + boissons abondantes) + traitement étiologique.","Recall"
"Quelle est la cause la plus fréquente d'IRA parenchymateuse et son pourcentage ?","La nécrose tubulaire aiguë (NTA) représente 75% des IRA parenchymateuses.","Recall"
"Quels sont les trois types de glomérulonéphrites rapidement progressives (GNRP) cités ?","1) GN pauci-immunes (extracapillaire) : vascularites à ANCA (polyangéite, maladie de Wegener) ; 2) GN avec dépôts immuns : lupus, purpura rhumatoïde ; 3) Syndrome de Goodpasture (extracapillaire) : atteinte alvéolaire, syndrome pneumo-rénal.","Recall"
"Quand faut-il penser à une GNRP et quel est le traitement urgent ?","Devant toute insuffisance rénale rapidement progressive + protéinurie + hématurie. Traitement : corticothérapie d'urgence car risque de perte définitive de la fonction rénale en l'absence de corticothérapie.","Recall"
"Quels sont les signes biologiques de la microangiopathie thrombotique (SHU) ?","Insuffisance rénale, anémie hémolytique régénérative mécanique (schizocytes), augmentation des LDH, baisse de l'haptoglobine, thrombopénie.","Recall"
"Quel est le maître symptôme de l'IRA obstructive ?","Une douleur lombaire uni ou bilatérale.","Recall"
"Quel examen confirme le diagnostic d'IRA obstructive ?","La mise en évidence d'une dilatation des cavités pyélocalicielles à l'échographie rénale.","Recall"
"Expliquez le mécanisme physiopathologique de l'IRA : DFG = P x Kf, avec P = Q x (Ref - Raf) - Pu. Quels facteurs diminuent le DFG ?","DFG diminue si : Q diminue (débit sanguin rénal), Ref diminue (résistance artériolaire efférente), Raf augmente (résistance artériolaire afférente), Pu augmente (pression chambre urinaire).","Understanding"
"Pourquoi une IRA avec hypocalcémie doit-elle faire rechercher une rhabdomyolyse ?","Car l'IRA secondaire à une rhabdomyolyse associe : élévation des CPK, hypocalcémie et IRA par lyse des muscles striés.","Understanding"
"Quels sont les signes distinctifs entre IRA fonctionnelle et nécrose tubulaire aiguë (NTA) sur le plan biologique ?","IRA fonctionnelle : rapport Urée/Créat plasmatique >100, fraction d'épuration du sodium <1%, Na+/K+ urinaire <1, U/P urée >10, U/P créat >30. NTA : Urée/Créat <50, FE Na >1-2%, Na+/K+ >1, U/P urée <10, U/P créat <30.","Understanding"
"Un patient de 70 ans, diabétique, bénéficie d'un scanner avec injection de produit de contraste. Quelle prévention de la tubulopathie à l'iode doit être appliquée ?","Sujet à risque (âgé, diabétique). Prévention : arrêt préalable des AINS et diurétiques, hydratation correcte (per os eau de Vichy ou perfusion SSI ou bicarbonate de sodium isotonique 1,4% à 1 ml/kg/h), utilisation de produit de contraste iso-osmolaire.","Application"
"Un patient sous aminosides présente une augmentation de la créatininémie à 180 µmol/L (normale à 80). Comment prévenir la néphrotoxicité médicamenteuse ?","Adaptation posologique en fonction du taux résiduel plasmatique, surveillance de la fonction rénale toutes les 48 heures, bonne hydratation.","Application"
"Comparez les trois types d'IRA (prérénale, parenchymateuse, post-rénale) en termes de réversibilité et de traitement prioritaire.","Prérénale : réversible par restauration volémie. Parenchymateuse : réversible en 1-4 semaines pour la NTA, urgence thérapeutique pour les GNRP (corticothérapie). Post-rénale : réversible par levée d'obstacle (urgence absolue si infection urinaire → dérivation urinaire : sondage, cathéter sus-pubien, sonde JJ, néphrostomie).","Analysis"
