"question","answer","explanation","difficulty"
"La créatininémie normale est comprise entre 60 et 120 µmol/l.","True","Le document indique : ''Créatininémie normale : 60-120µmol/l''.","Easy"
"Une créatininémie > 120 µmol/l définit une insuffisance rénale.","True","Le document le confirme.","Easy"
"L'insuffisance rénale aiguë est une pathologie rare en milieu hospitalier.","False","Le document précise : ''Pathologie très fréquente en milieu hospitalier''.","Easy"
"Les formules d'estimation du DFG (CKD-EPI, MDRD) sont applicables à l'IRA.","False","Le document indique : ''Les formules d'estimation du DFG ne sont pas applicables pour définir l'IRA (car réversible)''.","Easy"
"Le stade 1 AKI-KDIGO correspond à une augmentation de la créatininémie > 26,5 µmol/l en 48h.","True","Le document le confirme.","Easy"
"Le stade 2 AKI-KDIGO correspond à une diurèse < 0,5 ml/kg/h pendant 6 à 12 heures.","False","Le stade 1 a cette diurèse ; le stade 2 a <0,5 ml/kg/h plus de 12h.","Easy"
"Le stade 3 AKI-KDIGO peut être défini par une créatininémie > 354 µmol/l.","True","Le document le confirme.","Easy"
"La lettre 'R' dans RIFLE signifie 'Recovery'.","False","R signifie 'Risk' (Stade 1).","Easy"
"La nécrose tubulaire aiguë représente 75% des IRA parenchymateuses.","True","Le document indique : ''Nécrose tubulaire aigue (75%)''.","Easy"
"Les glomérulonéphrites aiguës représentent plus de 20% des IRA.","False","Le document indique : ''Glomérulonéphrites aiguës (<10%)''.","Easy"
"La nécrose tubulaire aiguë est réversible en 1 à 4 semaines.","True","Le document le confirme.","Easy"
"L'IRA prérénale est due à une lésion anatomique du rein.","False","L'IRA prérénale est fonctionnelle (diminution du flux sanguin sans lésion).","Easy"
"L'IRA postrénale est également appelée IRA obstructive.","True","Le document utilise les deux termes.","Easy"
"L'hypotension artérielle est un signe d'IRA fonctionnelle par déshydratation.","True","Le document liste l'hypotension parmi les signes.","Easy"
"Le traitement de l'IRA fonctionnelle repose sur la restriction hydrique.","False","Le traitement repose sur la restauration de la volémie (soluté salé isotonique).","Easy"
