"term","definition","contextual_explanation"
"hypertension artérielle (HTA)","Pression exercée par le sang sur la paroi des artères dépassant le 97,5ème percentile pour le sexe et la taille à 3 contrôles.","Chez l’enfant, l’HTA est rare (1-2 %) et secondaire dans 95 % des cas. Elle constitue une urgence diagnostique et thérapeutique si sévère ou menaçante."
"PAS","Pression artérielle systolique – pression lorsque le cœur se contracte.","Mesurée chez l’enfant pour définir l’HTA selon les percentiles."
"PAD","Pression artérielle diastolique – pression lorsque le cœur se relâche.","Mesurée avec la PAS."
"percentile","Valeur en dessous de laquelle se trouve un pourcentage donné de la population de même âge, sexe et taille.","En pédiatrie, la PA normale est < 90ème percentile ; la pré-hypertension entre 90 et 97,5 ; l’HTA > 97,5ème percentile."
"pré-hypertension","Zone de PA comprise entre le 90ème et le 97,5ème percentile.","Nécessite une surveillance et des mesures hygiéno-diététiques."
"HTA modérée","PA dépassant de plus de 10 mmHg le 97,5ème percentile.","Nécessite un traitement médicamenteux (inhibiteurs calciques, IEC, bêta-bloquants)."
"HTA sévère","PA dépassant de plus de 10 mmHg le 97,5ème percentile (identique à modérée ? Le document dit ""HTA modérée : +10mmHg 97,5ème percentile"" et ""HTA sévère : +10mmHg 97,5ème percentile"" – probablement une erreur, mais je cite tel quel.","Le document mentionne ""HTA sévère : +10mmHg 97,5ème percentile"" mais aussi ""HTA menaçante : +30mmHg"". À interpréter comme une sévérité plus grande."
"HTA menaçante","PA dépassant de 30 mmHg le 97,5ème percentile.","Urgence vitale nécessitant hospitalisation en milieu adapté."
"DYNAMAP","Appareil oscillométrique de mesure de la pression artérielle.","Utilisé chez le nourrisson et le nouveau-né."
"OMRON","Autotensiomètre électronique.","Utilisé pour l’autosurveillance tensionnelle."
"amaurose","Perte définitive et brutale de la vision.","Complication possible de l’HTA non traitée."
"œdème aigu des poumons","Accumulation de liquide dans les alvéoles pulmonaires d’origine cardiogénique.","Peut révéler une HTA sévère."
"RCIU","Retard de croissance intra-utérin – enfant de faible poids de naissance.","Facteur de risque justifiant la mesure précoce de la PA."
"HTIC","Hypertension intracrânienne.","Facteur de risque d’HTA chez l’enfant."
