"question","option1","option2","option3","option4","answer","explanation","difficulty"
"La pression artérielle normale chez l’enfant est définie par un percentile inférieur à :","90ème","95ème","97,5ème","99ème","1","Le document : ''PA normale : PAS et/ou PAD 90ème percentile pour le sexe et la taille''.","Easy"
"L’hypertension artérielle chez l’enfant est définie par des chiffres supérieurs ou égaux à :","90ème percentile","95ème percentile","97,5ème percentile","99ème percentile","3","Le document : ''HTA : chiffres ≥ 97,5ème percentile à 3 contrôles''.","Easy"
"Quelle est la prévalence de l’HTA chez l’enfant ?","0,5-1%","1-2%","3-5%","5-10%","2","Le document : ''Prévalence : 1-2 %''.","Easy"
"Dans quel pourcentage des cas l’HTA de l’enfant est-elle secondaire ?","50%","75%","95%","99%","3","Le document : ''Secondaire : 95% des cas''.","Easy"
"Quelle est la valeur normale de la PA chez l’enfant de 1 à 5 ans à retenir en pratique ?","80/50 mmHg","90/60 mmHg","100/60 mmHg","110/60 mmHg","2","Le document : ''1 à 5 ans : 90/60 mmHg''.","Easy"
"À partir de quel âge recommande-t-on une mesure systématique de la PA chez l’enfant ?","1 an","2 ans","3 ans","5 ans","3","Le document : ''mesure systématique (à partir de 3 ans)''.","Easy"
"Le brassard de mesure de la PA doit couvrir :","1/2 de la longueur du bras","2/3 de la longueur du bras","3/4 de la longueur du bras","tout le bras","2","Le document : ''Brassard : couvre 2/3 de la longueur du bras''.","Easy"
"Chez le nourrisson, la méthode recommandée pour mesurer la PA est :","Méthode auscultatoire","Appareil oscillométrique type DYNAMAP","Manomètre à mercure","Autosurveillance OMRON","2","Le document : ''Nourrisson et nouveau-née : appareil oscillométrique, type DYNAMAP''.","Easy"
"L’HTA menaçante est définie par un excès de :","+10 mmHg au-dessus du 97,5ème percentile","+20 mmHg","+30 mmHg","+40 mmHg","3","Le document : ''HTA menaçante : +30mmHg 97,5ème percentile''.","Easy"
"Parmi les signes de découverte de l’HTA, lequel est une complication aiguë ?","Céphalée","Épistaxis","Crise convulsive","Hématurie","3","Le document cite ''Crises convulsives'' parmi les complications.","Easy"
"Le retentissement de l’HTA sur le cœur se manifeste par :","Insuffisance aortique","Hypertrophie ventriculaire gauche (HVG)","Dilatation de l’oreillette","Péricardite","2","Le document : ''Cœur : HVG, dysfonctionnement diastolique''.","Easy"
"Quel examen est systématique dans la première phase du bilan étiologique ?","IRM cérébrale","Échographie rénale","Artériographie","Scintigraphie MIBG","2","Le document : ''Echographie rénale +/- échodoppler des artères rénales + aorte''.","Easy"
"La cause la plus fréquente d’HTA secondaire chez l’enfant est :","Endocrinienne","Rénale ou rénovasculaire","Neurologique","Médicamenteuse","2","Le document : ''Causes rénales et réno-vasculaires : 67-80%''.","Medium"
"Quel médicament est contre-indiqué en cas de sténose de l’artère rénale ?","Nifédipine","Captopril","Labétalol","Hydrochlorothiazide","2","Le document : ''IEC : Captopril – CI : IR, sténose Ar rénale''.","Medium"
"Le syndrome de Williams-Beuren associe :","HTA, retard mental, hypercalcémie","Sténose de l’aorte supravalvulaire, retard mental modéré, retard de croissance","Polykystose rénale, HTA","Phéochromocytome, HTA","2","Le document : ''Syndrome de Williams-Beuren (sténose de l'Aorte supravalvulaire, retard mental modéré, retard de croissance)''.","Medium"
"Dans le phéochromocytome, l’HTA est typiquement :","Permanente","Paroxystique","Orthostatique","Nocturne","2","Le document : ''Phéochromocytome : HTA paroxystiques''.","Medium"
"Quel dosage urinaire est spécifique du phéochromocytome ?","Méta-iodo-benzyl-guanidine","Catécholamines (noradrénaline, normétadrénaline)","Acide vanillylmandélique","Métanéphrines","2","Le document : ''Dosage des cathécolamines urinaires : noradrénaline, normétadrénaline''.","Medium"
"L’hyperplasie surrénalienne par déficit en 11-hydroxylase se manifeste chez la fille par :","Virilisation","Pseudohermaphrodisme","Retard pubertaire","Hypertrophie clitoridienne","2","Le document : ''Déficit en 11 -hydroxylase : pseudohermaphrodisme chez la fille''.","Medium"
"Quel est le risque majeur d’une normalisation trop rapide de la PA en cas d’HTA sévère ?","Accident d’hypoperfusion cérébrale","Insuffisance rénale aiguë","Œdème pulmonaire","Arrêt cardiaque","1","Le document : ''Ramener les chiffres de la PA à 97,5ème percentile, progressivement (à-coup brutal entraîne un accident d'hypoperfusion cérébrale)''.","Medium"
"La coarctation de l’aorte se manifeste par :","HTA aux membres inférieurs","Abolition des pouls fémoraux","Souffle abdominal","Cyanose des doigts","2","Le document : ''Abolition des pouls fémoraux (examen systématique nouveau-né)''.","Medium"
"Quelle est la dose initiale de furosémide chez l’enfant ?","0,5-2 mg/kg/j","1-5 mg/kg/j","3-15 mg/kg/j","0,01-0,1 mg/kg","1","Le document : ''Furosémide : 0,5-2mg/kg (max : 8mg /kg) en 2-6 prises /j''.","Medium"
"Dans l’HTA chronique, le traitement de première ligne recommandé est :","Inhibiteur calcique","IEC","Diurétique","Bêta-bloquant","3","Le document : ''HTA chronique : diurétique''.","Medium"
"La surveillance échocardiographique chez un enfant hypertendu se fait tous les :","1-2 mois","4-6 mois","8-12 mois","1 an","2","Le document : ''Echocardiographie par 4-6 mois''.","Medium"
"Quel est le pourcentage d’enfants obèses (IMC > 95ème percentile) qui présentent une HTA ?","10%","20%","30%","40%","3","Le document : ''HTA chez 30% des enfant à IMC95ème percentile''.","Medium"
"Le diagnostic d’HTA essentielle chez l’enfant est :","Fréquent","Rare","Exceptionnel","Le plus fréquent","3","Le document : ''HTA essentielle : diagnostic d'élimination très très rare chez l'enfant''.","Difficult"
"Quel examen de seconde phase est indiqué pour une glomérulopathie ?","UIV","Ponction biopsie rénale","Artériographie","Scintigraphie MIBG","2","Le document : ''Ponction biopsie rénale : pour savoir le stade et type de la glomérulopathie''.","Difficult"
"Le traitement chirurgical d’une sténose de l’artère rénale peut être :","Néphrectomie","Angioplastie endominale transcutanée","Pontage aorto-rénal","Embolisation","2","Le document : ''Angioplastie endominale transcutanée : sténose (succès : 60%)''.","Difficult"
