"term","definition","contextual_explanation"
"Hernie hiatale","Passage d'une partie de l'estomac dans le thorax à travers le hiatus","Provoque ou favorise le RGO par déplacement du cardia."
"Reflux gastro-œsophagien (RGO)","Passage du contenu gastrique dans l'œsophage","Peut être physiologique ou pathologique, source de régurgitations et complications."
"SIO","Sphincter inférieur de l'œsophage","Maintient l'étanchéité du cardia, relaxation lors de la déglutition."
"pHmétrie œsophagienne","Mesure continue du pH de l'œsophage sur 20-24h","Permet de quantifier le reflux acide et de relier épisodes aux symptômes."
"Manométrie œsophagienne","Examen de la dynamique de l'œsophage","Mesure les pressions du SIO et du SSO pour détecter asynchronismes et anomalies motrices."
"Prokinétiques","Médicaments stimulant la motricité gastrique","Ex: Domperidone ou Cisapride, réduisent le reflux en améliorant la vidange gastrique."
"IPP","Inhibiteurs de la pompe à protons","Réduisent l'acidité gastrique pour protéger l'œsophage, sans effet prokinétique."
"Fundoplicature de Nissen","Intervention chirurgicale","Corrige l'incompétence du SIO anatomiquement, réservée aux échecs du traitement médical."
"Stridor","Sifflement respiratoire","Complication ORL du RGO, signe d'irritation laryngée."
"hernie hiatale","Passage d'une partie de l'estomac dans le thorax à travers l'orifice hiatale","Phénomène anatomopathologique, distinct du RGO mais pouvant être associé."
"reflux gastro-œsophagien (RGO)","Passage permanent ou intermittent d'une partie du contenu gastrique dans l'œsophage","Phénomène physiopathologique. Le document le définit aussi comme passage à travers le cardia du contenu gastrique vers l'œsophage."
"cardia","Orifice entre l'œsophage et l'estomac (sphincter inférieur de l'œsophage)","Siège d'un tonus puissant responsable d'une étanchéité correcte. Le RGO correspond à un passage à travers le cardia."
"régurgitations","Remontée passive du contenu gastrique dans l'œsophage et la bouche","Expression clinique la plus banale du RGO chez le nourrisson, pouvant être très abondantes."
"œsophagite","Inflammation de la muqueuse œsophagienne","Complication sévère du RGO, diagnostiquée par endoscopie."
"laryngites à répétition","Inflammations répétées du larynx","Complication inattendue du RGO."
"prématuré","Nouveau-né né avant 37 SA","Chez le prématuré, le RGO non compliqué survient 3 à 5 fois par heure."
"RGO pathologique","Forme anormale de reflux nécessitant une prise en charge","Avant 1 an : 1 nourrisson pour 300 ; entre 1 et 5 ans : 8%."
"GERD 1","Gène responsable de forme sévère de RGO chez l'enfant","Localisé sur le chromosome 13q14 (hérédité du RGO)."
"SIO","Sphincter inférieur de l'œsophage (cardia)","Son incompétence est la base physiopathologique du RGO. Normalement tonus puissant et relaxation lors de la déglutition."
"relaxations transitoires inappropriées du SIO","Relâchements du sphincter en dehors des repas","Mécanisme du RGO pathologique, avec hypotonie permanente possible."
"immaturité du tonus sphinctérien","Défaut de maturité du tonus du cardia","Cause possible de l'incompétence du SIO."
"malposition cardio-tubérositaire","Anomalie anatomique de la jonction entre œsophage et estomac","Cause possible de l'incompétence du SIO."
"pepsine","Enzyme digestive gastrique","Avec l'acidité, elle est mal tolérée par la muqueuse œsophagienne."
"vidange gastrique","Évacuation du contenu de l'estomac vers le duodénum","Son anomalie (ex: spasme pylorique) peut créer ou aggraver un RGO."
"spasme pylorique","Contraction anormale du pylore","Augmente le gradient de pression gastro-œsophagienne, aggravant le RGO."
"IPLV (intolérance aux protéines du lait de vache)","Réaction anormale aux protéines du lait de vache","Provoque vomissements ou régurgitations, cassure pondérale. Peut déclencher des poussées de RGO."
"PLV (protéines du lait de vache)","Protéines issues du lait de vache","Le RGO pourrait être un facteur de sensibilisation aux PLV."
"échographie post-prandiale","Échographie réalisée après le repas","Explore le RGO à estomac plein. Visualise le cardia, quantifie les reflux, apprécie le retentissement. Non invasif, nécessite examinateur expérimenté, limité à 30 min, fiable après 4-5 mois."
"TOGD (transit œso-gastro-duodénal)","Radiographie avec ingestion de produit de contraste","Visualise le cardia, le RGO, la cinétique œsophagienne, la vidange gastrique. Peu invasif, à tout âge, nécessite observateur expérimenté, n'explore que RGO à estomac plein, limité à 30 min, fiabilité incertaine avant 4-5 mois."
"endoscopie œsophagienne","Visualisation directe de l'œsophage par endoscope","Diagnostic de l'œsophagite. Très invasif, nécessite anesthésie générale. Permet d'attribuer formellement l'agitation de l'enfant à l'œsophagite."
"pHmétrie œsophagienne","Enregistrement continu du pH œsophagien sur 20-24h","Évaluation quantitative des reflux acides et de leurs horaires. Applicable à tout âge, peu invasif, complète l'imagerie. N'explore que les reflux acides (estomac vide), nécessite souvent hospitalisation."
"manométrie œsophagienne","Exploration de la dynamique œsophagienne par capteur de pression nasale","Recueil des pressions du SIO et du SSO (sphincter supérieur). Examen bref, peu invasif, permet de mettre en évidence les asynchronismes œsophagiens. Technique peu répandue."
"mesures hygiéno-diététiques","Premières mesures non médicamenteuses","Posture proclive dorsale. Diététique : éviter suralimentation, fractionnement des repas, épaississement du lait, IPLV, éviter aliments acides."
"proclive dorsale","Position allongée sur le dos avec la tête surélevée","Mesure posturale recommandée pour le RGO."
"dompéridone","Prokinétique (Motilium, Péridys)","Posologie : 0,75 mg/kg/24h = 0,75 ml/kg/24h. Première intention, efficacité 50%."
"cisapride","Prokinétique (Prepulsid)","Posologie : 0,80 mg/kg/24h = 0,8 ml/kg/24h sans dépasser 40 mg/24h. Restriction : prescription médicale hospitalière. Vérifier QT et kaliémie."
"antispasmodiques","Médicaments réduisant les spasmes","Indications rares : hypertonie antrale ou hypertonie SIO. Atropine, bétanéchol, baclofène (à l'étude)."
"pansements œsophagiens","Médicaments protégeant la muqueuse œsophagienne","Gaviscon, phosphalugel, smecta, polysylane, topaal. À donner après le repas."
"antisécrétoires gastriques","Médicaments réduisant la sécrétion acide de l'estomac","Pas d'effet prokinétique. Incluent antihistaminiques H2 (ranitidine) et IPP."
"ranitidine","Antihistaminique H2 (AZANTAC, RANIPLEX)","Posologie : 3 à 6 mg/kg/24h en deux prises. Pas de présentation adaptée au nourrisson, utiliser injectable (2ml=50mg)."
"oméprazole","Inhibiteur de la pompe à protons (IPP)","1 mg/kg/24h en une prise vespérale. Ouvrir la gélule à 10mg. AMM à partir de 1 an."
"ésoméprazole","IPP (Inexium sachets pédiatriques 10mg)","Forme adaptée aux enfants."
"fundoplicature de Nissen","Intervention chirurgicale pour RGO","Réalisée par cœlioscopie, sous péridurale, suites écourtées."
"régurgitations simples","Forme clinique digestive bénigne","Disparition spontanée avant 5-6 mois, parfois 9 mois, exceptionnellement 1 an."
"malaise grave","Forme neurologique du RGO","Apnée, bradycardie, pâleur, simulant un accès de « mort subite manquée », résolution spontanée."
"stridor","Bruit respiratoire anormal (souvent laryngé)","Forme ORL du RGO."
