"term","definition","contextual_explanation"
"Bilharziose hépatique","Schistosomiase hépatique, due à l''infestation par S. Mansoni (et S. Japonicum ailleurs), complication de la bilharziose intestinale, responsable d''hypertension portale par fibrose portale.","Le document définit la bilharziose hépatique comme une complication de la bilharziose à S. Mansoni avec ou sans manifestations intestinales, pouvant se compliquer d''hémorragie digestive par rupture de varices œsophagiennes."
"S. Mansoni","Espèce de schistosome responsable de la bilharziose hépatique, présente à Madagascar où elle touche 2 millions de personnes, essentiellement sur la côte Est.","Agent parasitaire dont les œufs sont retrouvés dans les selles et qui migrent vers le foie via la veine porte."
"S. Japonicum","Espèce de schistosome responsable de bilharziose hépatique dans d''autres régions, inexistante à Madagascar.","Le document précise que S. Japonicum est inexistant à Madagascar."
"Hypertension portale","Élévation pathologique de la pression dans la veine porte et ses branches, entraînant varices œsophagiennes, ascite, splénomégalie.","Dans la bilharziose hépatique, l''hypertension portale est une complication majeure pouvant entraîner une hémorragie digestive par rupture de varices œsophagiennes."
"Miracidium","Forme larvaire du schistosome issue de l''œuf après éclosion en eau douce, qui cherche activement un mollusque hôte intermédiaire.","Le document décrit : éclosion en eau douce (25-30°, ensoleillement, pH neutre), libération de miracidium à la recherche d''hôte intermédiaire (mollusques)."
"Furcocercaire","Larve infestante du schistosome issue du mollusque, qui pénètre activement la peau humaine lors de bains en eau douce contaminée.","Le document indique que le furcocercaire est libéré après maturation chez le mollusque et pénètre la peau de l''homme."
"Sclérose en tuyau de pipe","Fibrose de l''espace porte autour des œufs de schistosome, sans nodules de régénération, aspect caractéristique de la bilharziose hépatique.","Le document précise : réaction granulomateuse autour de l''œuf intra-hépatique → sclérose de l''espace porte : ''sclérose en tuyau de pipe'', pas de nodule de régénération → pas de cirrhose."
"Cholestase anictérique","Rétention de substances biliaires (élévations des PAL et GGT) sans augmentation de la bilirubinémie, donc sans ictère.","Le bilan hépatique de la bilharziose hépatique montre une cholestase anictérique : PAL et GGT augmentées, pas d''élévation de la bilirubinémie."
"Pancytopénie","Diminution des trois lignées sanguines (globules rouges, globules blancs, plaquettes).","Dans la bilharziose hépatique, une pancytopénie apparaît à la longue par hypersplénisme secondaire à la splénomégalie."
"Sérologie bilharzienne","Test sérologique détectant les anticorps dirigés contre les schistosomes.","Le document précise qu''elle est presque toujours positive dans la bilharziose hépatique mais n''indique pas l''évolutivité ; elle reste positive à vie, donc on ne traite pas sur la seule sérologie."
"Varices œsophagiennes","Dilatations veineuses au niveau de l''œsophage secondaires à l''hypertension portale, pouvant se rompre et provoquer une hémorragie digestive.","Le document mentionne des varices œsophagiennes énormes au cours de la bilharziose hépatique, visibles à l''endoscopie digestive haute, dont la rupture est un motif de décès classique."
"Gastropathie d''hypertension portale","Lésions de la muqueuse gastrique liées à l''hypertension portale, observées en endoscopie.","L''endoscopie digestive haute dans la bilharziose hépatique montre une gastropathie d''hypertension portale."
"Pseudo-polypes inflammatoires","Formations polypoïdes bénignes de la muqueuse rectale réactionnelles à l''inflammation chronique parasitaire.","Le document les décrit comme des lésions évocatrices de bilharziose à la rectosigmoïdoscopie."
"Praziquantel","Médicament antiparasitaire de référence contre les schistosomes, commercialisé sous le nom Biltricide®.","Posologie : 40 mg/kg en une à deux prises en un seul jour (maximum 3 jours). Indication : infestation non traitée."
"Propranolol","Bêta-bloquant utilisé pour réduire la pression portale et prévenir la rupture des varices œsophagiennes.","Dans le document, le propranolol (80-160 mg/j, traitement à vie) est indiqué en cas d''hypertension portale."
"Splénectomie","Ablation chirurgicale de la rate.","Indiquée dans la bilharziose hépatique en cas d''hypersplénisme ou d''hypertension portale non contrôlée par le propranolol et la ligature endoscopique, associée à une ligature de la veine gastrique gauche."
"Hypersplénisme","Hyperactivité de la rate entraînant une destruction accrue des cellules sanguines (anémie, leucopénie, thrombopénie).","Complication de la splénomégalie au cours de la bilharziose hépatique, justifiant un traitement chirurgical (splénectomie)."
"Hypertension porto-pulmonaire","Élévation des pressions dans l''artère pulmonaire secondaire à l''hypertension portale.","Le document cite l''hypertension porto-pulmonaire comme une complication de la bilharziose hépatique."
