question,option1,option2,option3,option4,answer,explanation,difficulty
"Quelle est la définition de l’otite séro-muqueuse (OSM) ?","Inflammation aiguë de l’oreille moyenne avec perforation tympanique","Processus inflammatoire de l’oreille moyenne > 3 mois à tympan fermé + collection liquidienne","Infection bactérienne de l’oreille externe","Otite moyenne aiguë congestive","2","Le document indique : OSM : processus inflammatoire de l’oreille moyenne > 3 mois à tympan fermé + collection liquidienne (séreux, muqueux, épais).","Easy"
"Quelle est la tranche d’âge la plus touchée par l’OSM ?","Nourrissons de moins de 1 an","Enfants de 3 à 8 ans","Adolescents","Personnes âgées","2","Le document précise : Fréquente : enfant 3-8 ans (50%).","Easy"
"Pourquoi l’OSM est-elle considérée comme grave chez l’enfant ?","Elle peut entraîner une paralysie faciale","Elle affecte l’avenir otologique et le langage","Elle est toujours bilatérale","Elle est cancéreuse","2","Le document indique : Grave : affecte l’avenir otologique ; le langage.","Easy"
"Quel est le principal signe clinique de l’OSM chez l’enfant de 3 ans ?","Otalgie intense","Hypoacousie (enfant isolé, retard du langage, trouble scolaire)","Fièvre élevée","Otorrhée purulente","2","Le document précise : Hypoacousie : enfant parfois isolé, retard du langage, trouble scolaire.","Easy"
"L’OSM chez l’enfant est le plus souvent :","Unilatérale","Bilatérale","Alternante","Unilatérale puis bilatérale","2","Le document indique : Bilatérale ++","Easy"
"À l’otoscopie, l’OSM montre un tympan :","Perforé","Non perforé, mate, reliefs ossiculaires respectés mais hypervascularisés","Bombant rouge vif","Normal","2","Le document précise : A l’examen otoscopique : Tympan non perforé, Mate, Reliefs ossiculaire respectés mais hypervascularisé.","Easy"
"Quel aspect otoscopique est pathognomonique de l’OSM ?","Tympan rouge vif","Tâche jaunâtre (mucus rétromembranaire), niveau liquidien ou bulles hydro-aériques derrière le tympan","Tympan bleuâtre systématique","Perforation marginale","2","Le document décrit : Tâche jaunâtre (mucus retro-membranaire), niveau liquidien ou bulles hydro-aériques derrière le tympan.","Easy"
"L’acoumétrie au diapason dans l’OSM montre :","Une surdité de perception","Une surdité de transmission (Weber latéralisé du côté atteint, Rinne négative)","Une audition normale","Une surdité mixte","2","Le document indique : Acoumétrie au diapason : surdité de transmission (Weber latéralisée du côté atteint, Rinne négative).","Easy"
"Quel examen est considéré comme la clé du diagnostic de l’OSM ?","Audiométrie tonale","Tympanométrie","Scanner du rocher","IRM cérébrale","2","Le document précise : Tympanométrie : clé du diagnostic.","Easy"
"Le tympanogramme typique de l’OSM est :","Une courbe normale","Une courbe plate (tympan immobile)","Un pic en Tour Eiffel","Une courbe en double pic","2","Le document indique : Courbe plate : tympan immobile sous l’effet de la pression du liquide.","Easy"
"La tympanométrie en Tour Eiffel correspond à :","Un tympan normal","Un tympan trop mince et flaccide","Un épanchement liquidien","Une perforation tympanique","2","Le document précise : En Tour Eiffel : tympan trop mince : tympan flaccide.","Medium"
"Quel est le niveau moyen de surdité de transmission dans l’OSM à l’audiométrie ?","10-15 dB","20-40 dB","50-70 dB","> 80 dB","2","Le document indique : Audiométrie tonale : surdité de transmission : surdité 20 - 40 dB.","Easy"
"L’OSM chez l’adulte doit faire rechercher en priorité :","Une allergie","Un cancer du rhinopharynx (tumeur du cavum)","Une otite externe","Une labyrinthite","2","Le document précise : OSM adulte : cancer du rhinopharynx ??? et Fibroscopie nasopharyngée : processus tumoral (cavum).","Medium"
"Quel examen complémentaire est systématique chez l’adulte suspect d’OSM ?","Radiographie des sinus","Fibroscopie nasopharyngée","Scanner des rochers en urgence","IRM cérébrale","2","Le document mentionne : Fibroscopie nasopharyngée : processus tumoral (cavum).","Medium"
"Quelle est la théorie étiopathogénique principale de l’OSM chez l’enfant ?","Théorie allergique","Théorie ex vacuo (dysfonctionnement tubaire)","Théorie auto-immune","Théorie génétique","2","Le document décrit : Théorie ex vacuo (dysfonctionnement tubaire) comme première théorie retenue.","Medium"
"Quelle est la cause la plus fréquente de dysfonctionnement tubaire chez l’enfant dans l’OSM ?","Polype nasal","Hypertrophie des végétations adénoïdes (VA)","Fente vélaire","Tabagisme passif","2","Le document cite : Hypertrophie de VA (végétations adénoïdes) en premier dans les étiologies chez l’enfant.","Medium"
"Quelle est la localisation de l’hypoacousie dans l’OSM de l’adulte ?","Bilatérale et symétrique","Unilatérale","Indifférente","Alternante","2","Le document indique : OSM chez l’adulte : Hypoacousie : ST, unilatéral.","Medium"
