"term","definition","contextual_explanation"
"SA","Semaines d'aménorrhée – unité de mesure de l'âge gestationnel.","Le nouveau-né est moyennement accepté à 37 SA, et l'adaptation à la vie extra-utérine survient après 40 SA en moyenne."
"nouveau-né","Enfant depuis la naissance jusqu'à 28 jours de vie.","Le nouveau-né s'adapte efficacement à la vie extra-utérine."
"vie extra-utérine","Vie en dehors de l'utérus, caractérisée par une respiration aérienne et une autonomie circulatoire et thermique.","Le nouveau-né passe de la vie intra-utérine à la vie extra-utérine via des adaptations respiratoire, circulatoire, thermique, glycémique et digestive."
"salle de naissance","Lieu où se déroule l'accouchement et les premières minutes de vie.","Les gestes thérapeutiques en salle de naissance visent à favoriser l'adaptation du nouveau-né."
"adaptation respiratoire","Ensemble des phénomènes permettant l'établissement d'une hématose aérienne après la naissance.","Comprend l'évacuation du liquide pulmonaire, la libération du surfactant et les premiers mouvements respiratoires."
"mouvements respiratoires","Contractions des muscles respiratoires observées in utero et à la naissance.","Avant la naissance, il y a déjà des mouvements respiratoires mais sans hématose."
"hématose","Échange de gaz (oxygène et dioxyde de carbone) entre le sang et l'air alvéolaire.","Absente avant la naissance car les poumons ne sont pas aérés."
"clampage du cordon","Section et ligature du cordon ombilical après la naissance.","Le clampage du cordon, associé aux mouvements respiratoires, déclenche les adaptations circulatoire et glycémique."
"liquide pulmonaire","Liquide sécrété par les poumons fœtaux, évacué à la naissance.","Diminué quelques jours avant la naissance, évacué par compression thoracique et résorption veineuse/lymphatique."
"compression de la cage thoracique","Pression mécanique subie par le thorax lors du passage dans la filière génitale.","Permet l'expulsion d'une partie du liquide pulmonaire."
"filière génitale","Voies naturelles de l'accouchement (vagin, périnée).","Le passage du nouveau-né à travers la filière génitale comprime la cage thoracique."
"résorption veineuse et lymphatique","Absorption du liquide pulmonaire par les vaisseaux sanguins et lymphatiques.","Principale voie d'évacuation du liquide pulmonaire après la naissance."
"surfactant","Substance tensio-active libérée par les pneumocytes de type II.","Libéré massivement dans la lumière alvéolaire pour empêcher la collabusion des alvéoles."
"pneumocytes de type II","Cellules de la paroi alvéolaire qui synthétisent et sécrètent le surfactant.","Ils libèrent le surfactant dans la lumière alvéolaire à la naissance."
"propriétés tensio-actives","Capacité à réduire la tension superficielle au niveau de l'interface air-liquide alvéolaire.","Les propriétés tensio-actives du surfactant aident les alvéoles à ne pas se collaber."
"alvéoles","Structures terminales du poumon où se font les échanges gazeux.","Le surfactant empêche les alvéoles de se collaber (effondrement)."
"collaber","S'effondrer, se fermer (en parlant des alvéoles).","Le surfactant évite la collabusion alvéolaire."
"asphyxie périnatale","Défaut d'oxygénation autour de la période de la naissance.","Phénomène pouvant détruire le surfactant."
"infection néonatale bactérienne","Infection par des bactéries survenant chez le nouveau-né.","L'inflammation associée à l'infection néonatale bactérienne détruit le surfactant."
"inflammation","Réaction tissulaire à une agression (infectieuse, chimique, etc.).","L'inflammation détruit le surfactant."
"prématurité","Naissance avant 37 SA révolues.","L'évacuation du liquide pulmonaire est ralentie en cas de prématurité."
"césarienne","Accouchement par incision abdominale et utérine.","L'évacuation du liquide pulmonaire est ralentie chez les enfants nés par césarienne."
"adaptation circulatoire","Transition de la circulation fœtale à la circulation néonatale de type série.","Implique la fermeture des shunts fœtaux (foramen ovale, canal artériel, canal d'Arantius)."
"circulation fœtale","Circulation sanguine in utero caractérisée par des shunts et un fonctionnement parallèle des ventricules.","Comporte 3 shunts : foramen ovale, canal artériel, canal d'Arantius."
"shunts","Communications vasculaires permettant de dériver le sang.","Les shunts fœtaux sont le foramen ovale, le canal artériel et le canal d'Arantius."
