"front","back","cognitive_level"
"Quels sont les cinq principaux domaines d'adaptation du nouveau-né à la vie extra-utérine ?","1. Adaptation respiratoire
2. Adaptation circulatoire
3. Adaptation thermique
4. Régulation glycémique
5. Adaptation digestive

Ces adaptations permettent la transition de la vie fœtale à la vie aérienne et sont déterminantes pour le pronostic néonatal.","Recall"
"Comment le liquide pulmonaire est-il évacué à la naissance ?","Le liquide pulmonaire (déjà diminué quelques jours avant la naissance) est évacué par deux mécanismes :
- Compression de la cage thoracique lors du passage à travers la filière génitale
- Résorption par voie veineuse et lymphatique après la naissance

L'évacuation est ralentie en cas de prématurité et chez les enfants nés par césarienne.","Understanding"
"Quel est le rôle du surfactant et quels facteurs peuvent le détruire ?","Le surfactant est libéré massivement dans la lumière alvéolaire par les pneumocytes de type II. Ses propriétés tensio-actives aident les alvéoles à ne pas se collaber (effondrement). 
Facteurs destructeurs du surfactant : 
- Asphyxie périnatale
- Infection néonatale bactérienne (l'inflammation détruit le surfactant)","Understanding"
"Expliquez les trois shunts de la circulation fœtale et leur devenir après la naissance.","Shunts fœtaux :
1. Foramen ovale (trou de Botale) – se ferme après l'aération alvéolaire car les résistances pulmonaires diminuent et la pression OG > OD.
2. Canal artériel – se ferme par vasoconstriction suite à l'augmentation de la pression systémique et à l'apport de sang oxygéné.
3. Canal d'Arantius (ductus venosus) – se ferme après clampage du cordon par disparition du retour veineux ombilical.

Le fonctionnement ventriculaire passe de parallèle à série.","Understanding"
"Application clinique : Pourquoi un nouveau-né prématuré ou né par césarienne présente-t-il un risque respiratoire accru ?","- En cas de prématurité : l'évacuation du liquide pulmonaire est ralentie car le processus de résorption n'est pas mature.
- Par césarienne : absence de compression thoracique lors du passage dans la filière génitale, ce qui diminue l'expulsion mécanique du liquide pulmonaire.
Ces deux situations augmentent le risque de détresse respiratoire néonatale.","Application"
"Quels sont les quatre mécanismes de pertes thermiques chez le nouveau-né ? Donnez un exemple pour chacun.","1. Conduction : différence de température entre la peau du nouveau-né et la surface sur laquelle il est posé (ex : table froide).
2. Convection : gradient de température entre la peau et l'air circulant (ex : courant d'air).
3. Radiation : échange de chaleur avec les parois froides de l'environnement (ex : murs froids).
4. Évaporation : pertes par voie respiratoire et cutanée (ex : séchage après la naissance).

La thermogenèse post-natale se fait par lipolyse de la graisse.","Recall"
"Analysez la séquence de régulation glycémique après la naissance : quel est le rôle du clampage du cordon et des réserves ?","- Clampage du cordon → le nouveau-né à terme mobilise ses réserves en glycogène.
- Glycémie maintenue > 0,4 g/L (2,3 mmol/L) grâce aux réserves.
- La glycémie chute à son niveau le plus bas 1 heure après la naissance.
- Normalisation en 4 à 6 heures par glycogénolyse et néoglucogenèse, relayée par une alimentation précoce.

Facteurs clés : graisse, réserves en glycogène, équilibre glucagon/insuline.","Analysis"
"À partir de quel âge gestationnel la motricité intestinale devient-elle harmonieuse et efficace ? Et la succion-déglutition ?","- Motricité intestinale : très désordonnée avant 31 SA, harmonieuse et efficace à >34 SA.
- Motricité postprandiale : détectable à partir de 31 SA.
- Succion-déglutition : mature à 34-36 SA, permettant la tétée.

L'adaptation digestive nécessite une maturation progressive de la motricité et de la coordination.","Recall"
"Pourquoi le risque d'hypothermie est-il élevé chez le nouveau-né ?","Le nouveau-né a une température in utero supérieure à celle de la mère (0,3-0,8°C). En postnatal, il produit de la chaleur par thermogenèse (lipolyse de la graisse), mais les pertes thermiques sont importantes via conduction, convection, radiation et évaporation. Le rapport surface corporelle/poids élevé et l'immaturité des mécanismes de régulation augmentent le risque d'hypothermie.","Understanding"
"Quels événements déclenchent la fermeture du foramen ovale et du canal artériel ?","- Fermeture du foramen ovale : aération alvéolaire → diminution des résistances pulmonaires → augmentation de la pression dans l'oreillette gauche (OG > OD) → fermeture.
- Fermeture du canal artériel : augmentation de la pression systémique après clampage du cordon → apport de sang oxygéné au niveau du canal → vasoconstriction → fermeture définitive.","Understanding"
