"term","definition","contextual_explanation"
"développement somatique","Ensemble des phénomènes physiques qui contribuent à la croissance, depuis la conception jusqu’à l’âge adulte.","Résultat de deux processus : croissance et maturation. Trois caractéristiques : global, variable selon les périodes, propre à chaque individu."
"croissance pondérale","Augmentation du poids de l’enfant.","Normes : perte physiologique <10% les 3 premiers jours ; à 5 mois = PN×2 ; à 12 mois = PN×3 ; à 2 ans = PN×4 puis fonte du panicule adipeux ; de 2 ans à la puberté : gain de 2 kg/an ; à la puberté : garçon → masse maigre, fille → masse grasse."
"croissance staturale","Augmentation de la taille (longueur) de l’enfant.","Reflet de la vitesse de croissance. Normes : nouveau-né 50 cm ; 6 mois 65 cm ; 12 mois 75 cm ; 2 ans 85 cm ; 3 ans 93 cm ; 4 ans = TN×2 ; de 5 à 12 ans : gain de 5-6 cm/an."
"IMC (Indice de Masse Corporelle)","Indice de Quetelet : Poids (kg) / Taille² (m²).","Évalue la corpulence et prévient les troubles nutritionnels. Valeur normale : 18-24."
"périmètre crânien (PC)","Mesure du tour de tête, reflet de la croissance du cerveau.","Normes : nouveau-né 35 cm ; à 12 mois 47 cm ; 2 ans 48 cm ; 3 ans 49,5 cm ; 5 ans 51 cm ; 10 ans 52,5 cm ; adulte 55 cm. Formule jusqu’à 12 mois : PC = T/2 + 10."
"fontanelle antérieure","Espace membraneux entre les os du crâne, de forme losange, environ 3 cm à la naissance.","Fermeture normale entre 15 et 18 mois (anomalie si >24 mois). Permet la croissance du cerveau et le chevauchement des os lors de l’accouchement."
"fontanelle postérieure","Espace membraneux à l’arrière du crâne.","Fermeture normale avant 2 mois."
"craniosténose","Fermeture prématurée des fontanelles.","Anomalie de la fermeture des fontanelles (trop tôt)."
"rachitisme","Maladie de la croissance osseuse par carence en vitamine D, calcium ou phosphore.","Cause de fermeture tardive des fontanelles."
"hypertension intracrânienne (HTIC)","Augmentation de la pression à l’intérieur du crâne.","Se manifeste par un bombement de la fontanelle."
"déshydratation","Perte anormale d’eau corporelle.","Se manifeste par une dépression (enfoncée) de la fontanelle."
"périmètre thoracique (PT)","Tour de poitrine.","À la naissance : PT < PC (environ 32 cm). À 6 mois : PT = PC. À 12 mois : PT > PC. Surveillé en cas de pathologie respiratoire, osseuse ou malformation congénitale."
"carnet de santé","Document officiel de suivi de l’enfant en France (et dans certains pays).","Toutes les mesures de croissance sont enregistrées dans le carnet de santé et retranscrites sur les courbes pour comparaison avec les valeurs standards et les valeurs précédentes."
"maturation osseuse","Processus d’ossification (calcification) des os.","Débute dès le 5ème mois de vie intra-utérine et se poursuit jusqu’à la fin de l’adolescence. Mesurée par radiographie (âge osseux) à partir des points d’ossification."
"âge osseux","Âge estimé par la radiographie des os (poignet, os longs).","Reflet de la maturation osseuse."
"maturation dentaire","Processus de formation et d’éruption des dents.","Débute à la fin de la vie embryonnaire et se termine à l’âge adulte. Deux types : dentition temporaire (dents de lait) et définitive."
"dentition temporaire","Dents de lait, au nombre de 20.","Apparition des bourgeons chez l’embryon, calcification dès le 5ème mois de VIU. Éruption de 6 mois à 3 ans dans l’ordre : 8 incisives, 4 premières molaires, 4 canines, 4 deuxièmes molaires."
"dentition définitive","Dents permanentes, au nombre de 32.","Vers 6 ans : chute des premières dents, poussée des premières molaires → 24 dents. À 12 ans : + 4 deuxièmes molaires → 28 dents. À 18 ans : + 4 dents de sagesse → 32 dents."
"incisives","Dents antérieures, tranchantes, servant à couper les aliments.","8 incisives dans la dentition temporaire."
"canines","Dents pointues, servant à déchirer les aliments.","4 canines dans la dentition temporaire."
"molaires","Dents postérieures, larges, servant à broyer les aliments.","4 premières molaires et 4 deuxièmes molaires dans la dentition temporaire. Dans la dentition définitive : premières molaires (vers 6 ans), deuxièmes molaires (vers 12 ans), troisièmes molaires (dents de sagesse, vers 18 ans)."
"dents de sagesse","Troisièmes molaires.","Apparaissent vers 18 ans, 4 dents."
"hormone de croissance","Hormone sécrétée par l’hypophyse.","Sécrétée pendant le sommeil profond, facteur intrinsèque du développement somatique."
"indice de Quetelet","Autre nom de l’IMC.","IMC = P/T², valeur normale 18-24."
"panicule adipeux","Tissu adipeux sous-cutané.","Fonte du panicule adipeux à 2 ans."
"masse maigre","Masse corporelle correspondant aux muscles, os, organes (sans graisse).","Augmente chez le garçon à la puberté."
"masse grasse","Masse corporelle correspondant aux tissus adipeux.","Augmente chez la fille à la puberté."
"position couchée pour mesure","Allongé sur le dos.","Utilisée pour mesurer la taille chez l’enfant de moins de 2 ans."
"position debout pour mesure","Station verticale.","Utilisée pour mesurer la taille chez l’enfant de plus de 2 ans."
"premier certificat de santé","Examen médical obligatoire à J8.","Premier enregistrement des mesures de croissance."
"certificat à 9 mois","Examen médical obligatoire à 9 mois.","Permet le suivi trimestriel entre 6 et 12 mois."
"certificat à 2 ans","Examen médical obligatoire à 2 ans.","Permet le suivi tous les 4 mois entre 1 et 2 ans."
