"term","definition","contextual_explanation"
"drépanocytose","Anémie hémolytique constitutionnelle transmise sur le mode autosomique récessif due à une hémoglobine anormale : Hb S.","Maladie de la race noire devenue ubiquitaire. Problème de santé publique : 30% en Afrique, 10% à Madagascar. Mortalité élevée entre 6 mois et 5 ans en Afrique."
"Hb S","Hémoglobine anormale (S pour sickle – faucille) responsable de la drépanocytose.","Résulte d’une mutation ponctuelle de la chaîne β de l’hémoglobine. En condition de désoxygénation, l’Hb S polymérise et falciforme les globules rouges."
"test d’Emmel","Test de falciformation.","Positif dans la drépanocytose : les globules rouges prennent une forme de faucille en conditions de désoxygénation."
"électrophorèse de l’hémoglobine","Examen séparant les différents types d’hémoglobine.","Dans la drépanocytose homozygote SS : présence d’Hb S, Hb F et Hb A2 ; absence d’Hb A."
"syndrome pieds-mains","Tuméfaction aiguë du dos des mains et des pieds (œdème, peau tendue, luisante, douleur importante).","Signe révélateur de la drépanocytose entre 6 et 18 mois."
"splénomégalie","Augmentation de la taille de la rate.","Signe clinique de la drépanocytose par hémolyse et séquestration splénique."
"séquestration splénique","Accident suraigu : splénomégalie massive évoluant en quelques heures, avec choc, hémoglobine effondrée (3-4 g/dL), plaquettes à 10 G/L.","Complication grave de la drépanocytose. Risque de relargage brutal. Peut nécessiter splénectomie."
"érythroblastopénie aiguë","Chute brutale des précurseurs érythroblastiques dans la moelle osseuse.","Complication de la drépanocytose due à l’infection à Parvovirus B19. Aggravation aiguë de l’anémie."
"crise vaso-occlusive","Obstruction des vaisseaux par les globules rouges falciformes.","Complication chez l’enfant >6 ans. Peut toucher le cerveau (AVC), le thorax (syndrome thoracique aigu), les organes génitaux externes (priapisme), les membres (crises douloureuses)."
"syndrome thoracique aigu","Accident vasculaire thoracique : pneumopathie dyspnéisante hypoxémiante (infarctus pulmonaire).","Complication vaso-occlusive pulmonaire de la drépanocytose."
"priapisme","Érection douloureuse prolongée et pathologique.","Complication vaso-occlusive chez le garçon drépanocytaire, par thrombose du corps caverneux, pouvant entraîner une impuissance définitive."
"Parvovirus B19","Virus responsable de l’érythroblastopénie aiguë.","Chez l’enfant drépanocytaire, l’infection par ce virus provoque une aggravation sévère de l’anémie."
"ostéomyélite","Infection de l’os et de la moelle osseuse.","Diagnostic différentiel des douleurs ostéoarticulaires chez l’enfant drépanocytaire. Germes fréquents : Salmonella."
"arthrite","Inflammation articulaire.","Diagnostic différentiel : limitation douloureuse de la mobilité, épanchement."
"RAA","Rhumatisme articulaire aigu.","Diagnostic différentiel : angines à répétition, polyarthrite mobile, grosses articulations, fièvre, signes cardiaques, ASDO élevé."
"hydréa","Hydroxyurée (cytostatique).","Traitement permettant d’espacer les crises drépanocytaires. Traitement spécialisé."
"acide folique","Vitamine B9.","Traitement préventif de la drépanocytose : 1 mg/kg/j. Compense l’hyperconsommation médullaire liée à l’hémolyse."
"antibioprophylaxie par pénicilline","Prévention des infections bactériennes par pénicilline.","Recommandée chez l’enfant drépanocytaire, en complément de la vaccination."
"Desferal","Déféroxamine (chélateur du fer).","Utilisé en cas de surcharge martiale secondaire aux transfusions multiples."
"splénectomie","Ablation chirurgicale de la rate.","Indiquée en cas de séquestration splénique grave et récurrente, avec augmentation des besoins transfusionnels."
"allogreffe de moëlle","Greffe de cellules souches hématopoïétiques provenant d’un donneur.","Traitement curatif de la drépanocytose (rare, traitement spécialisé)."
"culot phénotypé et filtré","Concentré de globules rouges dont les antigènes sont identifiés et les leucocytes éliminés.","Utilisé pour les transfusions chez l’enfant drépanocytaire afin de limiter l’allo-immunisation."
"Hb F","Hémoglobine fœtale.","Protège contre la falciformation. Présente chez le nouveau-né, disparaît progressivement après 6 mois. D’où l’absence de symptômes avant 6 mois."
"Hb A2","Hémoglobine mineure normale.","Présente à l’électrophorèse dans la drépanocytose SS (avec Hb S et Hb F)."
"anémie hémolytique régénérative","Anémie due à la destruction accrue des globules rouges, compensée par une augmentation des réticulocytes.","Caractéristique biologique de la drépanocytose."
"réticulocytes","Globules rouges immatures.","Augmentés dans l’anémie hémolytique régénérative de la drépanocytose."
"falciformation","Transformation des globules rouges en forme de faucille (lame).","Observée au test d’Emmel. Responsable de la physiopathologie de la drépanocytose."
"hyperleucocytose à PNN","Augmentation du nombre de polynucléaires neutrophiles.","Signe biologique de pneumonie chez l’enfant drépanocytaire."
"hypoglycorachie","Taux anormalement bas de glucose dans le liquide céphalo-rachidien.","Signe de méningite bactérienne."
"Kernig et Brudzinski","Manœuvres sémiologiques des méningites.","Recherchées devant une suspicion de méningite chez l’enfant drépanocytaire."
"allo-immunisation","Production d’anticorps dirigés contre des antigènes sanguins étrangers.","Complication des transfusions itératives chez le drépanocytaire."
"surcharge martiale","Accumulation excessive de fer dans l’organisme.","Complication des transfusions multiples. Traitée par chélation (Desferal)."
