"front","back","cognitive_level"
"Qu’est-ce que la puberté ?","Ensemble des phénomènes physiques et psychiques qui définissent le passage de l’état d’enfant à l’état d’adulte, aboutissant à l’acquisition de la taille définitive et de la fonction de reproduction.","Recall"
"Quelle est la durée moyenne de la puberté ?","Environ 4 ans.","Recall"
"Quelles sont les deux principales caractéristiques de la puberté ?","1) Accélération de la vitesse de croissance. 2) Apparition des caractères sexuels secondaires.","Recall"
"Quel est le mécanisme neuroendocrinien du déclenchement de la puberté ?","Réactivation de la fonction gonadotrope après une période de quiescence (qui débute au 4-6ème mois post-natal et dure toute l’enfance).","Recall"
"Quelle est la première manifestation de la puberté chez la petite fille ?","Le développement des seins, à partir de 10,5-11 ans (physiologique entre 8 et 13 ans).","Recall"
"Décrivez les 5 stades de Tanner pour le développement mammaire (S1 à S5).","S1 : absence de développement mammaire. S2 : petit bourgeon mammaire avec élargissement de l’aréole. S3 : glande mammaire dépasse la surface de l’aréole. S4 : développement maximum (sillon sous-mammaire, saillie aréole/mamelon). S5 : aspect adulte (disparition de la saillie de l’aréole).","Recall"
"Quand apparaît la pilosité pubienne par rapport au développement mammaire chez la fille ?","Elle débute le plus souvent quelques mois après. Elle peut parfois précéder le développement mammaire dans 16 % des cas.","Recall"
"Décrivez les 5 stades de Tanner pour la pilosité pubienne (P1 à P5).","P1 : absence de pilosité. P2 : quelques poils longs sur le pubis. P3 : pilosité pubienne au-dessus de la symphyse pubienne. P4 : pilosité pubienne fournie. P5 : pilosité s’étend à la racine de la cuisse (et s’allonge vers l’ombilic chez le garçon).","Recall"
"À quel âge apparaissent les règles (ménarche) ?","Autour de 13 ans (physiologique entre 10 et 15 ans).","Recall"
"Quel est le délai entre l’apparition des premiers signes pubertaires et la ménarche ?","2 à 2,5 ans après l’apparition des premiers signes pubertaires.","Recall"
"Au bout de combien de temps après les premières règles les cycles deviennent-ils ovulatoires ?","18-24 mois après les premières règles.","Recall"
"Quel est l’âge de début physiologique du développement mammaire chez la fille ?","Entre 8 et 13 ans.","Recall"
"Quelle est la modification de la vulve à la puberté ?","Horizontalisation (d’avant en arrière). Grandes et petites lèvres plus colorées.","Recall"
"Quel aspect a la muqueuse vaginale à la puberté ?","Rosée, humide avec discrète leucorrhée.","Recall"
"Quel est le premier signe de puberté chez le garçon ?","L’augmentation du volume testiculaire vers l’âge de 11,5 ans (physiologique entre 9,5 et 14 ans).","Recall"
"Quel est le volume testiculaire normal à la puberté (seuil) ?","Volume testiculaire > 4 ml. Grand axe atteint ou dépasse 2,5 cm.","Recall"
"Décrivez les 5 stades de Tanner pour le développement génital du garçon (G1 à G5).","G1 : testicules et verge infantiles. G2 : volume testiculaire 4-6 ml. G3 : volume testiculaire 6-12 ml, augmentation taille verge. G4 : volume testiculaire 12-16 ml, augmentation taille verge. G5 : morphologie adulte.","Recall"
"Quand apparaît la pilosité pubienne chez le garçon par rapport au développement testiculaire ?","En moyenne 6 mois après le début du développement testiculaire.","Recall"
"Quelle est la fréquence de la gynécomastie bilatérale chez les garçons en période pubertaire ?","30 à 65 % des garçons. Apparaît en milieu de puberté, régresse en quelques mois dans la quasi-totalité des cas.","Recall"
"Quelle est la vitesse de croissance chez la fille avant et pendant la puberté ?","Avant puberté : 5 cm/an. Pendant puberté (vers 12 ans) : 8 cm/an. Diminue rapidement jusqu’à 1 cm/an à 16 ans (arrêt à 16 ans).","Recall"
"Quelle est la croissance pubertaire totale moyenne chez la fille ?","23-25 cm.","Recall"
"Quelle est la vitesse de croissance chez le garçon avant et pendant la puberté ?","Avant puberté : 5 cm/an. Pendant puberté (vers 14 ans) : 10 cm/an.","Recall"
"Quelle est la taille moyenne au début de la croissance pubertaire chez le garçon ?","150 cm.","Recall"
"Quelle est la croissance pubertaire totale moyenne chez le garçon ?","25-28 cm.","Recall"
"À quel âge la taille finale est-elle atteinte chez le garçon ?","Autour de 18 ans.","Recall"
"Quelle est la taille finale de la fille ?","Arrêt à 16 ans.","Recall"
"À quel âge apparaît le sésamoïde du pouce sur la radiographie osseuse ?","À 11 ans (indique que la maturation osseuse atteint un degré suffisant – début de la puberté).","Recall"
"Quel est l’aspect échographique de l’ovaire à la puberté ?","2 à 3 cm avec image liquidienne de 7-8 mm ressemblant à un ovaire micropolykystique.","Recall"
"Quel est l’aspect échographique de l’utérus avant la puberté ?","L’isthme et le col représentent les deux tiers du volume utérin total. Il n’y a pas de ligne de vacuité visible.","Recall"
"À quel âge le développement mammaire est-il considéré comme anormal (en dessous ou au-dessus) ?","En dessous de 8 ans (puberté précoce) ou au-dessus de 13 ans (retard pubertaire).","Recall"
"À quel âge l’augmentation du volume testiculaire est-elle considérée comme anormale ?","Avant 9,5 ans (puberté précoce) ou après 14 ans (retard pubertaire).","Recall"
"Citez les caractères sexuels secondaires qui apparaissent tardivement chez le garçon (inconstants et variables).","Pilosité faciale, pilosité corporelle. La modification de la voix est variable.","Recall"
