question,option1,option2,option3,option4,answer,explanation,difficulty
"Quelle est la définition de la neuronite vestibulaire ?","Vestibulopathie périphérique aiguë bilatérale","Vestibulopathie périphérique aiguë unilatérale","Vertige central d’origine ischémique","Atteinte cochléaire isolée","2","Le document indique : Neuronite / névrite vestibulaire = vestibulopathie périphérique aiguë unilatérale.","Easy"
"La névrite vestibulaire donne un syndrome vertigineux :","Central, progressif","Périphérique isolé, brutal","Périphérique avec surdité","Central avec acouphènes","2","Le document précise : Donne un syndrome vertigineux périphérique isolé, brutal.","Easy"
"Quelle est la durée typique du grand vertige rotatoire dans la névrite vestibulaire ?","Quelques secondes à minutes","Quelques heures à quelques jours (> 24h)","Plusieurs semaines","Quelques mois","2","Le document indique : Puis grand vertige rotatoire invalidant durant quelques heures à quelques jours (> 24h).","Easy"
"Le vertige de la névrite vestibulaire s’accompagne de :","Signes neurovégétatifs (nausée, vomissement, malaise)","Surdité","Acouphène","Diplopie","1","Le document précise : Avec signes neurovégétatifs (nausée, vomissement, malaise, jamais de perte de connaissance).","Easy"
"Dans la névrite vestibulaire, on observe quel type de nystagmus ?","Nystagmus vertical","Nystagmus horizonto-rotatoire","Nystagmus rotatoire pur","Absence de nystagmus","2","Le document indique : Nystagmus horizonto-rotatoire (préciser la direction).","Easy"
"L’examen audiométrique dans la névrite vestibulaire montre :","Une surdité de perception","Une surdité de transmission","Une audition normale","Un acouphène objectivable","3","Le document précise : Audition normale.","Easy"
"Quel virus est impliqué dans la pathogénie de la névrite vestibulaire ?","Virus d’Epstein-Barr","Cytomégalovirus","HSV1 (Herpes Simplex Virus type 1)","Virus varicelle-zona","3","Le document indique : Réactivation du HSV1 au niveau du ganglion du nerf vestibulaire +++","Easy"
"Quel est le traitement corticoïde proposé dans la névrite vestibulaire ?","Prednisone orale 1 mg/kg","Méthylprednisolone IV à 1 mg/kg/j","Hydrocortisone IV","Dexaméthasone orale","2","Le document précise : Méthylprednisolone IV à 1mg/kg/j.","Easy"
"Quel est le vestibuloplégique mentionné dans le traitement ?","Bétahistine","Acétyl-leucine","Métoclopramide","Dompéridone","2","Le document indique : Vestibuloplégiques : acétyl-leucine.","Easy"
"Quel antiémétique est cité dans le traitement de la névrite vestibulaire ?","Ondansétron","Métoclopramide et dompéridone","Granisétron","Palonosétron","2","Le document mentionne : Antiémétiques : métoclopramide, dompéridone.","Easy"
"Quelle est la dose d’acétyl-leucine IV dans la névrite vestibulaire ?","250 mg x3/j","500 mg x3/j","1 g x3/j","500 mg x2/j","2","Le document indique : Acétyl-leucine IV à 500 mg x3/j.","Easy"
"Que ne faut-il pas faire dans la prise en charge de la névrite vestibulaire ?","Hospitalisation","Rééducation vestibulaire","Repos prolongé et vestibuloplégiques prolongés","Levée précoce","3","Le document précise : Déconseiller : repos prolongé et vestibulopléqiques prolongés.","Easy"
"Le syndrome de Lindsay Hemenway associe :","NV récidivante controlatérale","VPPB après NV","NV avec surdité","NV bilatérale","2","Le document indique : Syndrome de LINDSAY HEMENWAY : VPPB après NV.","Easy"
"La rééducation vestibulaire est décrite comme :","Une option facultative","Une leçon de thérapeutique","Un traitement de seconde intention","Un traitement chirurgical","2","Le document conclut : Rééducation vestibulaire : leçon de thérapeutique.","Easy"
"Dans la névrite vestibulaire, on observe une absence de :","Signes neurovégétatifs","Signes cochléaires (surdité, acouphène)","Nystagmus","Vertige","2","Le document précise : Sans signe cochléaire (surdité, acouphène).","Easy"
"L’évolution favorable du vertige dans la névrite vestibulaire se fait en :","Quelques heures","Quelques jours","Quelques semaines","Quelques mois","2","Le document indique : Vertige : favorable en quelques jours.","Easy"
"Quel examen complémentaire confirme le diagnostic de névrite vestibulaire ?","IRM cérébrale","Aréflexie/hyporéflexie vestibulaire non compensée à l’épreuve calorique calibrée","Potentiels évoqués auditifs","Scanner du rocher","2","Le document mentionne : Aréflexie / hyporéflexie vestibulaire non compensée (à l’épreuve calorique calibrée).","Medium"
"Le syndrome vestibulaire harmonieux est synonyme de :","Syndrome vestibulaire central","Syndrome vestibulaire périphérique","Syndrome vestibulaire bilatéral","Syndrome cochléo-vestibulaire","2","Le document indique : Syndrome vestibulaire harmonieux (= périphérique).","Medium"
"Quelle est la posologie du métoclopramide IV dans la névrite vestibulaire ?","10 mg x1/j","10 mg x3/j","20 mg x3/j","5 mg x3/j","2","Le document précise : Métoclopramide en IV à 10 mg x3/j.","Medium"
"La réactivation du HSV1 est mise en évidence par :","Sérologie sanguine","Histopathologie post-mortem","PCR sur LCR","Culture virale","2","Le document indique : Lésions nerveuses d’origine virale en histopathologie (post-mortem).","Medium"
