"term","definition","contextual_explanation"
"cancer du rectum","Tumeur maligne développée sur la paroi rectale.","Située entre le canal anal et la jonction recto‑sigmoïdienne, adénocarcinome Lieberkhünien +++."
"adénocarcinome Lieberkhünien","Carcinome développé à partir des cryptes de Lieberkühn.","Type histologique prédominant du cancer du rectum."
"jonction recto‑sigmoïdienne","Limite entre le côlon sigmoïde et le rectum.","Bord supérieure du rectum."
"canal anal","Segment terminal du tube digestif après le rectum.","Limite inférieure du rectum."
"mésorectum","Graisse et tissus cellulo‑lymphatiques entourant le rectum.","S’arrête à 2‑3 cm de la jonction recto‑anale."
"extension par contiguïté","Propagation tumorale de proche en proche.","Se fait verticalement et horizontalement."
"chaîne mésentérique inférieure","Voie lymphatique principale du côlon gauche et du haut rectum.","Impliquée dans l’extension lymphatique des cancers du haut rectum."
"chaîne hémorroïdale supérieure","Voie lymphatique du haut rectum.","Extension lymphatique."
"chaîne hémorroïdale moyenne","Voie lymphatique du bas rectum.","Extension lymphatique."
"rectorragie","Émission de sang rouge par l’anus.","Signe d’appel principal (75% des cas)."
"syndrome rectal","Ensemble de signes : épreinte, ténesme, faux besoins.","Associé aux évacuations anormales (selles muco‑purulentes, muco‑sanguinolentes, fausses diarrhées)."
"épreinte","Sensation de besoin impérieux et douloureux d’aller à la selle.","Signe de rectite."
"ténesme","Effort douloureux et inefficace pour déféquer.","Signe de rectite."
"faux besoins","Sensation de besoin de déféquer sans production de selles.","Signe de rectite."
"toucher rectal","Examen digital du rectum.","Permet diagnostic et pronostic : recherche sang, mobilité, localisation antérieure (mauvais pronostic) ou postérieure, distance au sphincter, tonicité."
"rectoscopie","Endoscopie du rectum.","Permet biopsies et examen histologique."
"ampoule rectale","Partie distale dilatée du rectum.","Siège de 75% des cancers."
"forme bourgeonnante ou végétante","Aspect macroscopique en relief.","Type de cancer."
"forme ulcérée","Aspect creusant un ulcère.","Type."
"forme ulcéro‑végétante","Forme mixte.","Type."
"forme sténosante","Forme rétrécissant la lumière rectale.","Fréquente."
"écho‑endoscopie rectale","Endoscopie avec sonde d’échographie.","Évalue le degré d’infiltration pariétale et l’extension ganglionnaire ; pour les tumeurs T1, précise le degré d’infiltration de la sous‑muqueuse (sm1, sm2, sm3)."
"IRM pelvienne","Imagerie par résonance magnétique du pelvis.","Indispensable pour les tumeurs T3/T4 ; étudie l’infiltration du mésorectum et la marge latérale avec le fascia recti."
"fascia recti","Limite externe du mésorectum.","Estime la marge latérale de la tumeur."
"rectoscopie au tube rigide","Endoscopie rectale avec un tube non flexible.","Pour tumeurs non palpables au TR, mesure la distance pôle inférieur‑sphincter."
"prolapsus du rectum","Descente de la paroi rectale à travers l’anus.","Diagnostic différentiel (++++)."
"RCUH","Rectocolite hémorragique (maladie inflammatoire chronique).","Diagnostic différentiel."
"maladie de Crohn","Maladie inflammatoire chronique digestive.","Diagnostic différentiel."
"TNM","Classification Tumeur, Node, Métastase.","Utilisée pour le cancer du rectum."
"Tis","Carcinome in situ, limité à l’épithélium.","Stade pré‑invasif."
"T1","Envahissement de la sous‑muqueuse.","Stade précoce, éligible à une exérèse locale."
"T2","Envahissement de la musculeuse.","Stade."
"T3","Envahissement de la séreuse.","Stade."
"T4","Envahissement de la cavité péritonéale ou des organes de voisinage.","Stade avancé."
"N1","1 à 3 ganglions proximaux envahis.","Extension ganglionnaire."
"N2","4 ganglions ou plus envahis.","Extension ganglionnaire."
"N3","Ganglions centraux (tronc vasculaire) envahis.","Extension ganglionnaire avancée."
"M1","Présence de métastase(s) à distance.","Stade IV."
"exérèse tumorale transanale","Ablation de la tumeur par voie anale.","Pour tumeur T1."
"exérèse endoscopique","Résection par endoscopie.","Alternative pour T1."
"colo‑proctectomie","Résection antérieure du rectum avec ablation d’une partie du côlon.","Chirurgie curative pour haut rectum, avec anastomose colo‑rectale."
"résection antérieure","Synonyme de colo‑proctectomie.","Pour haut rectum."
"proctectomie","Ablation totale du rectum.","Pour moyen et bas rectum, avec anastomose colo‑rectale ou colo‑anale."
"anastomose colo‑rectale","Connexion entre le côlon et le rectum restant.","Après proctectomie pour 1/3 moyen."
"anastomose colo‑anale","Connexion entre le côlon et le canal anal.","Après proctectomie pour 1/3 inférieur."
"iléostomie de protection","Abouchement de l’iléon à la peau pour dériver les selles temporairement.","Protège l’anastomose basse."
"amputation abdomino‑périnéale","Ablation du rectum, de l’anus et du sphincter.","Pour tumeur à moins de 1 cm du sphincter ; colostomie définitive."
"colostomie définitive","Abouchement du côlon à la peau, permanent.","Après amputation abdomino‑périnéale."
"radiothérapie préopératoire","Irradiation avant la chirurgie.","Dose de 45 Gray, 6 semaines avant, pour tumeurs du 1/3 moyen/inférieur à plus de 1 cm du sphincter."
"chimiothérapie adjuvante","Traitement après chirurgie pour réduire le risque de récidive.","Indiquée si N+, emboles, ou résection R1."
"endoprothèse colorectale","Tube mis en place par endoscopie pour dilater une sténose.","Traitement palliatif."
"fistule anastomotique","Communication anormale au niveau de l’anastomose digestive.","Complication post‑opératoire."
"sténose anastomotique","Rétrécissement de l’anastomose.","Complication."
"incontinence anale","Perte du contrôle des selles.","Survient dans 10% des cas après chirurgie."
"troubles génito‑urinaires","Dysfonctions urinaires ou sexuelles.","Complication post‑opératoire."
"survie globale à 5 ans","Pourcentage de patients vivants 5 ans après diagnostic.","50% pour l’ensemble du cancer du rectum."
"dépistage","Recherche systématique chez les sujets à risque.","Identique à celui du cancer du colon (cf document précédent)."
