question,answer,explanation
"question","answer","explanation","difficulty"
"Quelle est la définition de la pancréatite aiguë ?","Inflammation aiguë du pancréas allant d'un simple œdème à une nécrose hémorragique, due à une autodestruction par activation anormale des enzymes pancréatiques.","Document.","Easy"
"Quels sont les deux principaux mécanismes de la physiopathologie ?","Présence simultanée de trypsinogène et de cathepsine B dans les cellules acinaires, entraînant une activation précoce anormale du trypsinogène en trypsine, puis autodigestion.","Document.","Medium"
"Quelles sont les deux principales étiologies de la pancréatite aiguë ?","Alcoolisme et lithiase biliaire.","Document.","Easy"
"Quels sont les trois types de lésions anatomopathologiques ?","Nécrose pancréatique, pseudo-kyste pancréatique, abcès pancréatique.","Document.","Easy"
"Quelle est la différence entre pancréatite œdémateuse et nécrotico-hémorragique ?","Œdémateuse : pas de nécrose, extravasation séreuse. Nécrotico-hémorragique : nécrose du parenchyme avec hémorragie in situ.","Document.","Medium"
"Quels sont les trois éléments de la triade de Dieulafoy ?","Homme de la trentaine, bon vivant/gros/gros mangeur, après un repas copieux ou une prise d'alcool.","Document.","Easy"
"Quelles sont les caractéristiques de la douleur pancréatique ?","Épigastrique, transfixiante, irradie partout, type broiement/coup de poignard, très intense, rebelle aux calmants, position antalgique en chien de fusil.","Document.","Medium"
"Quels sont les trois signes physiques abdominaux de la pancréatite aiguë ?","Légère défense épigastrique, météorisme abdominal (iléus réflexe), signe de Mayo-Robson (douleur à l'angle costo-vertébral gauche), signe de Mallet-Guy.","Document.","Medium"
"Quels sont les trois examens biologiques clés ?","Amylasémie (>3N), lipasémie (>3N), amylasurie (tardive et persistante).","Document.","Easy"
"Quels sont les signes radiologiques à l'ASP ?","Distension gazeuse duodénale (anse sentinelle), opacité diffuse de la partie haute de l'abdomen, calculs biliaires, calcifications pancréatiques.","Document.","Medium"
"Quels sont les signes échographiques de pancréatite aiguë ?","Pancréas augmenté de volume, hypoéchogène à contours flous, coulées de nécrose, recherche de calculs biliaires, épanchement pleural gauche.","Document.","Medium"
"Quels sont les avantages de la TDM abdominale ?","Valeur diagnostique et pronostique : visualise le parenchyme hétérogène, l'extension à la graisse, les coulées, les collections, et permet le score de Balthazar.","Document.","Medium"
"Quels sont les grades du score de Balthazar pour l'inflammation ?","Grade A (0 pt) : parenchyme normal ; B (1) : augmentation volume ; C (2) : infiltration graisse ; D (3) : coulée de nécrose ; E (4) : plusieurs coulées avec bulles.","Document.","Medium"
"Quels sont les points de nécrose dans le score de Balthazar ?","0 pt : pas de nécrose ; 2 pts : nécrose <30% ; 4 pts : 30-50% ; 6 pts : >50%.","Document.","Medium"
"Quelle est l'interprétation de l'index de Balthazar ?","<3 : mortalité 3% ; 4-6 : mortalité 6% ; 7-10 : mortalité 17%.","Document.","Medium"
"Quels sont les critères de Ranson à l'admission (8 critères) ?","Âge >55 ans, leucocytes >16 000, LDH >1,5N, ASAT >6N, glycémie >10 mmol/l, calcémie <2 mmol/l (en fait 6 ?) Le document liste 7 critères à l'admission : âge, leucocytes, LDH, ASAT, glycémie, calcémie. Vérifier : il y a aussi d'autres ? Le document donne : Admission : Age>55, Leucocytes>16.000, LDH>1,5N, ASAT>6N, Glycémie>10mmol/l, Calcémie<2mmol/l. Donc 6 critères.","Medium","Document : 'Admission : Age> 55 ans, Leucocytes > 16.000, LDH > 1,5N, ASAT > 6N, Glycémie > 10mmol/l, Calcémie < 2mmol/l' (6 critères). Puis à 48h : Hématocrite baisse 10%, Urée >1,8mmol, Séquestration >6L, PaO2<60mmHg, Bicarbonate baisse à 4mEq/L. Total 11 critères.","Medium"
"Quels sont les critères de Ranson à 48 heures (5 critères) ?","Baisse hématocrite 10%, urée >1,8 mmol/l, séquestration liquide >6L, PaO2 <60 mmHg, bicarbonate baisse à 4 mEq/L.","Document.","Medium"
"Quel est le seuil de CRP évoquant une pancréatite grave ou une complication ?","CRP > 150 mg/l.","Document.","Easy"
"Quelles sont les quatre complications générales de la pancréatite aiguë ?","Respiratoires (épanchement, SDRA), circulatoires (choc), encéphalopathie métabolique, rénales (IRA).","Document.","Medium"
"Quelles sont les trois complications locales ?","Nécrose (non rehaussée), infection de la nécrose (80% des décès), pseudo-kyste, abcès pancréatique.","Document.","Medium"
"Qu'est-ce qu'un pseudo-kyste pancréatique ?","Collection liquidienne organisée en intra ou extra-pancréatique, contenant suc pancréatique et nécrose liquéfiée, paroi fibreuse sans épithélium, apparaissant dans les mois.","Document.","Medium"
"Qu'est-ce qu'un abcès pancréatique ?","Collection liquidienne circonscrite contenant du pus et de la nécrose, secondaire à une surinfection de pseudo-kyste ou nécrose.","Document.","Medium"
"Comment confirme-t-on l'infection d'une nécrose pancréatique ?","Ponction sous TDM avec étude microbiologique.","Document.","Easy"
"Quels sont les diagnostics différentiels médicaux de la pancréatite aiguë ?","Maladies ulcéreuses, lithiase biliaire, infarctus du myocarde.","Document.","Medium"
"Quels sont les diagnostics différentiels chirurgicaux ?","Perforation d'organe creux avec péritonite, occlusion intestinale aiguë.","Document.","Medium"
"Quelle est l'étiologie métabolique de pancréatite aiguë ?","Hypercalcémie, hypertriglycéridémie >10 g/l.","Document.","Medium"
"Quelle est l'étiologie post-opératoire ?","Chirurgie des voies biliaires, de la papille, du sphincter d'Oddi.","Document.","Medium"
"Quelles sont les étiologies obstructives bénignes ?","Pancréas divisum (fusion incomplète).","Document.","Medium"
"Quelles sont les étiologies obstructives malignes ?","Ampullome de Vater, tumeur intra-canalaire papillaire et mucineuse, cancer de la tête du pancréas.","Document.","Medium"
"Quel est le pronostic d'une pancréatite aiguë avec index de Balthazar à 8 ?","Mortalité 17% (index 7-10).","Document.","Difficult"
"Un patient a une CRP à 200 à J4, que faut-il suspecter ?","Infection de la nécrose ou coulée de nécrose.","Document.","Medium"
"Un patient a une baisse de l'hématocrite de 12% à 48h, est-ce un critère de Ranson ?","Oui, baisse >10% est un critère.","Document.","Medium"
"Un patient a une douleur épigastrique, une contracture généralisée et un pneumopéritoine à l'ASP. Quel diagnostic différentiel ?","Perforation d'organe creux.","Document.","Easy"
"Un patient alcoolique chronique a une douleur épigastrique, une lipasémie à 4N, un scanner montrant une nécrose de 40%. Quel score Balthazar ?","Inflammation : il n'y a pas de grade précis, mais nécrose 30-50% donne 4 points. L'inflammation peut être grade D ou E.","Difficult"
"Quel est le traitement de la nécrose infectée ?","Antibiothérapie et drainage (percutané ou chirurgical).","Non détaillé.","Difficult"
"Quel est le principal facteur pronostique précoce ?","La CRP à 48h >150 et le score de Ranson.","Document.","Medium"
"Quelle est la complication la plus mortelle ?","L'infection de la nécrose pancréatique (80% des décès).","Document.","Easy"
"Un patient a une amylasémie normale mais une lipasémie à 5N. Est-ce que cela élimine une pancréatite ?","Non, la lipasémie suffit pour le diagnostic.","Document.","Medium"
"Un patient a un scanner avec une nécrose de 60% et des bulles de gaz dans la nécrose. Quel grade Balthazar ?","Grade E (plusieurs coulées avec bulles) et nécrose >50% (6 pts) → index élevé.","Document.","Difficult"
"Quel est le mécanisme de la douleur dans la pancréatite aiguë ?","Inflammation, distension de la capsule pancréatique, irritation du plexus coeliaque, et éventuellement nécrose.","Document non détaillé.","Difficult"
"Quel est le rôle de la cathepsine B dans la physiopathologie ?","Active le trypsinogène en trypsine de manière anormale dans les cellules acinaires.","Document.","Medium"
"Pourquoi l'amylasurie est-elle plus tardive ?","Car l'amylase est éliminée par les urines après passage sanguin, donc sa présence urinaire persiste plus longtemps.","Document.","Medium"
"Quel est le signe radiologique de l'anse sentinelle ?","Anse duodénale distendue par un iléus réflexe localisé.","Document.","Medium"
"Quel est le signe de la disparition de la matité pré-hépatique ?","Évoque un pneumopéritoine, donc perforation d'organe creux.","Document.","Medium"
"Quelle est la différence entre pseudo-kyste et abcès ?","Le pseudo-kyste est stérile, l'abcès est infecté (pus).","Document.","Medium"
