"question","answer","explanation","difficulty"
"L'eczéma de contact allergique est une réaction d'hypersensibilité immédiate.","False","Il s'agit d'une 'hypersensibilité retardée' médiée par les lymphocytes T.","Easy"
"La phase de sensibilisation dure de 10 à 15 jours et est asymptomatique.","True","'Phase de sensibilisation : 10 – 15 jours, asymptomatique'.","Easy"
"Le prurit apparaît immédiatement après le contact avec l'allergène chez un sujet sensibilisé.","False","Le prurit apparaît '24 – 48 heures après contacte avec l’allergène potentiel'.","Easy"
"Les cellules de Langerhans captent l'allergène dans l'épiderme.","True","'Captation par les cellules de Langerhans (cellules dendritiques de l’épiderme)'.","Easy"
"L'eczéma de contact allergique guérit toujours avec cicatrice.","False","'guérison sans cicatrice' après la phase desquamative.","Easy"
"Le patch-test est le diagnostic de certitude de l'allergène en cause.","True","'Teste épicutanés ou patch-test : Diagnostic de certitude de l’allergène en cause'.","Easy"
"La dermite d'irritation a des bords émiettés comme l'eczéma de contact.","False","La dermite d'irritation a des 'bords nette' tandis que l'eczéma a 'bords émiettés'.","Easy"
"Le nickel est l'un des allergènes les plus fréquents.","True","'Allergène les plus franc : métaux, en particulier le nickel'.","Easy"
"La désensibilisation est possible dans l'eczéma de contact allergique.","False","'Pas de possibilité de désensibilisation dans l’eczéma de contact'.","Easy"
"Les dermocorticoïdes peuvent aggraver un eczéma de contact.","True","'Dermocorticoïdes → aggravation de l’eczéma'.","Easy"
"L'érythrodermie est une complication possible de l'eczéma de contact.","True","'Erythrodermie : Généralisation des lésions sous forme d’érythème disséminé'.","Easy"
"La première lecture des patch-tests se fait immédiatement après retrait.","False","'attendre 15 min après avoir décollée les patch-tests' pour la lecture.","Easy"
"L'eczéma de contact des paupières oriente vers une allergie aux cosmétiques ou vernis à ongles.","True","'Eczéma des paupières, allergie aux cosmétiques, vernis à ongles'.","Easy"
"Les lymphocytes T CD4+ sécrètent des cytokines Th1 qui recrutent des polynucléaires neutrophiles.","True","'LTCD4 : cytokines type Th1 ... recrutement de PNN' (polynucléaires neutrophiles).","Medium"
"La spongiose est une nécrose épidermique.","False","La spongiose est un 'œdème dissociant les kératinocytes, formation de vésicule intra-épidermique', pas une nécrose.","Medium"
"Les patch-tests doivent être réalisés pendant la poussée d'eczéma pour être fiables.","False","'A faire à distance de la poussé d’eczéma'.","Medium"
"L'eczéma de contact peut déborder la zone de contact avec l'allergène.","True","Tableau : 'Peut déborder la zone de contact' pour l'eczéma de contact.","Medium"
"La dermite d'irritation touche quelques sujets exposés tandis que l'eczéma de contact touche la majorité.","False","C'est l'inverse : eczéma atteint 'quelque sujet', dermite atteint 'la majorité'.","Medium"
"Le zona se caractérise par des vésicules hémorragiques ou croûteuses en topographie hémifaciale.","True","'Zona : douleurs, vésicules hémorragiques ou croûteuses, topographe hémifaciale'.","Medium"
"L'impétiginisation se manifeste par des croûtes jaunâtres, adénopathie et fièvre.","True","'Impétiginsation des lésions = croûtes jaunâtres, parfois adénopathie, fièvre'.","Medium"
"Les colorants textiles sont une cause d'eczéma de contact des pieds.","False","Les pieds sont plutôt liés au 'Cuir, colle de chaussures, caoutchouc' ; les colorants textiles touchent 'tronc et plis'.","Medium"
"Le kétoprofène topique peut induire une photo-allergie.","True","'Médicament par voie topique : kétoprofène' dans la section photo allergie.","Medium"
"La dysidrose est une forme d'eczéma de contact à différencier de la gale.","True","'Dysidrose : vésicules très prurigineuse des faces latérales des doigts (différencier avec la gale)'.","Medium"
"L'eczéma de contact chez l'enfant est identique à la dermatite atopique.","False","'à ne pas confondre avec la dermatite atopique, peuvent coexister'.","Medium"
"Les tests épicutanés peuvent donner des faux positifs par réaction d'irritation.","True","'Faux-positifs : réaction d’irritation'.","Medium"
"Le reclassement professionnel est souvent nécessaire dans les eczémas chroniques des mains.","True","'Handicap +++ ... reclassement professionnel'.","Medium"
"Les sels de chrome sont des allergènes chez les coiffeurs.","False","Les sels de chrome sont dans le ciment (bâtiment), pas chez les coiffeurs.","Medium"
"La phase de déclenchement dure 10 à 15 jours.","False","La phase de sensibilisation dure 10-15 jours, la phase de déclenchement dure 24-48 heures.","Medium"
"Les cytokines Th2 (IL10) ont un effet pro-inflammatoire.","False","'type Th2 (= IL10) : régulation négative' (anti-inflammatoire).","Difficult"
"Un patch-test noté '+++' correspond à une réaction violente avec bulle.","True","'+++ : violement positif, vésicule coalescente aboutissant à une bulle'.","Medium"
"L'œdème de Quincke sans atteinte de la glotte est une urgence vitale.","False","L'urgence vitale est 'atteinte de glotte' spécifiquement.","Difficult"
"La phototoxicité est une réaction immunologique aux UV.","False","La phototoxicité est une 'brûlure excessive' non immunologique, contrairement à la photo-allergie.","Difficult"
"Les lactones sesquiterpéniques sont des allergènes chez les horticulteurs.","True","'Horticulteur, jardinier, agriculteur : lactones ses quiterpénique (ex : chrysanthèmes)'.","Medium"
"L'eczéma nummulaire se présente sous forme de vésicules dures enchâssées.","False","L'eczéma nummulaire est 'lésion érythémato-vésiculeuse en placards arrondie', pas des vésicules dures.","Medium"
"Les résines époxy sont des allergènes dans les métiers du bâtiment.","True","'Métiers du batiment : ... résines époxy (colle, vernis, peinture)'.","Medium"
"La biopsie cutanée est l'examen de première intention pour diagnostiquer l'allergène.","False","La biopsie n'est que 'si doute sur l’eczéma' ; le diagnostic de certitude est le patch-test.","Medium"
