"term","definition","contextual_explanation"
"Eczéma de contact allergique","Phénomène inflammatoire cutané dû à une sensibilisation à des substances en contact avec la peau, avec réaction immunitaire lymphocytaire T d’hypersensibilité retardée.","Dans le document, il est distingué de l’eczéma de contact irritatif. Il récidive à chaque contact avec l’allergène."
"Dermite de contact","Terme générique incluant les eczémas de contact allergique et irritatif.","Utilisé comme synonyme d’eczéma de contact dans le document."
"Haptène","Petite molécule qui, associée à un peptide, forme un allergène complet.","Dans la phase de sensibilisation, le couple haptène + peptide = allergène."
"Cellules de Langerhans","Cellules dendritiques de l’épiderme qui captent l’allergène.","Elles migrent vers le derme puis le ganglion lymphatique pour présenter l’antigène."
"CMH / HLA","Complexe majeur d’histocompatibilité (HLA chez l’homme).","Le complexe allergène + HLA classe 1 est présenté aux LT CD8+ ; allergène + HLA classe 2 aux LT CD4+."
"LT CD8+","Lymphocytes T cytotoxiques.","Dans la phase de déclenchement, ils produisent des cytokines Tc1 (IL2, IFNγ, lymphotoxine, TNF) induisant l’apoptose des kératinocytes."
"LT CD4+","Lymphocytes T auxiliaires.","Produisent des cytokines Th1 (IL2, IFNγ, TNF) et Th2 (IL10) avec rôle de régulation négative."
"Spongiose","Œdème dissociant les kératinocytes, formant des vésicules intra-épidermiques.","Signe histologique caractéristique de l’eczéma."
"Exocytose","Infiltrat de cellules mononuclées entre les kératinocytes.","Signe histologique de l’eczéma, associé à la spongiose."
"Patch-tests","Tests épicutanés appliqués sur le dos sous occlusion pendant 48 heures pour identifier l’allergène.","Diagnostic de certitude de l’allergène en cause, à faire à distance de la poussée."
"Potipotika","Terme décrivant des lésions en placards à contours émiettés.","Utilisé pour l’aspect typique des lésions d’eczéma de contact allergique."
"Eczéma nummulaire","Lésions érythémato-vésiculeuses en placards arrondis de quelques centimètres de diamètre.","Forme symptomatique de l’eczéma de contact."
"Dysidrose","Vésicules très prurigineuses des faces latérales des doigts.","À différencier de la gale ; l’eczéma de contact peut en être une cause ou un diagnostic différentiel."
"Lichénification","Épaississement quadrillé de la peau avec hyperpigmentation.","Forme évolutive chronique de l’eczéma de contact."
"Photosensibilité","Induction d’un eczéma de contact uniquement après irradiation par les UV.","Forme étiologique : prurit, pas de fièvre, zones photo-exposées."
"Dermite d’irritation","Réaction cutanée non immunologique secondaire à des agressions physiques ou chimiques directes.","Diagnostic différentiel majeur de l’eczéma de contact allergique ; souvent intriquée avec lui."
"Érysipèle","Infection cutanée à streptocoque, avec placard inflammatoire fébrile.","Diagnostic différentiel d’un œdème du visage, peut être recouvert de vésicules, avec frissons et hyperleucocytose."
"Œdème de Quincke","Œdème pâle, indolore, sans prurit ni fièvre, souvent associé à de l’urticaire.","Diagnostic différentiel de l’œdème du visage ; urgence vitale en cas d’atteinte de la glotte."
"Zona","Viroses à varicelle-zona, avec douleurs et vésicules hémorragiques ou croûteuses.","Diagnostic différentiel de l’œdème du visage, topographie hémifaciale."
"Phototoxicité","Brûlure excessive après exposition solaire due à des métabolites proactifs dans la peau (ex : quinolones).","À distinguer de la photo-allergie."
"Nickel","Métal, allergène fréquent.","Responsable d’eczéma du lobe des oreilles, poignet, ombilic ; bijoux fantaisie, montres, boucles de ceinture."
"Sels de chrome","Allergènes professionnels présents dans le ciment.","Métiers du bâtiment."
"Cobalt","Allergène dans les peintures, émaux.","Métiers du bâtiment."
"Résines époxy","Allergènes dans les colles, vernis, peintures.","Métiers du bâtiment, menuiserie."
"Formaldéhyde","Allergène présent dans les colles, textiles, vernis à ongles.","Professionnels du bâtiment, cosmétiques."
"Térébenthine","Allergène en menuiserie, peinture.","Métiers du bâtiment."
"Colophane","Allergène des gants, pneus, sparadrap.","Métiers du bâtiment, sparadrap."
"Paraphénylène diamine","Allergène des teintures capillaires.","Coiffeurs."
"Thioglycolate","Allergène des permanentes.","Coiffeurs."
"Latex","Caoutchouc naturel, allergène des gants.","Professionnels de santé."
"Thiurams","Caoutchouc synthétique, allergène des gants.","Professionnels de santé."
"Acrylates","Allergènes des résines composites.","Prothésistes dentaires."
"Lactones sesquiterpéniques","Allergènes des chrysanthèmes, primevères.","Horticulteurs, jardiniers."
"Néomycine","Antibiotique topique allergisant.","Médicament topique en cause."
"Baume du Pérou","Substance naturelle allergisante présente dans certains topiques.","Médicament topique."
"Kétoprofène","Anti-inflammatoire topique responsable de photo-allergie.","Médicament topique photo-allergène."
"Impétiginisation","Surinfection des lésions eczématiformes avec croûtes jaunâtres, adénopathie, fièvre.","Complication infectieuse de l’eczéma de contact."
"Erythrodermie","Généralisation des lésions sous forme d’érythème disséminé prurigineux squameux ou vésiculeux.","Complication grave."
"Dermocorticoïdes","Corticoïdes à usage dermatologique.","Traitement d’activité modérée à forte pendant 1 à 2 semaines ; peuvent être eux-mêmes allergènes."
