"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quel est l'agent responsable des infections cutanéomuqueuses décrit dans le document ?","Candida tropicalis","Candida albicans","Candida glabrata","Candida krusei","2","'Levure du genre candida : Candida Albicans'.","Easy"
"Quelle est la localisation préférentielle de l'intertrigo candidosique des grands plis ?","Plis axillaires","Plis inguinaux et interfessier","Plis sous-mammaires","Plis rétro-auriculaires","2","'Très fréquent : plis inguinaux inter fessier +++'","Easy"
"Quel est l'aspect clinique caractéristique de l'intertrigo candidosique ?","Lésion rouge vernissée et suintante, prurit, avec petites pustules en périphérie","Lésion sèche squameuse sans prurit","Vésicules claires sur fond érythémateux","Nodules sous-cutanés","1","'lésion roue vernissée et suintante, prurit+++, petites pustule en périphérie'","Easy"
"Quel est l'espace interdigital le plus souvent touché par l'intertrigo candidosique plantaire ?","1er espace","2ème espace","3ème espace","4ème espace","4","'Interdigitaux plantaire (4ème espace +++)'","Easy"
"Quelle coloration des ongles est typique d'un onyxis à Candida ?","Jaune","Blanc","Brun verdâtre","Noir","3","'Onyxis : Coloration brun verdâtre du bord proximal ou des bords latéraux'","Easy"
"Quel est l'aspect des leucorrhées dans la vulvo-vaginite candidosique ?","Grisâtre et fluide","Verdâtre avec odeur de poisson","Blanchâtre caillebottée","Jaune purulente","3","'leucorrhée abondante, et blanchâtre caillebottée'","Easy"
"Quel est le milieu de culture utilisé pour la mycologie des Candida ?","Milieu de Lowenstein","Milieu de Sabouraud","Gélose au sang","Milieu de MacConkey","2","'Culture sur milieu de Sabouraud : colonie blanchâtre en 24 - 48 heures'","Easy"
"Quel facteur local favorise les candidoses ?","pH alcalin","pH acide","Peau sèche","Température froide","2","'Facteur favorisant : macération, pH acide, diabète' (pH acide est cité)","Easy"
"Quel est l'aspect des dépôts dans le muguet (stomatite candidosique) ?","Dépôts noirâtres","Dépôts blanchâtres crémeux","Dépôts jaunâtres","Dépôts rougeâtres","2","'dépôts blanchâtre crémeux'","Easy"
"Quelle est la forme clinique caractérisée par un bourrelet péri-unguéal douloureux avec pus ?","Onyxis","Péri-onyxis","Intertrigo","Muguet","2","'Péri-onyxis : Bourrelet péri-unguéale douloureux et inflammatoire, pus à la pression'","Easy"
"Quel est le traitement des candidoses cutanées localisées selon le document ?","Antifongiques par voie générale seuls","Antifongiques topiques","Chirurgie","Corticothérapie locale","2","'Candidose cutanée : antifongique topiques'","Easy"
"Quelle est la durée du traitement antifongique général pour les atteintes unguéales ?","1-2 semaines","1-2 mois","3-8 mois","1 an","3","'Atteintes unguéales : antifongique par voie générale (3-8 mois)'","Easy"
"Dans l'intertrigo candidosique, comment débute la lésion ?","Par une plaque squameuse","Par des pustules au fond du plis sur base érythémateuse","Par une vésicule unique","Par un nodule","2","'Début au fond des plis : pustules, sur base érythémateuse'","Easy"
"Quel est le principal diagnostic différentiel de l'atteinte des plis candidosique ?","Dermatophyties","Psoriasis vulgaire","Lichen plan","Gale","1","'Diagnostic différentiel : Atteintes de plis : Dermatophyties'","Easy"
"Quel est l'aspect de la collerette dans l'intertrigo candidosique ?","Collerette épaisse","Fine collerette desquamative","Collerette hémorragique","Absence de collerette","2","'limitée par une fine collerette desquamative'","Easy"
"Quel facteur général favorise la candidose ?","Sport intense","Diabète","Régime végétarien","Voyage tropical","2","'Facteur favorisant ... Généraux : ... diabète'","Easy"
"Quel est l'aspect de la muqueuse dans la vulvo-vaginite candidosique ?","Atrophique","Erythémato-œdémateuse","Ulcérée","Purpurique","2","'muqueuse érythémato-œdémateuse'","Easy"
"Quel examen direct permet de visualiser les levures ?","Mise en évidence de levures bourgeonnantes et pseudo-filaments","Présence de spores uniquement","Filaments mycéliens septés","Amas cocciques","1","'Examen direct : levures bourgeonnantes, pseudo-filament'","Easy"
"Quelle est la taille de Candida albicans ?","2 – 6 µm / 3 à 9µm","10 – 15 µm","1 – 2 µm","20 – 30 µm","1","'Candida albicans : levure ovale, 2 – 6 µm /3 à 9µm'","Easy"
"Quelle est la voie de contamination la plus fréquente de Candida albicans ?","Exogène uniquement","Endogène","Vectorielle","Aérienne","2","'Contamination endogène et / ou exogène' (endogène d'abord)","Medium"
"Un patient présente un intertrigo des 4ème espaces interdigitaux des pieds, avec érosion blanchâtre et prurit. Quel est le diagnostic ?","Intertrigo candidosique des petits plis","Dermatophytie","Psoriasis inversé","Erythrasma","1","'Intertrigo candisosique des petits plis : Interdigitaux plantaire (4ème espace +++)'","Easy"
"Quel est le diagnostic différentiel du muguet cité dans le document ?","Lichen plan, leucoplasie orale chevelue, langue géographique","Carcinome épidermoïde","Herpès","Aphtose","1","'Muguet : Lichen plan, Leucoplasie orale chevelue, Lange géographique'","Medium"
"Quelle est la particularité de l'atteinte œsophagienne ou trachéo-bronchique à Candida ?","Elle survient chez les sujets immunodéprimés","Elle est asymptomatique","Elle guérit spontanément","Elle est due à Candida tropicalis","1","'Atteinte de l’œsophage et : ou trachéo-brochique : immunodépression'","Medium"
"Quel est l'aspect de l'anite candidosique ?","Prurit, brûlure, érythème, fissures, intertrigo interfessier","Vésicules groupées","Nodules douloureux","Ulcérations profondes","1","'Anite candidosique : Prurit, brulure, érythème, fissures, intertrigo inter fessier'","Medium"
"Quels sont les trois diagnostics différentiels des atteintes génitales ?","Vaginose bactérienne, trichomoniase, lichen plan","Herpès, syphilis, chancre mou","Molluscum, condylomes, gale","Candidose, dermatophyte, psoriasis","1","'Atteintes génitales : Vaginose bactérienne, Trichomoniase (leucorrhée verdâtre avec odeur de poisson pourrie), Lichen plan'","Medium"
"Quel est le but du traitement selon le document ?","Éradiquer Candida albicans et prévenir les récidives","Réduire l'inflammation","Diminuer le prurit","Éviter la surinfection","1","'But : Eradique le cadi ablbians de l’organisme, Prévenir les récidives'","Medium"
"Quel antifongique est cité comme exemple par voie générale ?","Fluconazole, nystatine, terbinafine","Amphotéricine B","Griséofulvine","Clotrimazole","1","'Antifongique topique et par voie générale (fluconazole, nystatne, terbinafine)'","Medium"
"Quel est le traitement des intertrigos à localisations multiples ?","Antifongiques topiques seuls","Antifongiques topiques et généraux","Chirurgie","Antibiotiques","2","'Intertrigos à localisation multiples : antifongique topiques et généraux'","Medium"
"Quel facteur local favorisant est spécifiquement lié à la xérostomie ?","pH acide","Milieu sucré","Macération","Sécheresse buccale favorisant Candida","4","'Facteur favorisant locaux : pH acide, milieu sucré, humidité, macération, xérostomie, corticothérapie locale' (xérostomie = sécheresse buccale)","Medium"
