"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quel est le point de départ habituel des infections conduisant à un abcès ou une fistule péri-anale ?","Les glandes de Hermann Desfons au niveau des cryptes","Les follicules pileux périanaux","Les glandes sébacées de la marge anale","Les hémorroïdes internes","1","Le document indique : 'Infection aiguë ou chronique de l’anus dont le point de départ est à l’intérieur du canal anal sur la ligne des cryptes au niveau des glandes de HERMANN DESFONS'","Easy"
"Quelle est la définition de l’abcès péri-anal selon le document ?","Infection de l’anus avec collection abcédée extra-sphinctérienne","Infection de l’anus faite de collection abcédée intra-sphinctérienne","Infection chronique de l’anus sans collection","Fistule se drainant spontanément","2","Le document : 'Abcès péri-anal : infection de l’anus faite de collection abcédée intra-sphinctérienne'","Easy"
"La fistule péri-anale est définie comme :","Une infection aiguë sans ouverture cutanée","Le mode évolutif ou la complication évolutive de l’abcès qui s’ouvre vers la peau ou d’autres organes","Une malformation congénitale du canal anal","Une complication exclusivement post-traumatique","2","Le document : 'Fistule péri-anale : c’est le mode évolutif sinon la complication évolutive de l’abcès qui s’ouvre vers la peau ou vers d’autres organes avoisinants'","Easy"
"Selon le document, quel type d’abcès ne fait pas partie des abcès ou fistules péri-anales spontanés ?","Abcès sous-cutané","Abcès de la fistule recto-vaginale","Abcès inter-sphinctérien","Abcès de la fosse ischio-rectale","2","Le document liste parmi les pathologies exclues : 'Abcès de la fistule recto-vaginale'","Easy"
"Quelle est la topographie de l’abcès décrite comme 'abcès en fer à cheval' ?","Abcès sous-muqueux","Abcès de la fosse ischio-rectale","Abcès de l’espace pelvi-rectal supérieur","Abcès inter-sphinctérien","2","Le document : 'Abcès de la fosse ischio-rectale -> abcès en fer à cheval'","Easy"
"Dans la classification d’Arnous Bensaude, la fistule intra-sphinctérienne :","Chemine à l’intérieur du sphincter","Traverse le releveur de l’anus","Passe entre sphincter sous-cutané et superficiel","Chemine entre sphincter interne et externe","1","Le document : 'Fistule intra-sphinctérienne : trajet sous-muqueux, chemine à l’intérieur du sphincter'","Easy"
"Quel est le symptôme fonctionnel (SF) typique de l’abcès péri-anal ?","Écoulement anal rythmé par la défécation","Douleur anale permanente, pulsatile, continue, aggravée par la défécation","Fièvre d’intensité variable","Tuméfaction rose et luisante","2","Le document : 'SF : douleur anale permanente, pulsatile, continue, non rythmée par la défécation mais aggravée par cette défécation'","Easy"
"L’anuscopie dans l’abcès péri-anal montre :","L’orifice externe cutané","L’orifice primaire interne à travers lequel s’écoule du pus","Un trajet fistuleux opacifié","Une béance du canal anal","2","Le document : 'Anuscopie : elle montre l’orifice primaire interne à travers lequel il s’écoule du pus'","Easy"
"Quel examen paraclinique permet d’opacifier le trajet fistuleux ?","L’anuscopie","Le scanner abdominal","La fistulographie","L’échographie endo-anale","3","Le document : 'Examen paraclinique : fistulographie : 1. Opacification du trajet fistuleux'","Easy"
"Quel est le traitement d’urgence de l’abcès péri-anal ?","Antibiothérapie seule","Mise à plat chirurgicale en urgence","Fistulectomie différée","Ponction à l’aiguille","2","Le document : 'L’abcès péri-anal est une urgence chirurgicale mise à plat en urgence'","Easy"
"Que risque-t-on si l’on laisse évoluer un abcès péri-anal sans traitement ?","Une guérison spontanée","Un dégât sphinctérien compromettant le pronostic anal","Une métastase à distance","Une transformation maligne","2","Le document : 'Laissé à lui seul, il entrave le pronostic anal par le dégât sphinctérien qu’il engendre'","Easy"
"Selon le document, quel est le but principal du traitement de l’abcès péri-anal ?","Guérir l’infection rapidement","Préserver le pronostic fonctionnel du sphincter","Éviter une fistulographie","Réduire la douleur","2","Le document : 'Buts : Préserver le pronostic fonctionnel du sphincter nécessaire au contrôle de la défécation'","Medium"
"Quelle est la différence évolutive entre un abcès qui devient fistule et un abcès récidivant ?","La fistule correspond à un trajet qui ne se résorbe pas, l’abcès récidivant à une résorption temporaire suivie d’un réveil","La fistule est toujours plus grave","L’abcès récidivant ne donne jamais de douleur","La fistule ne se produit que chez la femme","1","Le document : 'Le trajet fistuleux ne se résorbe pas, le foyer d’abcès est entretenu -> fistule péri-anale' ; 'Le trajet fistuleux peut se résorber, le foyer d’abcès peut se déterger momentanément [...] -> abcès péri-anal récidivant'","Medium"
"Comment se fait la diffusion du micro-abcès intra-sphinctérien selon sa topographie ?","Uniquement vers la peau","Uniquement vers le rectum","Soit vers la peau par l’orifice externe, soit vers le rectum par l’orifice interne secondaire","Vers la cavité abdominale d’emblée","3","Le document : 'La diffusion de ce micro-abcès se fait selon sa topographie : Soit vers la peau par l’orifice externe ; Soit vers le rectum par l’orifice interne secondaire'","Medium"
"Quel signe à l’inspection est décrit pour l’abcès péri-anal ?","Une ulcération indolore","Une tuméfaction péri-anale rose, luisante à point de se rompre","Un écoulement glaireux","Une rétraction cicatricielle","2","Le document : 'Inspection : Tuméfaction péri-anale , rose, luisante à point de se rompre'","Medium"
"Au toucher anal d’un abcès péri-anal, que trouve-t-on au niveau de la ligne pectinée ?","Une dépression","Une tuméfaction en forme d’amande, siège le plus fréquent","Une béance","Un trajet induré","2","Le document : 'Au niveau de la ligne pectinée : tuméfaction en forme d’amande qui est le siège le plus fréquent de l’abcès'","Medium"
"Quelle complication grave peut survenir en cas d’abcès de l’espace pelvi-rectal ?","Une septicémie foudroyante","Une fistulisation dans la grande cavité abdominale avec péritonite","Une thrombose hémorroïdaire","Une rétention aiguë d’urine","2","Le document : 'Un abcès de l’espace pelvi-rectal peut se fistuliser dans la grande cavité abdominale -> péritonite'","Medium"
"Quel est le traitement chirurgical spécifique d’une fistule trans-sphinctérienne ?","Fistulectomie simple","Section élastique à tension progressive pour résection lente du trajet","Mise à plat en urgence","Drainage seul","2","Le document : 'Dans le cas d’une fistule trans-sphinctérienne, on fait une section élastique à tension progressive en vue d’une résection lente du trajet fistuleux'","Medium"
"Quels sont les trois types d’abcès ou fistules exclus du cadre des infections spontanées de l’anus selon le document ?","Abcès sous-cutané, sous-muqueux et inter-sphinctérien","Abcès prostato-urétraux, fistule recto-vaginale, abcès de l’ostéite pubienne","Abcès de la fosse ischio-rectale, fistule supra-sphinctérienne, abcès pelvi-rectal","Fistule intra-murale, abcès en fer à cheval, fistule trans-sphinctérienne","2","Le document : 'Les pathologies suivantes n’entrent pas dans ce cadre : Les abcès prostato-urétraux, Abcès de la fistule recto-vaginale, Abcès de l’ostéite pubienne'","Difficult"
