"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Qui a réalisé la première greffe de cornée avec succès chez l’homme et en quelle année ?","Von Hippel - 1887","Von Graefe - 1850","Paufique - 1920","Castroviejo - 1930","1","Le document indique : « Greffe de tissu réalisée avec succès chez l’homme (1887 - Von Hippel) ».","Easy"
"Pourquoi la cornée est-elle un site privilégié pour la greffe ?","Parce qu’elle est vascularisée","Parce qu’elle est avasculaire","Parce qu’elle est innervée","Parce qu’elle est épaisse","2","Le document précise : « Cornée : avasculaire, site privilégié pour la greffe ».","Easy"
"Quel est le taux de succès de la greffe de cornée selon le document ?","30-50%","40-60%","60-90%","80-100%","3","Le document indique : « taux de succès à 60 - 90% ».","Easy"
"Quel type de kératoplastie consiste à remplacer une rondelle de cornée pathologique par une rondelle de cornée saine de diamètre identique ?","Kératoplastie lamellaire antérieure profonde","Kératoplastie transfixiante","Kératoplastie endothéliale","Kératoplastie superficielle","2","Le document décrit : « Kératoplastie transfixiante (KT) : prélever par trépanation circulaire une rondelle […] remplacer par une rondelle de diamètre identique ».","Easy"
"Quel type de fil est utilisé pour suturer la greffe de cornée ?","Fil résorbable (Vicryl)","Fil non résorbable (nylon 10.0)","Fil métallique","Fil en soie","2","Le document précise : « fil non résorbable (fil nylon 10.0) ».","Easy"
"Quelle est l’indication de la kératoplastie lamellaire antérieure profonde (KLAP) selon le document ?","Dystrophies bulleuses","Kératocône, séquelles de kératite infectieuse","Atteintes endothéliales pures","Cataracte","2","Le document indique : « Indications : kératocône, séquelles de kératite infectieuse ».","Easy"
"Quelle structure cornéenne greffe-t-on dans la kératoplastie endothéliale (KE) ?","Épithélium et stroma","Membrane de Bowman et stroma","Membrane de Descemet et endothélium","Épithélium uniquement","3","Le document précise : « Kératoplastie endothéliale (KE) : ne greffer que la membrane de Descemet et l’endothélium ».","Easy"
"Quelle est la durée du traitement post-opératoire par corticothérapie locale après greffe de cornée ?","1 mois","3 mois","6 mois","1 an","4","Le document indique : « Traitement post-opératoire : corticothérapie locale pendant 1 an ».","Easy"
"Quelle est la durée de laissée en place des points de suture sur la greffe de cornéee ?","Environ 3 mois","Environ 6 mois","Environ 1 an","Environ 2 ans","3","Le document précise : « Le surjet ou les points sont laissés en place environ 1 an ».","Easy"
"Quelle est la fréquence du kératocône parmi les indications de greffe de cornée ?","5-10%","30-40%","50-60%","70-80%","2","Le document indique dans « Dégénérescences cornéennes (30 - 40%) » incluant le kératocône.","Easy"
