"term","definition","contextual_explanation"
"Hypertension portale (HTP)","Élévation de la pression portale > 15 mmHg, ou élévation de la différence de pression > 5 mmHg entre système cave et système porte, secondaire à un obstacle au niveau du système porte.","Affection grave pouvant se compliquer d’hémorragie digestive, la plus redoutable."
"Bloc intra-hépatique","Obstacle situé à l’intérieur du foie. Type d’HTP le plus fréquent.","Principales causes : cirrhose du foie, bilharziose hépatique, fibrose hépatique congénitale, sclérose hépatorénale, cirrhose biliaire, hyperplasie nodulaire régénérative."
"Bloc sous-hépatique (infra-hépatique, pré-hépatique)","Obstacle situé au niveau de la veine porte, en amont du foie.","Causes : thrombose de la veine porte (principale), invasion néoplasique luminale, malformations congénitales, compressions par cancers (pancréas, estomac), pancréatite chronique, adénopathies."
"Bloc supra-hépatique (post-hépatique)","Obstacle situé au-dessus du foie, sur les veines sus-hépatiques.","Correspond au syndrome de Budd-Chiari, par obstruction des veines sus-hépatiques ou de la veine cave inférieure. Causes : polycytémie (maladie de Vaquez), extension de cancer du foie ou du rein, compression directe."
"Anastomoses porto-caves","Communications veineuses permettant au sang de passer du système porte (hyperpression) vers le système cave (basse pression) en cas d’obstacle.","Quatre types : inférieure, supérieure, antérieure, postérieure. Responsables des circulations collatérales et des varices."
"Cavernome","Manchon veineux (réseau veineux) autour de la veine porte, correspondant à une anastomose porto-porte (circulation collatérale entre territoire porte hyperpression et territoire porte basse pression).","Signe échographique du bloc infra-hépatique."
"Circulations veineuses collatérales abdominales","Veines anormales visibles sur la paroi abdominale, d’abord sus-ombilicales, puis aux flancs, puis sous-ombilicales.","Un des quatre signes cardinaux cliniques de l’HTP."
"Varices œsophagiennes (VO)","Dilatations veineuses au niveau de l’œsophage, conséquence de l’anastomose porto-cave supérieure. Aspect de cordon bleuté de taille variable, essentiellement au 1/3 inférieur de l’œsophage.","Leur rupture provoque une hémorragie digestive cataclysmique. Gradées de 1 à 3 selon la taille et la confluence."
"Signes rouges (signes de pré-rupture)","Macules et zébrures observées sur les varices œsophagiennes à l’endoscopie, corrélées au risque hémorragique.","Le risque hémorragique est corrélé à la taille des varices et à la présence de ces signes pariétaux."
"Varices gastriques","Varices localisées au niveau du cardia et de la grosse tubérosité de l’estomac, moins fréquentes que les varices œsophagiennes.","Peuvent également se rompre et provoquer une hémorragie."
"Gastropathie congestive (gastropathie d’HTP)","Lésions endoscopiques de l’estomac : lésion purpurique, lésion en mosaïque (peau de serpent), dilatation des vaisseaux sous-muqueux.","Signe d’HTP à l’endoscopie digestive."
"Splénomégalie","Augmentation de volume de la rate, ici modérée, ferme, indolore, stade Hackett II ou III.","Un des quatre signes cardinaux cliniques de l’HTP."
"Ascite","Épanchement de liquide dans la cavité péritonéale, d’abondance variable.","Quatrième signe cardinal clinique de l’HTP."
"Hémorragie digestive par rupture de varices","Complication redoutable de l’HTP. Le patient peut mourir en 4-5 vomissements (500-750 cc par vomissement) par choc hypovolémique.","Se manifeste par une hématémèse suivie de méléna, ou parfois un méléna isolé."
"Manométrie par voie trans-jugulaire","Examen invasif mesurant la pression portale et la pression cave.","Permet d’objectiver l’HTP."
"Laparoscopie","Examen endoscopique de la cavité péritonéale. Dans l’HTP, montre une hypervascularisation péritonéale avec dilatation des veines épiploïque, du ligament rond (falciforme) et du ligament phréno-colique.","Examen paraclinique non de première intention."
"Thrombose de la veine porte","Principale cause de bloc infra-hépatique (pré-hépatique).","Peut être secondaire à une invasion néoplasique luminale (cancer du foie)."
"Polycytémie (maladie de Vaquez)","Maladie du sang caractérisée par l’augmentation des trois lignées sanguines. Cause du syndrome de Budd-Chiari (bloc supra-hépatique).","Exemple d’étiologie hématologique."
"Hackett II ou III","Stade de splénomégalie selon la classification de Hackett (probablement gradation clinique de la rate).","Utilisé pour décrire la splénomégalie de l’HTP."
