"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition du décollement de la rétine selon le document ?","Un clivage entre la rétine neurosensorielle et l’épithélium pigmentaire","Un clivage entre la rétine et la choroïde","Une déchirure de la rétine sans clivage","Un décollement du vitré","1","Le document définit : « C’est un clivage entre la rétine neurosensorielle (qui contient les photorécepteurs) et l’épithélium pigmentaire ».","Easy"
"Quel est le caractère du décollement de rétine sur le plan thérapeutique ?","Urgence médicale","Urgence chirurgicale","Traitement médical ambulatoire","Surveillance simple","2","Le document indique : « Urgence chirurgicale ».","Easy"
"Quel est le mécanisme qui maintient l’espace sous-rétinien virtuel normalement ?","La pression intra-oculaire","L’effet de pompe exercé par l’épithélium pigmentaire","La traction du vitré","La vascularisation choroïdienne","2","Le document précise : « Cet espace est maintenu virtuel par l’effet de pompe exercé par l’épithélium pigmentaire ».","Easy"
"Quel est le type de décollement de rétine le plus fréquent ?","DR exsudatif","DR tractionnel","DR rhégmatogène","DR mixte","3","Le document indique : « DR rhegmatogène +++ ».","Easy"
"Quel phénomène est à l’origine de la plupart des déchirures rétiniennes dans le DR rhégmatogène ?","Les traumatismes","La libération de tractions vitréorétiniennes lors du décollement postérieur du vitré (DPV)","La prolifération néovasculaire","L’inflammation","2","Le document précise : « dans la plupart des cas, dû à la libération de tractions vitréorétiniennes lors du décollement postérieur du vitrée (DPV) ».","Easy"
"À partir de quel âge survient généralement le décollement postérieur du vitré ?","À partir de la trentaine","À partir de la quarantaine","À partir de la cinquantaine","À partir de la soixantaine","3","Le document indique : « Le DPV à l’origine des déchirures et du DR survient en général à partir de la cinquantaine ».","Easy"
"Quelles sont les trois circonstances pouvant précipiter la survenue d’un DPV ?","Myopie faible, chirurgie de la cataracte, diabète","Myopie forte, traumatismes, chirurgie oculaire","Hypermétropie, glaucome, uvéite","Myopie forte, glaucome, corticothérapie","2","Le document liste : « La myopie forte, Les traumatismes, La chirurgie oculaire ».","Easy"
"Quel est le signe fonctionnel du DPV décrit comme une sensation d’éclairs ?","Myiodésopsies","Photopsies","Pluie de suie","Amputation du champ visuel","2","Le document indique : « Photopsies (sensation d’éclairs) ».","Easy"
"Quel est le signe fonctionnel spécifique du DR décrit comme une amputation progressive du champ visuel ?","Myiodésopsies","Photopsies","Sensation de pluie de suie","Altération de l’acuité visuelle","3","Le document précise : « Sensation de pluie de suie (comme pluie mais noire) » et « Amputation progressive du champ visuel ».","Easy"
"Quel est l’aspect de la rétine décollée au fond d’œil ?","Rouge et lisse","Grisâtre et fripée comme du papier-calque froissé","Jaune et atrophique","Blanche et brillante","2","Le document décrit : « la rétine soulevée apparaît grisâtre et fripée comme du papier-calque froissé soulevé de son support ».","Easy"
