question,option1,option2,option3,option4,answer,explanation,difficulty
"Le vertige est défini comme :","Une douleur céphalique","Une sensation de déplacement des objets par rapport au sujet ou inversement","Une perte de connaissance","Une faiblesse musculaire","2","Le document indique : Vertige : Sensation de déplacement des objets par rapport au sujet ou inversement.","Easy"
"Le vertige est un symptôme :","Uniquement subjectif","Uniquement objectif","Subjectif et objectif (nystagmus vestibulo-oculaire)","Uniquement psychologique","3","Le document précise : Symptôme subjectif : sensation de déplacement ; Symptôme objectif : Nystagmus vestibulo-oculaire.","Easy"
"Le vertige résulte d’un conflit entre quelles informations sensorielles ?","Vestibule, visuelle, auditive","Vestibule, proprioceptive, visuelle","Proprioceptive, visuelle, auditive","Vestibule, tactile, visuelle","2","Le document indique : Illusion de mouvement par conflit d’information sensorielle (vestibule - source proprioceptive - source visuelle).","Medium"
"Quels sont les quatre symptômes essentiels du vertige selon le document ?","Céphalées, nausées, photophobie, phonophobie","Vertige, nystagmus, vomissements, ataxie","Vertige, acouphènes, surdité, chutes","Nystagmus, céphalées, vomissements, paralysie","2","Le document cite : Symptômes essentiels : VERTIGE, NYSTAGMUS, VOMISSEMENTS, ATAXIE.","Easy"
"Un vertige d’installation brutale évoque plutôt :","Une origine centrale tumorale","Une origine périphérique","Une origine psychogène","Une origine métabolique","2","Le document indique : Mode d’installation : brutal (périphérique ?), progressif (tumoral ?).","Medium"
"Un vertige progressif évoque plutôt :","Une névrite vestibulaire","Une origine périphérique","Une origine tumorale","Un VPPB","3","Le document précise : Mode d’installation : progressif (tumoral ?).","Medium"
"Dans la maladie de Ménière, la durée du vertige est de :","Secondes","Minutes","Heures (jamais 24h)","Jours","3","Le document indique : Heures (maladie de Ménière jamais 24h).","Medium"
"Un vertige durant 30 secondes à 1 minute évoque :","Une névrite vestibulaire","Une maladie de Ménière","Un vertige itératif paroxystique","Une origine centrale","3","Le document précise : secondes (30s à 1mn : vertige itératif paroxystique).","Medium"
"Un nystagmus horizontal et rotatoire évoque plutôt :","Une origine centrale","Une origine périphérique","Une origine psychogène","Une origine médicamenteuse","2","Le document indique : Horizontale et rotatoire (habituellement pour l’origine périphérique : jamais de nystagmus pur).","Medium"
"Un nystagmus vertical pur évoque plutôt :","Une origine périphérique","Une origine centrale","Une origine psychogène","Une origine médicamenteuse","2","Le document précise : Pure (centrale) (surtout verticale pure).","Medium"
"Lorsque le nystagmus diminue ou est aboli par la fixation visuelle, il s’agit d’un vertige :","Central","Périphérique","Psychogène","Métabolique","2","Le document indique : Effet de la fixation : le nystagmus diminue d’intensité ou est abolie = vertige périphérique (fixe un objet).","Medium"
"Lorsque le nystagmus persiste malgré la fixation visuelle, il s’agit d’un vertige :","Périphérique","Central","Psychogène","Bénin","2","Le document précise : Si persiste malgré la fixation = nystagmus central.","Medium"
"Dans une atteinte périphérique, on parle de syndrome :","Disharmonieux","Harmonieux","Dissocié","Incoordonné","2","Le document indique : Atteinte périphérique : syndrome harmonieux (harmonieux par rapport au nystagmus).","Medium"
"Dans une atteinte centrale, on parle de syndrome :","Harmonieux","Disharmonieux","Coordonné","Associé","2","Le document précise : Atteinte centrale : syndrome disharmonieux (les signes vestibulaires spontanés ne dévient pas de façon homogène).","Medium"
"Si la direction du nystagmus est droite, la lésion vestibulaire se situe :","À droite","À gauche","Au centre","Indéterminable","2","Le document indique : Si la direction est droite, la lésion du vestibule est gauche : la lésion est du côté de la secousse lente.","Difficult"
"Le nystagmus de degré I apparaît lorsque :","Le patient regarde du côté de la secousse rapide","Le patient regarde en avant","Le patient regarde du côté opposé","Le patient ferme les yeux","1","Le document précise : Degré I : nystagmus apparaît quand le patient regarde du côté de la secousse rapide.","Medium"
"Le nystagmus de degré II apparaît lorsque :","Le patient regarde du côté de la secousse rapide","Le patient regarde en avant (regard direct)","Le patient regarde du côté opposé","Le patient ferme les yeux","2","Le document indique : II : regard direct.","Medium"
"Le nystagmus de degré III apparaît lorsque :","Le patient regarde du côté de la secousse rapide","Le patient regarde en avant","Le patient regarde du côté opposé à la secousse rapide","Le patient a les yeux fermés","3","Le document précise : III : secousse lente (regard du côté opposé à la secousse rapide).","Difficult"
"L’épreuve calorique normale donne un nombre de nystagmus de :","20","30","40","50","3","Le document indique : Epreuve calorique calibrée : nombre de nystagmus normal : 40.","Medium"
"Quel examen permet de stimuler thermiquement le vestibule ?","L’électro-nystagmographie","L’épreuve calorique (eau froide 30°C et chaude 44°C)","La manœuvre de Dix Hallpike","La vidéonystagmographie","2","Le document précise : EPREUVE VESTIBULAIRE CALORIQUE : stimulation thermique de vestibule (injection d’eau froide (30°C) et chaude (44°C) dans l’oreille).","Medium"
"Une aréflexie vestibulaire correspond à :","Un nombre de nystagmus normal","Un nombre de nystagmus diminué","Un nombre de nystagmus nul (0)","Un nombre de nystagmus augmenté","3","Le document indique : Epreuve calorique calibrée : nombre de nystagmus normal : 40. Si 0 = aréflexie.","Medium"
"Une hyporéflexie vestibulaire correspond à :","Un nombre de nystagmus nul","Un nombre de nystagmus insuffisant (inférieur à 40)","Un nombre de nystagmus normal","Un nombre de nystagmus excessif","2","Le document précise : insuffisant = hyporéflexie.","Medium"
"Parmi les faux vertiges, le vertige des hauteurs est cité comme :","Un vertige psychogène","Un vertige circulatoire","Un faux vertige","Un vertige central","3","Le document cite : DIAGNOSTIC DIFFERENTIEL : FAUX VERTIGES : Vertige des hauteurs, Vertige psychogène, Vertige circulatoire, Désordre métabolique.","Easy"
