"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quel est le type histologique le plus fréquent du cancer de l’estomac ?","Lymphome non Hodgkinien","Adénocarcinome","GIST","Sarcome","2","Le document : 'Type histologique : adénocarcinome (90%)'","Easy"
"Quel est le seul traitement potentiellement curatif du cancer de l’estomac selon le document ?","Chimiothérapie","Radiothérapie","Chirurgie d’exérèse","Thérapie ciblée","3","Le document : 'Chirurgie d’exérèse : seul traitement potentiellement curatif'","Easy"
"Quel est le rang du cancer de l’estomac à Madagascar ?","1er cancer digestif","2ème cancer digestif","3ème cancer digestif","4ème cancer digestif","2","Le document : '3ème cancer digestif en France, 2ème à Madagascar'","Easy"
"Quelle est la survie à 5 ans pour l’ensemble des cancers de l’estomac ?","5%","15%","35%","90%","2","Le document : 'Mauvais pronostic : 15% de survie à 5 ans'","Easy"
"Quelle est la survie à 5 ans pour les tumeurs superficielles de l’estomac ?","15%","35%",">90%","<5%","3","Le document : 'Tumeurs superficielles : bon pronostic (90% à 5 ans)'","Easy"
"Quelles sont les dimensions normales de l’estomac mentionnées ?","15 cm de long, 8 cm de large","20 cm de long, 10 cm de large","25 cm de long, 12 cm de large","30 cm de long, 15 cm de large","3","Le document : 'Taille : 25cm de long, 12 cm de large'","Easy"
"Quelles sont les quatre couches de la paroi gastrique ?","Muqueuse, sous-muqueuse, musculeuse, séreuse","Muqueuse, musculeuse, adventice, séreuse","Épithélium, chorion, musculeuse, séreuse","Muqueuse, sous-muqueuse, musculeuse, sous-séreuse","1","Le document : '04 couches (muqueuse, sous-muqueuse, musculeuse, séreuse)'","Easy"
"Quel est le site métastatique le plus fréquent du cancer de l’estomac par voie sanguine ?","Poumon","Péritoine","Foie (90%)","Ovaire","3","Le document : 'Par voie sanguine à distance (métastases) : foie (90%)'","Easy"
"Quelle est la localisation la plus fréquente du cancer de l’estomac ?","Grosse tubérosité","Cardia","Antre pylorique","Grande courbure","3","Le document : 'Siège (antre pylorique +++'","Easy"
"Quel est l’examen clé pour le diagnostic positif du cancer de l’estomac ?","Scanner abdominal","Fibroscopie digestive haute","Transit aux hydrosolubles","Échographie","2","Le document : 'Fibroscopie digestive haute : +++'","Easy"
"Quel est le type histologique le plus fréquent en microscopie ?","Lymphome","Adénocarcinome (85%)","GIST","Linite plastique","2","Le document : 'Adénocarcinome (85%)'","Easy"
"Quels sont les deux marqueurs tumoraux cités pour le cancer de l’estomac ?","CA 15-3 et CA 125","ACE et Ca 19-9","AFP et CA 19-9","CEA et CA 72-4","2","Le document : 'Marqueurs tumoraux (ACE et Ca 19-9)'","Easy"
"Selon la classification TNM, que signifie T1 ?","Atteinte de la musculeuse","Atteinte du chorion muqueux et de la sous-muqueuse","Atteinte de la séreuse","Atteinte des structures adjacentes","2","Le document : 'T1 : atteinte du chorion muqueux et de la sous-muqueuse'","Easy"
"Que signifie N2 dans la classification TNM ?","1 à 6 ganglions envahis","7 à 15 ganglions envahis","Plus de 15 ganglions envahis","Pas de ganglions envahis","2","Le document : 'N2 : 7 à 15 ganglions envahis'","Easy"
"Quel est le symptôme du cancer du cardia ?","Douleur épigastrique","Dysphagie","Vomissements","Amaigrissement","2","Le document : 'Cancer du cardia : symptomatologie oesophagienne (dysphagie)'","Easy"
"Quel est un facteur environnemental du cancer de l’estomac ?","Alimentation riche en fibres","Alimentation riche en sel, aliments fumés","Consommation de fruits frais","Régime végétarien","2","Le document : 'Alimentation riche en sel, aliments séchés, fumés, riches en nitrate'","Easy"
"Quelle lésion précancéreuse gastrique est citée ?","Ulcère duodénal","Gastrite chronique atrophique","Œsophage de Barrett","Pancréatite chronique","2","Le document : 'Gastrites chroniques atrophiques (due H. Pylori, Maladie de Biermer)'","Easy"
"Quel est le diagnostic différentiel principal du cancer de l’estomac ?","Ulcère duodénal","Ulcère gastrique bénin","Lithiase vésiculaire","Pancréatite","2","Le document : 'Ulcère gastrique bénin'","Easy"
"Quel est le but du traitement chirurgical curatif ?","Soulager uniquement","Enlever la tumeur et assurer la continuité digestive","Faire une chimiothérapie","Poser une endoprothèse","2","Le document : 'Buts : Enlever la tumeur ; Assurer une bonne continuité digestive'","Easy"
"Quelle est la supplémentation vitaminique nécessaire après gastrectomie totale ?","Vitamine C","Vitamine B12 (1000µg/mois)","Vitamine D","Acide folique","2","Le document : 'Vitaminothérapie B12 (1000µg/mois à vie)'","Easy"
"Quelle est la survie à 5 ans après gastrectomie ?","15%","35%","50%","90%","2","Le document : 'Survie à 5 ans : 35% après gastrectomie'","Easy"
"Quelle est la survie à 5 ans en l’absence d’exérèse ?","4 mois","6 mois","1 an","2 ans","1","Le document : 'Absence d’exérèse (évolution spontanée sans traitement): survie de 4 mois'","Easy"
"Quelle est la mortalité opératoire du cancer de l’estomac ?","5%","10%","15%","20%","2","Le document : 'Mortalité opératoire élevée (10%)'","Easy"
"Quel est le principal message de la conclusion ?","Le diagnostic est facile","Les signes cliniques sont précoces","Importance du dépistage et traitement des lésions pré-cancéreuses","La chirurgie est inefficace","3","Le document : 'Importance du dépistage et traitement préventif des lésions pré-cancéreuses'","Easy"
"Quel est le pourcentage d’adénocarcinome parmi les cancers de l’estomac ?","85%","90%","95%","80%","2","Le document : 'Adénocarcinome (90%)' dans définitions, et 'Adénocarcinome (85%)' en microscopie. La première mention est 90%. Je retiens 90% pour la réponse.","Easy"
"Quel est le ganglion à distance pouvant être palpé dans les métastases ?","Ganglion de Virchow","Ganglion de Troisier","Ganglion de Cloquet","Ganglion de Rotter","2","Le document : 'À distance : ganglion de Troisier'","Easy"
"Quelle est la définition de la linite gastrique macroscopique ?","Tumeur bourgeonnante","Tumeur ulcérée","Tumeur infiltrante, dure, friable, hémorragique","Tumeur superficielle","3","Le document : 'Forme (bourgeonnante, ulcérée, infiltrante, linite gastrique : dure, friable, hémorragique)'","Easy"
"Quel est l’aspect microscopique de la linite plastique ?","Cellules en bague à chaton","Cellules géantes","Cellules claires","Cellules fusiformes","1","Le document : 'Linite plastique : aspect de cellules en “bague à chaton”'","Easy"
"Quel examen d’imagerie donne des signes indirects comme l’image d’addition ou de soustraction ?","Scanner","Échographie","Transit aux hydrosolubles","IRM","3","Le document : 'Transit aux hydrosolubles : signes indirects (image d’addition, de soustraction, de rigidité)'","Easy"
"Dans la classification TNM, que signifie M1 ?","Absence de métastase","Présence de métastase à distance","Métastase ganglionnaire","Métastase hépatique","2","Le document : 'M1 : présence de métastase à distance'","Easy"
"Quel est le risque du cancer médio-gastrique ?","Perforation","Hémorragie","Sténose (vomissements)","Fistule","3","Le document : 'Cancer médio-gastrique : risque de sténose (comme le cancer de l’antre pylorique) : vomissements'","Easy"
"Quel facteur gastrique est un facteur de risque ?","Ulcère duodénal","Ulcère gastrique","Hernie hiatale","Diverticule","2","Le document : 'Facteurs gastriques : Ulcère gastrique'","Easy"
"Quelle est la séquence évolutive de la gastrite atrophique vers le cancer ?","Gastrite -> métaplasie intestinale -> dysplasie -> cancer in-situ -> invasif","Gastrite -> dysplasie -> métaplasie -> cancer","Ulcère -> cancer","Polype -> cancer","1","Le document : 'Gastrite atrophique -> métaplasie intestinale -> dysplasie modérée puis sévère -> cancer in-situ -> cancer invasif'","Medium"
"Quel est le traitement d’une tumeur superficielle (T1N0M0) ?","Gastrectomie totale","Gastrectomie des 4/5","Mucosectomie endoscopique","Chimiothérapie seule","3","Le document : 'Tumeur superficielle (T1N0M0) : Mucosectomie endoscopique + examen anatomopathologique'","Medium"
"Quelle est la prise en charge d’une tumeur résécable ?","Chirurgie seule","Chimiothérapie péri-opératoire (3 cycles avant, 3 après) puis chirurgie","Radiothérapie exclusive","Endoprothèse","2","Le document : 'Tumeur résécable : Chimiothérapie péri-opératoire (3 cycle avant - 3 cycles après)' puis chirurgie selon localisation","Medium"
