"term","definition","contextual_explanation"
"cancer de l’estomac","Tumeur maligne développée à partir de la paroi gastrique.","Exclut métastases gastriques d’autre origine et envahissements par contiguïté. Type histologique : adénocarcinome (90%)."
"adénocarcinome","Type histologique le plus fréquent des cancers gastriques.","Représente 90% des cas."
"Helicobacter pylori","Bactérie gastrique.","Facteur important dans la cancérogenèse gastrique, associé aux gastrites chroniques atrophiques."
"ulcère gastrique","Lésion de la muqueuse gastrique.","Facteur de risque du cancer gastrique, également diagnostic différentiel."
"chirurgie d’exérèse","Ablation chirurgicale de la tumeur.","Seul traitement potentiellement curatif."
"cardia","Orifice supérieur de l’estomac faisant jonction avec l’œsophage.","Début de l’estomac."
"pylore","Orifice inférieur de l’estomac faisant jonction avec le duodénum.","Fin de l’estomac."
"grosse tubérosité","Partie fundique de l’estomac.","Localisation possible du cancer, souvent muette."
"antre pylorique","Partie basse de l’estomac précédant le pylore.","Siège le plus fréquent du cancer (cancer antro-pylorique)."
"petite courbure","Bord concave de l’estomac.","Localisation fréquente du cancer."
"grande courbure","Bord convexe de l’estomac.","Localisation plus rare."
"muqueuse","Couche la plus interne de la paroi gastrique.","Atteinte dans le stade T1 (chorion muqueux)."
"sous-muqueuse","Couche sous la muqueuse.","Atteinte dans T1."
"musculeuse","Couche musculaire de l’estomac.","Atteinte dans T2."
"séreuse","Couche externe de l’estomac.","Atteinte dans T3."
"ganglion de Troisier","Ganglion sus-claviculaire gauche.","Métastase ganglionnaire à distance du cancer gastrique."
"tumeur de Krukenberg","Métastase ovarienne.","Secondaire au cancer gastrique par voie sanguine."
"syndrome ulcéreux atypique","Douleur non rythmée par le repas.","Circonstance de découverte du cancer antro-pylorique."
"amaigrissement","Perte de poids.","Signe d’altération de l’état général."
"anorexie","Perte d’appétit.","Signe d’AEG."
"anémie","Diminution des globules rouges.","Peut être secondaire à un saignement occulte."
"syndrome paranéoplasique","Manifestations systémiques liées au cancer sans envahissement direct.","Exemples : phlébite, neuropathie, fièvre, acanthosis nigricans."
"acanthosis nigricans","Peau noire, rugueuse, crasselée au niveau des plis (cou, aisselles).","Syndrome paranéoplasique du cancer gastrique."
"fibroscopie digestive haute","Endoscopie de l’œsophage, estomac, duodénum.","Examen clé pour visualiser la lésion, biopsier et confirmer l’histologie."
"linite gastrique","Forme infiltrante diffuse du cancer gastrique.","Macroscopie : estomac dur, friable, hémorragique. Pronostic mauvais."
"linite plastique","Variante histologique avec cellules en ""bague à chaton"".","Forme de cancer gastrique de mauvais pronostic."
"GIST","Gastro-intestinal stromal tumor.","Tumeur mésenchymateuse rare de l’estomac."
"transit aux hydrosolubles","Radiographie après ingestion de produit de contraste.","Signes indirects : image d’addition, de soustraction, rigidité."
"TNM","Classification tumorale (Tumeur, Node, Métastase).","Utilisée pour le cancer gastrique."
"chorion muqueux","Partie conjonctive de la muqueuse.","Atteinte dans T1."
"sous-séreuse","Couche sous la séreuse.","Atteinte dans T2."
"cancer du cardia","Cancer de la jonction œso-gastrique.","Symptômes œsophagiens : dysphagie, douleur rétrosternale, hoquet."
"cancer médio-gastrique","Cancer du corps de l’estomac.","Risque de sténose."
"sténose antro-pylorique","Rétrécissement de la sortie gastrique.","Forme évolutive : douleur, vomissements, clapotage à jeun."
"clapotage à jeun","Bruit de liquide dans l’estomac à jeun.","Signe de sténose pylorique."
"perforation","Ouverture de la tumeur dans la cavité péritonéale.","Complication : péritonite."
"reflux biliaire duodéno-gastrique","Remontée de bile du duodénum vers l’estomac.","Facteur environnemental favorisant le cancer."
"maladie de Biermer","Anémie pernicieuse par carence en vitamine B12, associée à une gastrite atrophique.","Facteur de risque de cancer gastrique."
"maladie de Ménétrier","Gastrite hypertrophique géante.","Facteur gastrique prédisposant."
"polypes adénomateux gastriques","Tumeurs bénignes de la muqueuse gastrique.","Peuvent dégénérer."
"moignon de gastrectomie","Reliquat d’estomac après chirurgie partielle.","Risque de cancer après environ 15 ans."
"gastrite atrophique","Inflammation chronique avec atrophie de la muqueuse.","Étape initiale de la carcinogenèse."
"métaplasie intestinale","Transformation de la muqueuse gastrique en muqueuse intestinale.","Lésion précancéreuse."
"dysplasie","Anomalie architecturale et cytologique des cellules.","Modérée puis sévère, précédant le cancer in-situ."
