"term","definition","contextual_explanation"
"fièvre aiguë","Élévation de la température rectale à 37°9 depuis moins de 5 jours.","Dans le document, la fièvre aiguë du nourrisson et de l’enfant est définie ainsi, et elle est une cause fréquente de consultation."
"hyperthermie","Élévation de la thermogenèse, ou élévation de la température extérieure, ou diminution de la thermolyse.","Distinguée de la fièvre car il n’y a pas de déréglage du centre thermorégulateur."
"thermorégulation","Mécanisme de régulation de la température corporelle par un centre situé dans l’hypothalamus.","La fièvre correspond à un déréglage de ce centre qui déplace vers le haut le point d’équilibre thermique."
"PNN","Polynucléaires neutrophiles – globules blancs impliqués dans la phagocytose.","La fièvre entraîne l’action phagocytaire des PNN pour l’absorption des microbes."
"TRC","Temps de recoloration cutanée – normalement immédiat.","Signe de mauvaise tolérance : TRC allongé > 3 secondes."
"convulsions","Crises convulsives liées à l’hyperthermie.","Complication de la fièvre, justifiant de baisser immédiatement la température en cas de mauvaise tolérance."
"déshydratation intra-cellulaire","Perte d’eau à l’intérieur des cellules.","Complication de la fièvre aiguë, d’où l’importance de donner à boire autant que possible."
"hyperthermie majeure","Température corporelle ≥ 40°5.","Complication grave pouvant entraîner collapsus, défaillance multiviscérale et troubles végétatifs."
"collapsus","Insuffisance circulatoire aiguë avec chute de la pression artérielle.","Complication de l’hyperthermie majeure."
"défaillance multiviscérale","Défaillance simultanée de plusieurs organes.","Complication de l’hyperthermie majeure."
"otoscopie","Examen du conduit auditif externe et du tympan à l’otoscope.","L’examen clinique de la fièvre aiguë en pédiatrie inclut obligatoirement l’otoscopie et l’examen de la gorge."
"NFS","Numération formule sanguine – bilan sanguin comptant les globules rouges, blancs et plaquettes.","Examens complémentaires de première intention devant une fièvre aiguë."
"VS","Vitesse de sédimentation – marqueur inflammatoire non spécifique.","Fait partie des examens initiaux avec NFS et CRP."
"CRP","Protéine C réactive – marqueur biologique de l’inflammation.","Utilisée pour orienter vers une cause infectieuse."
"BU","Bandelette urinaire – examen rapide des urines.","Réalisée avec l’ECBU (examen cytobactériologique des urines) pour rechercher une infection urinaire."
"ECBU","Examen cytobactériologique des urines – recherche de leucocytes, nitrites et culture.","Associé à la BU pour diagnostiquer une pyélonéphrite."
"hémoculture","Prélèvement sanguin pour mise en culture à la recherche de bactéries dans le sang.","Indiqué si température ≥ 39°C."
"goutte épaisse","Technique de dépistage du paludisme par concentration des hématies sur lame.","Réalisée avec le frottis mince pour rechercher le paludisme, cause parasitaire fréquente à éliminer."
"frottis mince","Étalement sanguin coloré pour identification des espèces de Plasmodium.","Complément de la goutte épaisse."
"PL","Ponction lombaire – prélèvement de liquide céphalo-rachidien.","Réalisée en fonction de l’orientation clinique (ex : suspicion de méningite)."
"rhinopharyngite","Infection virale du nez et du pharynx.","Cause virale fréquente de fièvre aiguë, associée à tsentsina orona (nez qui coule), menamena tenda (gorge rouge), toux légère."
"GEA","Gastro-entérite aiguë – infection digestive avec diarrhée et vomissements.","Cause virale fréquente de fièvre aiguë chez l’enfant."
"fièvre éruptive","Fièvre accompagnée d’une éruption cutanée.","Cause virale listée dans le document."
"otite","Infection de l’oreille moyenne.","Cause bactérienne fréquente de fièvre aiguë."
"angine érythémato-pultacée","Angine avec rougeur du pharynx et enduit blanchâtre (pultacé).","Cause bactérienne streptococcique fréquente."
"pneumopathie","Infection du parenchyme pulmonaire (pneumonie).","Cause bactérienne de fièvre aiguë."
"pyélonéphrite","Infection bactérienne du rein et du bassinet.","Cause bactérienne, souvent à rechercher par ECBU."
"méningite","Inflammation des méninges, le plus souvent infectieuse.","Cause bactérienne grave de fièvre aiguë."
"sepsis","Infection généralisée sévère avec réponse inflammatoire systémique.","Cause bactérienne grave."
"paludisme","Maladie parasitaire due à Plasmodium, transmise par moustique.","Cause parasitaire, d’élimination à Tanà (Antananarivo) d’après le document."
"coup de chaleur","Hyperthermie d’origine exogène par exposition à une chaleur excessive.","Cause exogène de fièvre (hyperthermie)."
"encéphalopathie","Atteinte cérébrale diffuse non inflammatoire.","Cause centrale de fièvre aiguë (dysfonctionnement du centre thermorégulateur)."
"paracétamol","Antipyrétique et antalgique.","Moyen médicamenteux : 60mg/kg/24h PO ou 15mg/kg/6h ; suppositoires 20mg/kg/24h si vomissements ; voie IV 15mg/kg/4-6h."
"acide acétylsalicylique","AAS – antipyrétique, anti-inflammatoire, antiagrégant.","Dose : 60mg/kg/24h PO en 4-6 prises ; suppo 20mg/kg/24h ; IV 2mg/kg/8h."
"ibuprofène","Anti-inflammatoire non stéroïdien, antipyrétique.","Dose : 30mg/kg/24h en 4 prises PO."
"Prodafalgan","Spécialité injectable de paracétamol.","Dose : 30mg/kg/8h par voie IV."
"syndrome d’activation macrophagique","Hyperactivation des macrophages détruisant les cellules sanguines.","Évoqué en fin de document : lors d’infections sévères, les macrophages détruisent GR, plaquettes, GB, entraînant une pancytopénie modérée et une anémie inflammatoire, pouvant révéler une maladie chronique sous-jacente."
"pancytopénie","Diminution des trois lignées sanguines : globules rouges, blancs et plaquettes.","Observée dans le syndrome d’activation macrophagique selon le document."
"anémie inflammatoire","Anémie survenant au cours d’un syndrome inflammatoire chronique.","Associée à la pancytopénie modérée dans le syndrome d’activation macrophagique."
