"term","definition","contextual_explanation"
"Paralysie flasque aiguë (PFA)","Perte brutale de la motricité d'un membre ou d'une partie du corps, survenue récente en dehors d'un contexte traumatique.","Objet de surveillance mondiale pour éradication de la poliomyélite, étiologies multiples."
"Flaccidité","Absence de tonicité musculaire, membre très mou.","Signe clinique majeur de la PFA."
"Hypotonie musculaire","Diminution du tonus musculaire.","Cotée à 0/5 sur l'échelle de force musculaire dans la PFA."
"ROT","Réflexes ostéotendineux.","Dans la PFA, ils sont faibles ou abolis."
"RCP","Réflexe cutané plantaire.","Normalement en flexion dans la PFA."
"Poliomyélite antérieure aiguë","Maladie infectieuse cosmopolite, contagieuse due aux poliovirus neurotropes.","Hantise devant toute PFA, atteint la corne antérieure de la moelle."
"Corne antérieure","Zone de la moelle épinière contenant les motoneurones.","Son atteinte (poliomyélite, amyotrophie spinale) donne une PFA."
"Polyradiculonévrite aiguë post-infectieuse (Guillain Barré)","Inflammation des racines nerveuses et nerfs périphériques après infection.","Étiologie fréquente de PFA par maladie du nerf périphérique."
"Botulisme","Intoxication par toxine botulique entraînant une paralysie flasque.","Étiologie de PFA par maladie du nerf périphérique."
"Paralysie faciale a frigore","Paralysie du nerf facial due au froid.","Étiologie de PFA par maladie du nerf périphérique."
"Myasthénie","Maladie auto-immune de la jonction neuromusculaire.","Étiologie de PFA par trouble de la transmission neuromusculaire."
"Myosite aiguë bénigne","Inflammation musculaire aiguë d'évolution favorable.","Étiologie de PFA par myopathie."
"Dystrophie myotonique","Maladie musculaire héréditaire avec myotonie.","Étiologie de PFA."
"Porphyries","Maladies métaboliques de la synthèse de l'hème.","Cause rare de PFA."
"Maladie de Lyme","Borrélisse de Lyme, infection par Borrelia burgdorferi.","Cause de PFA."
"Carence vitaminique (B1, B6, B12, E)","Déficit en vitamines neurotropes.","Cause de PFA."
"AVC hémorragique","Accident vasculaire cérébral par rupture de vaisseau.","Cause centrale supra-médullaire de PFA."
"AVC ischémique artériel","Infarctus cérébral par occlusion artérielle.","Cause centrale supra-médullaire de PFA."
"Thrombose veineuse cérébrale","Occlusion d'un sinus veineux cérébral.","Cause centrale supra-médullaire de PFA."
"Infarctus veineux","Nécrose cérébrale secondaire à une thrombose veineuse.","Cause centrale supra-médullaire de PFA."
"Empyème sous-dural","Collection purulente dans l'espace sous-dural.","Cause infectieuse centrale de PFA."
"Encéphalite virale à herpès","Inflammation cérébrale due au virus herpès simplex.","Cause infectieuse centrale de PFA."
"Myélite transverse","Inflammation aiguë de la moelle épinière sur toute sa section.","Cause centrale médullaire aiguë de PFA (myélite transverse++)."
"Prélèvement de selles","Recueil de selles pour recherche virologique.","Faisable jusqu'à 6 semaines après l'apparition de la PFA, pour diagnostic de poliomyélite."
"PCR virale","Amplification génique pour détection de virus.","Réalisée sur sang ou LCS pour diagnostic de poliomyélite."
"Sérologie (ELISA, immunofluorescence)","Détection d'anticorps spécifiques.","Utilisée pour diagnostic rétrospectif de poliomyélite."
"Amyotrophie rapide","Fonte musculaire précoce.","Signe d'atteinte de la corne antérieure dans la poliomyélite."
"Déficit asymétrique","Paralysie touchant un côté plus que l'autre ou des membres différents.","Caractéristique de la poliomyélite, touchant surtout les muscles proximaux des membres inférieurs."
"CPK","Créatine phosphokinase, enzyme musculaire.","Dosage dans le bilan biologique d'une PFA."
"Électromyogramme (EMG)","Examen de l'activité électrique musculaire.","Aide à différencier atteinte neurogène ou myogène."
