"term","definition","contextual_explanation"
"Pancréatite chronique","Maladie inflammatoire chronique et fibrosante du pancréas, entraînant une destruction irréversible du pancréas exocrine puis endocrine.","Affection grave, irréversible, prédominance masculine (10/1), pic 30-40 ans."
"Lithostatine","Inhibiteur naturel de la formation de cristaux de calcium dans le suc pancréatique.","Sa diminution sous l’effet de l’alcool favorise la précipitation calcique."
"Citrate","Chélateur du calcium présent dans le suc pancréatique, empêchant la précipitation.","Sa sécrétion diminue dans la pancréatite alcoolique."
"Bouchons protéiques canalaires","Aggrégats de protéines dans les canaux pancréatiques, stade précoce de la formation de calculs.","Secondaire à l’augmentation de la viscosité du suc pancréatique induite par l’alcool."
"Position en chien de fusil","Position antalgique (couché sur le côté, jambes repliées) soulageant la douleur de pancréatite chronique.","Aussi appelée position en prière mahométane."
"Calcifications pancréatiques","Dépôts calciques intra-pancréatiques visibles sur ASP ou scanner, signe de pancréatite chronique évoluée.","Siège en regard de L1-L2."
"Échoendoscopie pancréatique","Endoscopie avec sonde d’échographie, très sensible pour les formes débutantes.","Montre parenchyme hétérogène, plages hypoéchogènes, septums hyperéchogènes, taches hyperéchogènes."
"CPRE","Cholangio-pancréatographie rétrograde endoscopique. Permet de visualiser les canaux pancréatiques et biliaires.","Utile au stade débutant quand le scanner est normal (irrégularités/dilatations canalaires)."
"Bili-IRM","IRM des voies biliaires et du pancréas, non invasive, remplace la CPRE.","Analyse le parenchyme pancréatique et les calcifications."
"Pseudo-kyste pancréatique","Collection liquidienne à paroi fibreuse sans épithélium, complication fréquente (40% des PC).","Se manifeste par douleur, vomissements, ictère, masse. Persistance d’élévation des enzymes pancréatiques."
"Sténose de la voie biliaire principale","Rétrécissement du cholédoque par compression ou fibrose péri-pancréatique.","20-30% des PC, donnant une cholestase anictérique ou un ictère, avec dilatation des voies biliaires."
"Hypertension portale segmentaire","HTP localisée par thrombose de la veine splénique, porte ou mésentérique supérieure, due à la compression ou l’inflammation pancréatique.","Peut entraîner une rupture de varices œsophagiennes ou des hémorragies digestives."
"Épanchements séreux","Épanchements pleural, péritonéal ou péricardique dus à des fistules pancréatiques.","Liquide exsudatif riche en protéines et en amylase, d’installation brutale et récidivante."
"Faux anévrysme","Dilatation anévrysmale d’une artère péri-pancréatique (splénique, mésentérique supérieure) pouvant se rompre et fistuliser dans le tube digestif.","Cause d’hémorragie digestive grave (méléna, hématémèse)."
"Insuffisance pancréatique exocrine","Diminution de la sécrétion des enzymes digestives, se manifestant par une maldigestion.","Diarrhée chronique, selles grasses (stéatorrhée >5g/j), créatorrhée modérée, baisse de l’élastase fécale."
"Stéatorrhée","Présence de graisses dans les selles (>5g/j), signe de maldigestion par insuffisance pancréatique exocrine.","Selles abondantes, graisseuses, malodorantes."
"Élastase 1 fécale","Enzyme pancréatique dosée dans les selles, reflet de la fonction exocrine.","Son effondrement confirme l’insuffisance pancréatique exocrine."
"Insuffisance pancréatique endocrine","Destruction des îlots de Langerhans, aboutissant à un diabète.","Diabète insulinoprive survenant après plusieurs années d’évolution, acidocétose rare."
"Pancréatite chronique tropicale","Forme observée dans les régions tropicales, liée à un régime riche en manioc et pauvre en protéines.","Étiologie spécifique, distincte de l’alcool."
"Pancréatite chronique auto-immune","Forme liée à une auto-immunité, survenant chez le sujet jeune, avec présence d’auto-anticorps.","Diagnostic différentiel rare."
"Angor mésentérique","Douleur abdominale d’origine ischémique par athérosclérose des artères mésentériques.","Diagnostic différentiel de la pancréatite chronique chez le sujet athéromateux."
